Ricklefs_lab_ID,lineage,status,elevation,year,location,lon,lat,lineage,sequenced
PNG_10_1110,Rhipidura_threnothorax,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1111,Rhipidura_threnothorax,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1112,Toxorhamphus_novaeguineae,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1113,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1114,Melanocharis_nigra,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1115,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1116,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1117,Pachycephala_hyperythra,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1119,Monarcha_manadensis,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_112,Crateroscelis_robusta,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_1120,Monarcha_manadensis,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1121,Melanocharis_nigra,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1122,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1123,Melanocharis_nigra,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1124,Chaetorhynchus_papuensis,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1125,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1126,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1127,Pachycephala_hyperythra,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1128,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1129,Peneothello_bimaculatus,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_113,Peneothello_cyanus,1,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,Haemoproteus,yes
PNG_10_1130,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
