,X,sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x
97,97,130765,P13,765,P130765,Galbula_cyanescens,Galbula cyanescens,Galbula_cyanescens,Galbulidae,1,24.96074074,lowland_manu,midhigh,very low,486.5,1,1,0,0,1,0,1,0,0,0,0,0,NA
98,98,130133,W13,133,W130133,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,very low,2648,1,0,1,0,0,0,0,0,0,3,0,0,Pipreola_intermedia
99,99,130376,W13,376,W130376,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,very low,2648,1,0,1,0,0,0,0,0,0,2,0,0,Pipreola_intermedia
100,100,130408,W13,408,W130408,Pipreola_arcuata,Pipreola arcuata,Pipreola_arcuata,Cotingidae,0,101.4315,high_montane_manu,undersory-midhigh,med,2750,1,1,1,0,3,1,0,2,0,1,0,0,Pipreola_arcuata
101,101,130514,W13,514,W130514,Pipreola_arcuata,Pipreola arcuata,Pipreola_arcuata,Cotingidae,0,101.4315,high_montane_manu,undersory-midhigh,low,2750,0,0,0,0,0,0,0,0,0,0,0,0,NA
102,102,130657,W13,657,W130657,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,low,2648,1,0,1,0,0,0,0,0,0,44,0,0,Pipreola_intermedia
103,103,130693,W13,693,W130693,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,low,2648,1,0,1,0,0,0,0,0,0,105,0,0,Pipreola_intermedia
104,104,130860,W13,860,W130860,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,0,1,0,0,0,0,0,0,117,0,0,Pipreola_intermedia
105,105,130861,W13,861,W130861,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,0,1,0,0,0,0,0,0,4,0,0,Pipreola_intermedia
106,106,130862,W13,862,W130862,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,0,1,0,0,0,0,0,0,37,0,0,Pipreola_intermedia
107,107,130473,W12,473,W130473,Pipreola_arcuata,Pipreola arcuata,Pipreola_arcuata,Cotingidae,0,101.4315,high_montane_manu,undersory-midhigh,med,2750,0,0,0,0,0,0,0,0,0,0,0,0,NA
108,108,116038,P11,6038,P116038,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,med,430,1,0,1,0,0,0,0,0,0,14,0,0,Thamnomanes_schistogynus
109,109,116078,P11,6078,P116078,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,med,415,1,1,1,0,8,3,2,3,0,62,0,0,Myrmotherula_axillaris
110,110,116080,P11,6080,P116080,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,high,415,1,0,1,0,0,0,0,0,0,5,0,1,Isleria_hauxwelli
111,111,116119,P11,6119,P116119,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,med,419,1,0,1,0,0,0,0,0,0,6,0,0,Willisornis_poecilinotus
112,112,116147,P11,6147,P116147,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,NA
113,113,116154,P11,6154,P116154,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnophilidae,1,18.58714286,lowland_manu,midhigh,med,421,1,0,1,0,0,0,0,0,0,4,0,0,Thamnomanes_ardesiacus
114,114,116163,P11,6163,P116163,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnophilidae,1,18.58714286,lowland_manu,midhigh,low,421,1,0,1,0,0,0,0,0,0,14,0,0,Thamnomanes_ardesiacus
