"","species_jetz","low_limit","high_limit"
"90","Cercomacra_cinerascens",392,823
"91","Cercomacra_manu",397,942
"92","Cercomacra_nigrescens",381,1514
"93","Cercomacra_serva",399,1578
"94","Chaetocercus_mulsant",1395,2816
"95","Chalcostigma_ruficeps",1973,3101
"96","Chamaeza_campanisona",1124,2590
"97","Chamaeza_mollissima",1948,2995
"98","Chamaeza_nobilis",400,425
"99","Charadrius_collaris",387,387
"100","Chelidoptera_tenebrosa",398,398
"101","Chiroxiphia_boliviana",866,2033
"102","Chloroceryle_aenea",381,956
"103","Chloroceryle_americana",1302,1302
"104","Chloroceryle_inda",397,398
"105","Chlorochrysa_calliparaea",969,1888
"106","Chlorophanes_spiza",402,1371
"107","Chlorophonia_cyanea",876,2527
"108","Chlorornis_riefferii",2292,3239
"109","Chlorospingus_canigularis",1129,1129
"110","Chlorospingus_flavigularis",850,2335
"111","Chlorospingus_ophthalmicus",1193,2728
"112","Chlorospingus_parvirostris",1134,2681
"113","Chlorostilbon_mellisugus",381,1514
"114","Chlorothraupis_carmioli",385,1090
"115","Chrysuronia_oenone",381,1449
"116","Cinclodes_albiventris",2742,2742
"117","Cinclus_leucocephalus",1654,2850
"118","Cinnycerthia_fulva",1948,3286
"119","Cissopis_leverianus",387,1309
"120","Cistothorus_platensis",2705,3016
"121","Claravis_mondetoura",2319,2673
"122","Clypicterus_oseryi",400,538
"123","Cnemarchus_erythropygius",2524,2524
"124","Cnemoscopus_rubrirostris",2319,2995
"125","Cnemotriccus_fuscatus",387,411
"126","Coccyzus_americanus",412,412
"127","Coccyzus_melacoryphus",444,444
"128","Coeligena_coeligena",1134,2937
"129","Coeligena_torquata",2182,2887
"130","Coeligena_violifer",2458,3377
"131","Coereba_flaveola",797,1449
"132","Colaptes_punctigula",1280,1280
"133","Colaptes_rivolii",1230,2991
"134","Colaptes_rubiginosus",425,2010
"135","Colibri_coruscans",1134,2992
"136","Colibri_thalassinus",1134,2901
"137","Colonia_colonus",989,1230
"138","Columbina_talpacoti",387,387
"139","Conirostrum_albifrons",2319,2872
"140","Conirostrum_ferrugineiventre",2711,3424
"141","Conirostrum_sitticolor",2305,2993
"142","Conopias_cinchoneti",968,1584
"143","Conopophaga_ardesiaca",952,2728
"144","Conopophaga_castaneiceps",1362,1395
"145","Conopophaga_peruviana",360,732
"146","Contopus_fumigatus",1081,3101
"147","Contopus_sordidulus",1217,1255
"148","Corythopis_torquatus",381,1083
"149","Cranioleuca_curtata",613,1821
"150","Cranioleuca_gutturata",419,680
"151","Cranioleuca_marcapatae",2636,2993
"152","Creurgops_dentatus",1468,2344
"153","Crypturellus_atrocapillus",403,749
"154","Crypturellus_bartletti",378,599
"155","Crypturellus_cinereus",398,536
"156","Crypturellus_obsoletus",960,3013
"157","Crypturellus_soui",371,1115
"158","Crypturellus_undulatus",338,435
"159","Crypturellus_variegatus",414,599
"160","Cyanerpes_caeruleus",408,1432
"161","Cyanerpes_cyaneus",431,1134
"162","Cyanocompsa_cyanoides",381,1213
"163","Cyanocorax_cyanomelas",407,435
"164","Cyanocorax_violaceus",398,1255
"165","Cyanocorax_yncas",1061,2065
"166","Cyanolyca_viridicyanus",2290,3101
"167","Cymbilaimus_lineatus",422,453
"168","Cymbilaimus_sanctaemariae",409,1279
"169","Cyphorhinus_arada",379,445
"170","Cyphorhinus_thoracicus",981,2590
"171","Dacnis_cayana",419,1397
"172","Dacnis_flaviventer",416,416
"173","Dacnis_lineata",568,568
"174","Daptrius_ater",515,622
"175","Deconychura_longicauda",395,1339
"176","Delothraupis_castaneoventris",2305,3101
"177","Dendrexetastes_rufigula",385,1395
"178","Dendrocincla_fuliginosa",381,1454
"179","Dendrocincla_merula",381,648
"180","Dendrocincla_tyrannina",2319,2973
"181","Dendrocolaptes_certhia",381,1217
"182","Dendrocolaptes_picumnus",397,1654
"183","Dendroplex_picus",430,430
"184","Dichrozona_cincta",400,429
"185","Diglossa_brunneiventris",2527,3049
"186","Diglossa_caerulescens",1397,2676
"187","Diglossa_cyanea",1397,3482
"188","Diglossa_glauca",1061,2728
"189","Diglossa_mystacalis",2742,3482
"190","Diglossa_sittoides",2527,2810
"191","Discosura_popelairii",1202,1202
"192","Doryfera_johannae",425,1050
"193","Doryfera_ludovicae",717,2728
"194","Dromococcyx_pavoninus",399,1454
"195","Drymophila_caudata",1387,2952
"196","Drymophila_devillei",392,1083
"197","Dryocopus_lineatus",934,1224
"198","Dubusia_taeniata",2305,2742
"199","Dysithamnus_mentalis",610,1735
"200","Elaenia_albiceps",956,2991
"201","Elaenia_gigas",387,2993
"202","Elaenia_obscura",2845,2845
"203","Elaenia_pallatangae",1724,3095
