,sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,Lice,Mites,Ticks
80,120650,W12,W120650,W120650,Pipreola_arcuata,Pipreola arcuata,Pipreola_arcuata,Cotingidae,0,101.4315,high_montane_manu,undersory-midhigh,high,2750,1,1,0,0
81,120662,W12,W120662,W120662,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,high,2648,1,0,1,0
82,120683,W12,W120683,W120683,Pipreola_arcuata,Pipreola arcuata,Pipreola_arcuata,Cotingidae,0,101.4315,high_montane_manu,undersory-midhigh,high,2750,0,0,0,0
83,120693,W12,W120693,W120693,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,high,2648,1,0,1,0
84,120701,W12,W120701,W120701,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,high,2648,1,0,1,0
85,120717,W12,W120717,W120717,Pipreola_arcuata,Pipreola arcuata,Pipreola_arcuata,Cotingidae,0,101.4315,high_montane_manu,undersory-midhigh,med,2750,1,1,1,0
86,120722,W12,W120722,W120722,Pipreola_arcuata,Pipreola arcuata,Pipreola_arcuata,Cotingidae,0,101.4315,high_montane_manu,undersory-midhigh,med,2750,1,1,1,0
87,120737,W12,W120737,W120737,Pipreola_arcuata,Pipreola arcuata,Pipreola_arcuata,Cotingidae,0,101.4315,high_montane_manu,undersory-midhigh,med,2750,1,1,1,0
88,120816,W12,W120816,W120816,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,0,1,0
89,121017,W12,W121017,W121017,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,low,2648,1,1,1,0
90,121018,W12,W121018,W121018,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,1,1,0
91,121045,W12,W121045,W121045,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,0,1,0
92,121150,W12,W121150,W121150,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,low,2648,0,0,0,0
93,13356,SP13,SP13356,SP13356,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,med,1395,0,0,0,0
94,130043,P13,P130043,P130043,Malacoptila_semicincta,Malacoptila semicincta,Malacoptila_semicincta,Bucconidae,0,45.21722222,lowland_manu,ground-midhigh,very low,494.5,0,0,0,0
