Host.Family,BLFamilyLatin,species_clean,species_jetz,Mite.Genus,Mite.Genus2,sociality,foraging_cat,elevation_cat,TipLabel,Sample.Full..,keycol,valuecol
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,other_iquitos,Willisornis_poecilinotus,1022,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,other_iquitos,Willisornis_poecilinotus,799,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,other_iquitos,Willisornis_poecilinotus,813,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,M582,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,other_iquitos,Willisornis_poecilinotus,1025,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,M600,Mite.Group,Mesostigmatid
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V269,Mite.Group,Mesostigmatid
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V386,Mite.Group,Mesostigmatid
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P121499,Mite.Group,Trombiculid
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,M487,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,M507,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,M588,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V1200,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V163,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V182,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V399,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V401,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V663,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P110159,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P110238,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P110290,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P115962,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P116087,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P116119,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P116200,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P116247,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P116278,Mite.Group2,
