"","X","elevation_cat","sociality","foraging_cat","species_jetz","sample_size","species_clean","mass_tidy","Family","ectoparasites_presence","elevation_midpoint","proportion_ectoparasites","notes","mean_lice"
"79",79,"lowland_manu",1,"understory","Trogon_violaceus",1,"Trogon violaceus",46.18,"Trogonidae",0,583,0,"",0
"80",80,"lowland_manu",1,"other","Saltator_maximus",1,"Saltator maximus",45.26047619,"Thraupidae",1,989,1,"",1
"81",81,"lowland_manu",0,"ground","Phlegopsis_nigromaculata",5,"Phlegopsis nigromaculata",48.78089286,"Thamnophilidae",4,413,0.8,"",1
"82",82,"lowland_manu",1,"understory","Automolus_melanopezus",1,"Automolus melanopezus",31.118,"Furnariidae",1,413,1,"",40
"83",83,"lowland_manu",1,"understory","Simoxenops_ucayalae",1,"Syndactyla ucayalae",52.21692308,"Furnariidae
",1,717,1,"",44
"84",84,"lowland_manu",1,"ground-understory","Myrmeciza_goeldii",24,"Akletos goeldii",44.03666667,"Thamnophilidae",24,438,1,"",6
"85",85,"lowland_manu",0,"ground-understory","Cyphorhinus_arada",1,"Cyphorhinus arada",26.05117647,"Troglodytidae",1,404,1,"",0
"86",86,"lowland_manu",0,"canopy","Ramphastos_tucanus",1,"Ramphastos tucanus",377.88,"Ramphastidae",1,425,1,"",1
"87",87,"lowland_manu",1,"midhigh","Anabazenops_dorsalis",1,"Anabazenops dorsalis",34.91,"Furnariidae",1,827.5,1,"",1
"88",88,"lowland_manu",0,"canopy","Philydor_rufum",1,"Dendroma rufa",22.25,"Furnariidae
",1,1068,1,"",6
"89",89,"lowland_manu",1,"midhigh","Deconychura_longicauda",5,"Deconychura longicauda",30.6912,"Furnariidae
",3,439,0.6,"",0
"90",90,"lowland_manu",0,"canopy","Piprites_chloris",1,"Piprites chloris",18.9,"Tyrannidae",1,426,1,"",0
"91",91,"lowland_manu",1,"understory","Automolus_infuscatus",1,"Automolus infuscatus",39.19135135,"Furnariidae",1,419,1,"",5
"92",92,"lowland_manu",1,"ground","Conopophaga_peruviana",1,"Conopophaga peruviana",24.6675,"Conopophagidae",1,415.5,1,"",9
"93",93,"lowland_manu",0,"ground","Dichrozona_cincta",1,"Dichrozona cincta",14.8,"Thamnophilidae",1,417,1,"",0
"94",94,"lowland_manu",1,"ground-understory","Percnostola_lophotes",6,"Myrmoborus lophotes",30.48875,"Thamnophilidae",6,670,1,"",5
"95",95,"lowland_manu",0,"ground-understory","Myrmeciza_hemimelaena",4,"Sciaphylax hemimelaena",16.58849057,"Thamnophilidae",3,818,0.75,"",1
"96",96,"lowland_manu",0,"undersory-midhigh","Rhytipterna_simplex",3,"Rhytipterna simplex",39.808,"Tyrannidae",3,526,1,"",1
