sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x,X.y,ectoparasite_code,species,species_taxonomy_SACC_2021,jetz_species,elevation_all_years,net_elevation,elevation_extrapolated_date,elevation_midpoint,Species_parameters,Station
110172,,P110172,P110172,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,1,0,1,0,0,0,0,0,0,1,0,0,Isleria_hauxwelli,4129,13_10_2011_pantiacolla_Myrmotherula hauxwelli,NA,NA,NA,NA,NA,438,415,Myrmotherula hauxwelli,pantiacolla
110233,,P110233,P110233,Microcerculus_marginatus,Microcerculus marginatus,Microcerculus_marginatus,Troglodytidae,0,18.81613333,lowland_manu,ground-understory,very low,754,0,0,0,0,0,0,0,0,0,0,0,0,NA,4136,17_11_2011_pantiacolla_Microcerculus marginatus,NA,NA,NA,NA,NA,2742,754,Microcerculus marginatus,pantiacolla
110215,,P110215,P110215,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA,4135,15_10_2011_pantiacolla_Myrmotherula hauxwelli,NA,NA,NA,NA,NA,438,415,Myrmotherula hauxwelli,pantiacolla
110216,,P110216,P110216,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,med,419,1,0,1,0,0,0,0,0,0,2,0,0,Corythopis_torquatus,571,15_10_2011_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis torquatus,Corythopis torquatus,438,NA,438,419,Corythopis torquatus,pantiacolla
110238,,P110238,P110238,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,1,0,0,Willisornis_poecilinotus,577,18_10_2011_pantiacolla_Willisornis poecilinotus,Willisornis poecilinotus,Willisornis poecilinotus,Willisornis poecilinotus,422,NA,422,419,Willisornis poecilinotus,pantiacolla
110290,,P110290,P110290,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,1,0,0,Willisornis_poecilinotus,592,21_10_2011_pantiacolla_Willisornis poecilinotus,Willisornis poecilinotus,Willisornis poecilinotus,Willisornis poecilinotus,398,NA,398,419,Willisornis poecilinotus,pantiacolla
110297,,P110297,P110297,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnophilidae,1,18.58714286,lowland_manu,midhigh,low,421,1,0,1,0,0,0,0,0,0,13,0,0,Thamnomanes_ardesiacus,598,22_10_2011_pantiacolla_Thamnomanes ardesiacus,Thamnomanes ardesiacus,Thamnomanes ardesiacus,Thamnomanes ardesiacus,398,NA,398,421,Thamnomanes ardesiacus,pantiacolla
110337,,P110337,P110337,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA,626,28_10_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,432,NA,432,415,Myrmotherula axillaris,pantiacolla
110342,,P110342,P110342,Sclerurus_caudacutus,Sclerurus caudacutus,Sclerurus_caudacutus,Furnariidae,0,37.54095238,lowland_manu,ground,low,413,1,0,1,0,0,0,0,0,0,6,0,0,Sclerurus_caudacutus,619,28_10_2011_pantiacolla_Sclerurus caudacutus,Sclerurus caudacutus,Sclerurus caudacutus,Sclerurus caudacutus,432,NA,432,413,Sclerurus caudacutus,pantiacolla
110380,,P110380,P110380,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,1,0,1,0,0,0,0,0,0,2,0,0,Isleria_hauxwelli,4158,1_11_2011_pantiacolla_Myrmotherula hauxwelli,NA,NA,NA,NA,NA,414,415,Myrmotherula hauxwelli,pantiacolla
