"","species_jetz","species_clean","species_binomial","family","sociality","mass_tidy","elevation_cat","foraging_cat","ectoparasites_presence","sample_size","elevation_midpoint","proportion_ectoparasites"
"65","Pteroglossus_beauharnaesii","Pteroglossus beauharnaisii","Pteroglossus_beauharnaisii","Ramphastidae",0,202.1216667,"lowland_manu","canopy",2,2,426,1
"66","Platyrinchus_coronatus","Platyrinchus coronatus","Platyrinchus_coronatus","Tyrannidae",0,9.838095238,"lowland_manu","understory",0,2,413,0
"67","Euphonia_xanthogaster","Euphonia xanthogaster","Euphonia_xanthogaster","Thraupidae",1,13.62148594,"lowland_manu","midhigh",1,1,1337,1
"68","Philydor_erythropterum","Dendroma erythroptera","Dendroma_erythroptera","Furnariidae",1,30,"lowland_manu","midhigh-canopy",0,1,430,0
"69","Xenops_minutus","Xenops minutus","Xenops_minutus","Furnariidae",1,12.16725806,"lowland_manu","undersory-midhigh",4,5,414,0.8
"70","Catharus_ustulatus","Catharus ustulatus","Catharus_ustulatus","Turdidae",0,27.51957672,"lowland_manu","ground-understory",3,3,1307,1
"71","Thamnophilus_schistaceus","Thamnophilus schistaceus","Thamnophilus_schistaceus","Thamnophilidae",1,21.191,"lowland_manu","midhigh",10,13,439,0.769230769230769
"72","Epinecrophylla_leucophthalma","Epinecrophylla leucophthalma","Epinecrophylla_leucophthalma","Thamnophilidae",1,10.10645161,"lowland_manu","understory",1,2,415,0.5
"73","Arremon_taciturnus","Arremon taciturnus","Arremon_taciturnus","Emberizidae",1,27.7755,"lowland_manu","ground-understory",14,17,429,0.823529411764706
"74","Campylopterus_largipennis","Campylopterus largipennis","Campylopterus_largipennis","Trochilidae",0,8.337727273,"lowland_manu","midhigh",1,1,457,1
"75","Hyloctistes_subulatus","Automolus subulatus","Automolus_subulatus","Furnariidae",1,28.85,"lowland_manu","undersory-midhigh",0,1,419,0
"76","Neoctantes_niger","Neoctantes niger","Neoctantes_niger","Thamnophilidae",0,35.6,"lowland_manu","midhigh",0,1,414,0
"77","Epinecrophylla_erythrura","Epinecrophylla erythrura","Epinecrophylla_erythrura","Thamnophilidae",1,10.562,"lowland_manu","midhigh",1,1,424,1
"78","Cyanocompsa_cyanoides","Cyanoloxia cyanoides","Cyanoloxia_cyanoides","Cardinalidae",1,26.23404255,"lowland_manu","ground",6,7,423.5,0.857142857142857
"79","Trogon_violaceus","Trogon violaceus","Trogon_violaceus","Trogonidae",1,46.18,"lowland_manu","understory",0,1,583,0
"80","Saltator_maximus","Saltator maximus","Saltator_maximus","Cardinalidae",1,45.26047619,"lowland_manu","other",1,1,989,1
"81","Phlegopsis_nigromaculata","Phlegopsis nigromaculata","Phlegopsis_nigromaculata","Thamnophilidae",0,48.78089286,"lowland_manu","ground",4,5,413,0.8
"82","Automolus_melanopezus","Automolus melanopezus","Automolus_melanopezus","Furnariidae",1,31.118,"lowland_manu","understory",1,1,413,1
"83","Simoxenops_ucayalae","Syndactyla ucayalae","Syndactyla _ucayalae","Furnariidae",1,52.21692308,"lowland_manu","understory",1,1,717,1
"84","Myrmeciza_goeldii","Akletos goeldii","Percnostola_goeldii","Thamnophilidae",1,44.03666667,"lowland_manu","ground-understory",24,24,438,1
"85","Cyphorhinus_arada","Cyphorhinus arada","Cyphorhinus_arada","Troglodytidae",0,26.05117647,"lowland_manu","ground-understory",1,1,404,1
"86","Ramphastos_tucanus","Ramphastos tucanus","Ramphastos_tucanus","Ramphastidae",0,377.88,"lowland_manu","canopy",1,1,425,1
"87","Anabazenops_dorsalis","Anabazenops dorsalis","Anabazenops_dorsalis","Furnariidae",1,34.91,"lowland_manu","midhigh",1,1,827.5,1
"88","Philydor_rufum","Dendroma rufa","Dendroma_rufa","Furnariidae",0,22.25,"lowland_manu","canopy",1,1,1068,1
"89","Deconychura_longicauda","Deconychura longicauda","Deconychura_longicauda","Dendrocolaptidae",1,30.6912,"lowland_manu","midhigh",3,5,439,0.6
"90","Piprites_chloris","Piprites chloris","Piprites_chloris","Pipridae",0,18.9,"lowland_manu","canopy",1,1,426,1
"91","Automolus_infuscatus","Automolus infuscatus","Automolus_infuscatus","Furnariidae",1,39.19135135,"lowland_manu","understory",1,1,419,1
"92","Conopophaga_peruviana","Conopophaga peruviana","Conopophaga_peruviana","Conopophagidae",1,24.6675,"lowland_manu","ground",1,1,415.5,1
"93","Dichrozona_cincta","Dichrozona cincta","Dichrozona_cincta","Thamnophilidae",0,14.8,"lowland_manu","ground",1,1,417,1
"94","Percnostola_lophotes","Myrmoborus lophotes","Myrmoborus_lophotes","Thamnophilidae",1,30.48875,"lowland_manu","ground-understory",6,6,670,1
"95","Myrmeciza_hemimelaena","Sciaphylax hemimelaena","Sciaphylax_hemimelaena","Thamnophilidae",0,16.58849057,"lowland_manu","ground-understory",3,4,818,0.75
"96","Rhytipterna_simplex","Rhytipterna simplex","Rhytipterna_simplex","Tyrannidae",0,39.808,"lowland_manu","undersory-midhigh",3,3,526,1
"97","Myrmotherula_menetriesii","Myrmotherula menetriesii","Myrmotherula_menetriesii","Thamnophilidae",1,9.046,"lowland_manu","midhigh",2,2,423.5,1
"98","Xiphorhynchus_elegans","Xiphorhynchus elegans","Xiphorhynchus_elegans","Dendrocolaptidae",1,38.50835294,"lowland_manu","midhigh",2,3,421,0.666666666666667
"99","Phaethornis_koepckeae","Phaethornis koepckeae","Phaethornis_koepckeae","Trochilidae",0,5.275526316,"lowland_manu","understory",1,1,418,1
"100","Myrmeciza_fortis","Hafferia fortis","Percnostola_fortis","Thamnophilidae",1,48.60083333,"lowland_manu","ground",1,1,422.5,1
"101","Rhegmatorhina_melanosticta","Rhegmatorhina melanosticta","Rhegmatorhina_melanosticta","Thamnophilidae",0,32.28411765,"lowland_manu","ground",5,5,600,1
"102","Thalurania_furcata","Thalurania furcata","Thalurania_furcata","Trochilidae",0,4.515660377,"lowland_manu","other",1,1,420,1
"103","Ancistrops_strigilatus","Ancistrops strigilatus","Ancistrops_strigilatus","Furnariidae",1,33.46333333,"lowland_manu","ground-understory",2,2,476.5,1
"104","Mionectes_striaticollis","Mionectes striaticollis","Mionectes_striaticollis","Tyrannidae",1,14.66976498,"lowland_manu","midhigh",1,1,1573,1
"105","Malacoptila_fulvogularis","Malacoptila fulvogularis","Malacoptila_fulvogularis","Bucconidae",1,48.74470588,"montane_manu","undersory-midhigh",4,7,1395,0.571428571428571
"106","Micromonacha_lanceolata","Micromonacha lanceolata","Micromonacha_lanceolata","Bucconidae",0,23.34,"montane_manu","ground-midhigh",0,1,1113.5,0
"107","Chlorospingus_flavigularis","Chlorospingus flavigularis","Chlorospingus_flavigularis","Thraupidae",1,25.95577586,"montane_manu","understory",15,16,1362,0.9375
"108","Tangara_arthus","Tangara arthus","Tangara_arthus","Thraupidae",1,21.19101695,"montane_manu","midhigh",10,10,1308.5,1
"109","Leptopogon_superciliaris","Leptopogon superciliaris","Leptopogon_superciliaris","Tyrannidae",1,13.20830645,"montane_manu","midhigh",8,8,1387,1
"110","Premnoplex_brunnescens","Premnoplex brunnescens","Premnoplex_brunnescens","Furnariidae",1,15.77809045,"montane_manu","understory",27,28,1366,0.964285714285714
"111","Myioborus_miniatus","Myioborus miniatus","Myioborus_miniatus","Parulidae",1,9.782295082,"montane_manu","midhigh",5,5,1404,1
"112","Basileuterus_tristriatus","Basileuterus tristriatus","Basileuterus_tristriatus","Parulidae",1,12.9,"montane_manu","understory",11,11,1459,1
"113","Chlorospingus_ophthalmicus","Chlorospingus flavopectus","Chlorospingus_opthalmicus","Thraupidae",1,21.97914286,"montane_manu","other",4,5,1821,0.8
"114","Eutoxeres_condamini","Eutoxeres condamini","Eutoxeres_condamini","Trochilidae",0,9.882727273,"montane_manu","understory",1,1,1309,1
"115","Anabacerthia_striaticollis","Anabacerthia striaticollis","Anabacerthia_striaticollis","Furnariidae",1,24.58886525,"montane_manu","midhigh",5,8,1397,0.625
"116","Phylloscartes_ophthalmicus","Phylloscartes ophthalmicus","Pogonotriccus_opthalmicus","Tyrannidae",1,9.276296296,"montane_manu","midhigh",6,6,1371,1
"117","Chlorochrysa_calliparaea","Chlorochrysa calliparaea","Chlorochrysa_calliparaea","Thraupidae",1,17.34217391,"montane_manu","midhigh-canopy",3,3,1387,1
"118","Chiroxiphia_boliviana","Chiroxiphia boliviana","Chiroxiphia_boliviana","Pipridae",1,17.23620087,"montane_manu","undersory-midhigh",1,1,1449,1
"119","Myrmotherula_schisticolor","Myrmotherula schisticolor","Myrmotherula_schisticolor","Thamnophilidae",1,9.628441558,"montane_manu","midhigh",3,3,1487,1
"120","Basileuterus_coronatus","Myiothlypis coronata","Myiothlypis_coronata","Parulidae",1,16.03027273,"montane_manu","understory",10,12,1541,0.833333333333333
"121","Cyphorhinus_thoracicus","Cyphorhinus thoracicus","Cyphorhinus_thoracicus","Troglodytidae",0,32.136625,"montane_manu","ground",13,13,1348,1
"122","Trichothraupis_melanops","Trichothraupis melanops","Trichothraupis_melanops","Thraupidae",1,24.68761468,"montane_manu","other",8,8,1387,1
"123","Thripadectes_melanorhynchus","Thripadectes melanorhynchus","Thripadectes_melanorhynchus","Furnariidae",1,45.98929688,"montane_manu","understory",12,14,1337,0.857142857142857
"124","Basileuterus_bivittatus","Myiothlypis bivittata","Myiothlypis_bivittata","Parulidae",1,15.17214286,"montane_manu","midhigh",9,11,1217,0.818181818181818
"125","Lophotriccus_pileatus","Lophotriccus pileatus","Lophotriccus_pileatus","Tyrannidae",0,8.351454545,"montane_manu","midhigh",3,4,1384.5,0.75
"126","Myrmotherula_longicauda","Myrmotherula longicauda","Myrmotherula_longicauda","Thamnophilidae",1,8.21,"montane_manu","midhigh",1,2,1210,0.5
"127","Sporophila_nigricollis","Sporophila nigricollis","Sporophila_nigricollis","Emberizidae",0,11.3925,"montane_manu","understory",2,3,1337,0.666666666666667
"128","Diglossa_glauca","Diglossa glauca","Diglossa_glauca","Thraupidae",1,12.82984848,"montane_manu","midhigh",1,1,1758,1
"129","Ammodramus_aurifrons","Ammodramus aurifrons","Ammodramus_aurifrons","Emberizidae",0,17.815,"montane_manu","ground",1,2,387,0.5
"130","Xiphorhynchus_triangularis","Xiphorhynchus triangularis","Xiphorhynchus_triangularis","Dendrocolaptidae",1,43.98926829,"montane_manu","midhigh",0,1,1501,0
"131","Cyanerpes_caeruleus","Cyanerpes caeruleus","Cyanerpes_caeruleus","Thraupidae",1,12.668,"montane_manu","canopy",1,2,1124,0.5
"132","Anisognathus_somptuosus","Anisognathus somptuosus","Anisognathus_somptuosus","Thraupidae",1,38.233,"montane_manu","midhigh",1,2,1950,0.5
"133","Iridosornis_analis","Iridosornis analis","Iridosornis_analis","Thraupidae",1,27.53977273,"montane_manu","understory",2,2,1541,1
