"","X.No","Collection.x","Sample_group","Sample.No...","Full_Label","comment","species_binomial","Host.Order","Host.Family","New.Association","Lice.Genus","Lice.Species","Female","Male","Nimph","Eggs","Total","BoxLocation1","Lice.Genus2","Lice.Species2","Female2","Male2","Nimph2","Eggs2","Total2","BoxLocation2","Lice.Genus3","Lice.Species3","Female3","Male3","Nimph3","Eggs3","Total.1","BoxLocation3","total_lice","species_clean","mass_tidy","bill_tidy","wing_tidy","tail_tidy","wing_index_tidy","tarsus_tidy","sociality","ForStrat_ground","ForStrat_understory","ForStrat_midhigh","ForStrat_canopy","species_jetz","WJSpecID","TipLabel","PatchClade","Hackett_FineClades","Hackett_CoarseClades","English","FileName","Taxo","BLFamilyLatin","BLFamilyEnglish","FamSequID","IOCOrder","PassNonPass","OscSubOsc","foraging_cat","elevation_cat","sample","infestation_lice","Collection.y","powder_level","Host.genus","Host.species"
"92",220,"JEJ","W12","330","W120330","","Anisognathus_igniventris","Passeriformes","Thraupidae
","","Menoponidae","new sp - not Myrsidea!","0","0","2","",2,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,2,"Anisognathus igniventris",34.8345,8.160857143,86.69387755,75.3,16.8,25.1,"1",0,20,50,30,"Anisognathus_igniventris",12958,"Anisognathus_igniventris","P17P18","Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Scarlet-bellied Mountain-tanager","bow12958","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","midhigh","high_montane_manu",120330,0,"JEJ","med","Anisognathus","igniventris"
"93",221,"JEJ","W12","412","W120412","","Iridosornis_jelskii","Passeriformes","Thraupidae
","","Myrsidea","new sp?","0","0","1","",1,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Iridosornis jelskii",20.34714286,7.004603175,72.94117647,64.7,16.8,23.9,"1",0,60,40,0,"Iridosornis_jelskii",12964,"Iridosornis_jelskii","P17P18","Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Golden-collared Tanager","bow12964","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","understory","high_montane_manu",120412,0,"JEJ","low","Iridosornis","jelskii"
"94",222,"JEJ","W12","791","W120791","","Chlorornis_riefferii","Passeriformes","Thraupidae","","Menacanthus?","(Menacanthus eurysternus?)","","","1","",1,"","Myrsidea","new sp?",1,3,1,0,5,"","","",NA,NA,NA,"",NA,NA,6,"Chlorornis riefferii",48.93459016,11.33787234,104.9016393,87.2,18.2,29.3,"1",0,30,70,0,"Chlorornis_riefferii",12830,"Chlorornis_riefferii","P17P18","Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Grass-green Tanager","bow12830","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","midhigh","high_montane_manu",120791,0,"JEJ","high","Chlorornis","riefferii"
"95",223,"JEJ","W12","1001","W121001","","Kleinothraupis_atropileus","Passeriformes","Thraupidae
","","Philopteridae","new sp?","1","0","1","",2,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,2,"Kleinothraupis atropileus",20.552,9.195769231,70.85714286,73.6,13.2,23.8,"1",0,90,10,0,"Hemispingus_atropileus",12847,"Hemispingus_atropileus","P13P14P16","Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Black-capped Hemispingus","bow12847","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","understory","high_montane_manu",121001,0,"JEJ","high","Kleinothraupis","atropileus"
"96",224,"JEJ","W12","1048","W121048","","Arremon_torquatus","Passeriformes","Passerellidae
","","Brueelia?","(Brueelia brunneinucha?)","15","10","14","",39,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,39,"Arremon torquatus",42.28636364,11.60647059,76.97058824,85.7,9.8,32.2,"1",0,50,50,0,"Arremon_torquatus",12651,"Arremon_torquatus","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Stripe-headed Brush-finch","bow12651","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","undersory-midhigh","high_montane_manu",121048,1,"JEJ","high","Arremon","torquatus"
"97",225,"JEJ","W12","1044","W121044","","Kleinothraupis_atropileus","Passeriformes","Thraupidae
","","Philopteridae","new sp?","6","1","2","",9,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,9,"Kleinothraupis atropileus",20.552,9.195769231,70.85714286,73.6,13.2,23.8,"1",0,90,10,0,"Hemispingus_atropileus",12847,"Hemispingus_atropileus","P13P14P16","Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Black-capped Hemispingus","bow12847","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","understory","high_montane_manu",121044,0,"JEJ","med","Kleinothraupis","atropileus"
"98",226,"JEJ","W12","1161","W121161","","Myioborus_melanocephalus","Passeriformes","Parulidae
","","Menoponidae","new sp?","0","1","0","",1,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Myioborus melanocephalus",11.53984848,6.9432,65.4,66.5,15.5,19.6,"1",0,20,0,80,"Myioborus_melanocephalus",12766,"Myioborus_melanocephalus","P20a","New World Warblers","New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies","Spectacled Redstart","bow12766","BL3","Parulidae","New World warblers",171,"PASSERIFORMES","PASSERIFORMES","Passeri","canopy","high_montane_manu",121161,0,"JEJ","med","Myioborus","melanocephalus"
"99",227,"JEJ","P13","133","P130133","","Chlorothraupis_carmioli","Passeriformes","Cardinalidae
","","Myrsidea","Myrsidea cruickshanki?","1","0","0","",1,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Chlorothraupis carmioli",37.5053125,13.50083333,84.52941176,65.1,17.5,22.6,"1",0,40,30,30,"Chlorothraupis_carmioli",12879,"Chlorothraupis_carmioli","P12","Cardinals, Allies","Cardinals, Allies","Olive Tanager","bow12879","BL3","Cardinalidae","Grosbeaks, saltators and allies",194,"PASSERIFORMES","PASSERIFORMES","Passeri","other","lowland_manu",130133,0,"JEJ","low","Chlorothraupis","carmioli"
"100",228,"JEJ","P13","300","P130300","","Corythopis_torquatus","Passeriformes","Tyrannidae","","Philopteridae","new sp?","0","1","1","",2,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,2,"Corythopis torquatus",17.01754717,9.018085106,66.12,52.7,17.3,26,"0",80,20,0,0,"Corythopis_torquatus",5814,"Corythopis_torquatus","TitTyranRest","Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies","Ringed Antpipit","bow05814","BL3","Tyrannidae","Tyrant-flycatchers",105,"PASSERIFORMES","PASSERIFORMES","Tyranni","ground","lowland_manu",130300,0,"JEJ","low","Corythopis","torquatus"
"101",229,"JEJ","P13","233","P130233","","Lanio_versicolor","Passeriformes","Thraupidae","","Myrsidea","new sp?","0","1","1","",2,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,2,"Lanio versicolor",19.76205128,10.39833333,79.825,67.6,20.3,15.3,"1",0,0,20,60,"Lanio_versicolor",12886,"Lanio_versicolor","P13P14P16","Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","White-winged Shrike-tanager","bow12886","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","canopy","lowland_manu",130233,0,"JEJ","low","Lanio","versicolor"
"102",230,"JEJ","P13","187","P130187","","Hylophylax_naevius","Passeriformes","Thamnophilidae","","Myrsidea","new sp?","0","1","0","",1,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Hylophylax naevius",13.63936508,8.975555556,58.31746032,39.8,14.1,20.2,"0",0,80,20,0,"Hylophylax_naevius",6610,"Hylophylax_naevius","Thamnophilidae","Antbirds","Antbirds","Spot-backed Antbird","bow06610","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","understory","lowland_manu",130187,0,"JEJ","low","Hylophylax","naevius"
"103",231,"JEJ","P13","303","P130303","","Corythopis_torquatus","Passeriformes","Tyrannidae
","","Myrsidea","new sp?","0","1","0","",1,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Corythopis torquatus",17.01754717,9.018085106,66.12,52.7,17.3,26,"0",80,20,0,0,"Corythopis_torquatus",5814,"Corythopis_torquatus","TitTyranRest","Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies","Ringed Antpipit","bow05814","BL3","Tyrannidae","Tyrant-flycatchers",105,"PASSERIFORMES","PASSERIFORMES","Tyranni","ground","lowland_manu",130303,0,"JEJ","low","Corythopis","torquatus"
"104",232,"JEJ","P13","328","P130328","","Corythopis_torquatus","Passeriformes","Tyrannidae
","","Myrsidea","new sp?","1","0","0","",1,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Corythopis torquatus",17.01754717,9.018085106,66.12,52.7,17.3,26,"0",80,20,0,0,"Corythopis_torquatus",5814,"Corythopis_torquatus","TitTyranRest","Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies","Ringed Antpipit","bow05814","BL3","Tyrannidae","Tyrant-flycatchers",105,"PASSERIFORMES","PASSERIFORMES","Tyranni","ground","lowland_manu",130328,0,"JEJ","low","Corythopis","torquatus"
"105",233,"JEJ","P13","628","P130628","","Chlorothraupis_carmioli","Passeriformes","Cardinalidae
","","Myrsidea","Myrsidea cruickshanki?","0","0","1","",1,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Chlorothraupis carmioli",37.5053125,13.50083333,84.52941176,65.1,17.5,22.6,"1",0,40,30,30,"Chlorothraupis_carmioli",12879,"Chlorothraupis_carmioli","P12","Cardinals, Allies","Cardinals, Allies","Olive Tanager","bow12879","BL3","Cardinalidae","Grosbeaks, saltators and allies",194,"PASSERIFORMES","PASSERIFORMES","Passeri","other","lowland_manu",130628,0,"JEJ","low","Chlorothraupis","carmioli"
"106",235,"JEJ","W13","118","W130118","","Arremon_torquatus","Passeriformes","Passerellidae
","","Myrsidea","(various Myrsidea)","0","1","0","",1,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Arremon torquatus",42.28636364,11.60647059,76.97058824,85.7,9.8,32.2,"1",0,50,50,0,"Arremon_torquatus",12651,"Arremon_torquatus","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Stripe-headed Brush-finch","bow12651","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","undersory-midhigh","high_montane_manu",130118,0,"JEJ","low","Arremon","torquatus"
"107",236,"JEJ","W13","253","W130253","","Chlorornis_riefferii","Passeriformes","Thraupidae","","Philopteridae","new sp?","1","0","1","",2,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,2,"Chlorornis riefferii",48.93459016,11.33787234,104.9016393,87.2,18.2,29.3,"1",0,30,70,0,"Chlorornis_riefferii",12830,"Chlorornis_riefferii","P17P18","Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Grass-green Tanager","bow12830","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","midhigh","high_montane_manu",130253,0,"JEJ","med","Chlorornis","riefferii"
"108",237,"JEJ","W13","255","W130255","","Chlorornis_riefferii","Passeriformes","Thraupidae","","Myrsidea","new sp?","0","3","0","",3,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,3,"Chlorornis riefferii",48.93459016,11.33787234,104.9016393,87.2,18.2,29.3,"1",0,30,70,0,"Chlorornis_riefferii",12830,"Chlorornis_riefferii","P17P18","Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Grass-green Tanager","bow12830","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","midhigh","high_montane_manu",130255,0,"JEJ","low","Chlorornis","riefferii"
"109",238,"JEJ","W13","256","W130256","","Chlorornis_riefferii","Passeriformes","Thraupidae","","Myrsidea","new sp?","0","1","2","",3,"","Philopteridae","new sp?",2,0,0,0,2,"","","",NA,NA,NA,"",NA,NA,5,"Chlorornis riefferii",48.93459016,11.33787234,104.9016393,87.2,18.2,29.3,"1",0,30,70,0,"Chlorornis_riefferii",12830,"Chlorornis_riefferii","P17P18","Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Grass-green Tanager","bow12830","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","midhigh","high_montane_manu",130256,0,"JEJ","low","Chlorornis","riefferii"
"110",239,"JEJ","W13","270","W130270","","Anisognathus_igniventris","Passeriformes","Thraupidae
","","Myrsidea","new sp?","1","0","0","",1,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Anisognathus igniventris",34.8345,8.160857143,86.69387755,75.3,16.8,25.1,"1",0,20,50,30,"Anisognathus_igniventris",12958,"Anisognathus_igniventris","P17P18","Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Scarlet-bellied Mountain-tanager","bow12958","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","midhigh","high_montane_manu",130270,0,"JEJ","low","Anisognathus","igniventris"
"111",241,"JEJ","W13","298","W130298","","Arremon_torquatus","Passeriformes","Passerellidae
","","Myrsidea","(various Myrsidea)","0","0","1","",1,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Arremon torquatus",42.28636364,11.60647059,76.97058824,85.7,9.8,32.2,"1",0,50,50,0,"Arremon_torquatus",12651,"Arremon_torquatus","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Stripe-headed Brush-finch","bow12651","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","undersory-midhigh","high_montane_manu",130298,0,"JEJ","med","Arremon","torquatus"
"112",242,"JEJ","W13","330","W130330","","Chlorornis_riefferii","Passeriformes","Thraupidae","","Myrsidea","new sp?","1","1","1","",3,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,3,"Chlorornis riefferii",48.93459016,11.33787234,104.9016393,87.2,18.2,29.3,"1",0,30,70,0,"Chlorornis_riefferii",12830,"Chlorornis_riefferii","P17P18","Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Grass-green Tanager","bow12830","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","midhigh","high_montane_manu",130330,0,"JEJ","high","Chlorornis","riefferii"
"113",243,"JEJ","W13","349","W130349","","Arremon_torquatus","Passeriformes","Passerellidae
","","Myrsidea","(various Myrsidea)","0","1","0","",1,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Arremon torquatus",42.28636364,11.60647059,76.97058824,85.7,9.8,32.2,"1",0,50,50,0,"Arremon_torquatus",12651,"Arremon_torquatus","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Stripe-headed Brush-finch","bow12651","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","undersory-midhigh","high_montane_manu",130349,0,"JEJ","low","Arremon","torquatus"
"114",244,"JEJ","W13","360","W130360","","Iridosornis_jelskii","Passeriformes","Thraupidae
","","Myrsidea","new sp?","1","0","1","",2,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,2,"Iridosornis jelskii",20.34714286,7.004603175,72.94117647,64.7,16.8,23.9,"1",0,60,40,0,"Iridosornis_jelskii",12964,"Iridosornis_jelskii","P17P18","Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Golden-collared Tanager","bow12964","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","understory","high_montane_manu",130360,0,"JEJ","high","Iridosornis","jelskii"
"115",245,"JEJ","W13","377","W130377","","Arremon_torquatus","Passeriformes","Passerellidae
","","Myrsidea","(various Myrsidea)","2","2","1","",5,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,5,"Arremon torquatus",42.28636364,11.60647059,76.97058824,85.7,9.8,32.2,"1",0,50,50,0,"Arremon_torquatus",12651,"Arremon_torquatus","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Stripe-headed Brush-finch","bow12651","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","undersory-midhigh","high_montane_manu",130377,0,"JEJ","med","Arremon","torquatus"
"116",246,"JEJ","W13","378","W130378","","Arremon_torquatus","Passeriformes","Passerellidae
","","Myrsidea","(various Myrsidea)","2","4","0","",6,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,6,"Arremon torquatus",42.28636364,11.60647059,76.97058824,85.7,9.8,32.2,"1",0,50,50,0,"Arremon_torquatus",12651,"Arremon_torquatus","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Stripe-headed Brush-finch","bow12651","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","undersory-midhigh","high_montane_manu",130378,0,"JEJ","med","Arremon","torquatus"
"117",247,"JEJ","W13","453","W130453","","Kleinothraupis_atropileus","Passeriformes","Thraupidae
","","Myrsidea","new sp?","0","3","1","",4,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,4,"Kleinothraupis atropileus",20.552,9.195769231,70.85714286,73.6,13.2,23.8,"1",0,90,10,0,"Hemispingus_atropileus",12847,"Hemispingus_atropileus","P13P14P16","Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Black-capped Hemispingus","bow12847","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","understory","high_montane_manu",130453,0,"JEJ","high","Kleinothraupis","atropileus"
"118",248,"JEJ","W13","560","W130560","","Arremon_torquatus","Passeriformes","Passerellidae
","","Myrsidea","(various Myrsidea)","1","1","1","",3,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,3,"Arremon torquatus",42.28636364,11.60647059,76.97058824,85.7,9.8,32.2,"1",0,50,50,0,"Arremon_torquatus",12651,"Arremon_torquatus","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Stripe-headed Brush-finch","bow12651","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","undersory-midhigh","high_montane_manu",130560,0,"JEJ","low","Arremon","torquatus"
"119",249,"JEJ","W13","572","W130572","","Arremon_torquatus","Passeriformes","Passerellidae
","","Brueelia?","(Brueelia brunneinucha?)","0","1","0","",1,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Arremon torquatus",42.28636364,11.60647059,76.97058824,85.7,9.8,32.2,"1",0,50,50,0,"Arremon_torquatus",12651,"Arremon_torquatus","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Stripe-headed Brush-finch","bow12651","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","undersory-midhigh","high_montane_manu",130572,0,"JEJ","low","Arremon","torquatus"
"120",250,"JEJ","W13","637","W130637","","Iridosornis_jelskii","Passeriformes","Thraupidae
","","Myrsidea","new sp?","3","2","2","",7,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,7,"Iridosornis jelskii",20.34714286,7.004603175,72.94117647,64.7,16.8,23.9,"1",0,60,40,0,"Iridosornis_jelskii",12964,"Iridosornis_jelskii","P17P18","Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Golden-collared Tanager","bow12964","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","understory","high_montane_manu",130637,0,"JEJ","med","Iridosornis","jelskii"
"121",251,"JEJ","W13","676","W130676","","Iridosornis_jelskii","Passeriformes","Thraupidae
","","Philopteridae","new sp?","3","0","0","",3,"","Myrsidea","new sp?",3,1,1,0,5,"","","",NA,NA,NA,"",NA,NA,8,"Iridosornis jelskii",20.34714286,7.004603175,72.94117647,64.7,16.8,23.9,"1",0,60,40,0,"Iridosornis_jelskii",12964,"Iridosornis_jelskii","P17P18","Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Golden-collared Tanager","bow12964","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","understory","high_montane_manu",130676,0,"JEJ","low","Iridosornis","jelskii"
"122",252,"JEJ","W13","677","W130677","","Chlorornis_riefferii","Passeriformes","Thraupidae","","Myrsidea","new sp?","2","7","2","",11,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,11,"Chlorornis riefferii",48.93459016,11.33787234,104.9016393,87.2,18.2,29.3,"1",0,30,70,0,"Chlorornis_riefferii",12830,"Chlorornis_riefferii","P17P18","Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Grass-green Tanager","bow12830","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","midhigh","high_montane_manu",130677,0,"JEJ","med","Chlorornis","riefferii"
"123",253,"JEJ","W13","700","W130700","","Chlorornis_riefferii","Passeriformes","Thraupidae","","Myrsidea","new sp?","2","2","1","",5,"","Philopteridae","new sp?",1,0,0,0,1,"","","",NA,NA,NA,"",NA,NA,6,"Chlorornis riefferii",48.93459016,11.33787234,104.9016393,87.2,18.2,29.3,"1",0,30,70,0,"Chlorornis_riefferii",12830,"Chlorornis_riefferii","P17P18","Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Grass-green Tanager","bow12830","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","midhigh","high_montane_manu",130700,0,"JEJ","med","Chlorornis","riefferii"
"124",254,"JEJ","W13","753","W130753","","Pyrrhomyias_cinnamomeus","Passeriformes","Tyrannidae
","","Brueelia?","new sp?","0","0","1","",1,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Pyrrhomyias cinnamomeus",11.10103448,7.602380952,68.31034483,61.3,22.7,12.8,"1",0,100,0,0,"Pyrrhomyias_cinnamomeus",6006,"Pyrrhomyias_cinnamomeus","TitTyranRest","Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies","Cinnamon Flycatcher","bow06006","BL3","Tyrannidae","Tyrant-flycatchers",105,"PASSERIFORMES","PASSERIFORMES","Tyranni","understory","high_montane_manu",130753,0,"JEJ","med","Pyrrhomyias","cinnamomeus"
"125",255,"JEJ","P11","129","P110129","","Leptopogon_amaurocephalus","Passeriformes","Tyrannidae
","","Myrsidea","(leptopogoni or contopi or new?)","0","1","1","",2,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,2,"Leptopogon amaurocephalus",11.67782609,8.840697674,61.33695652,55.3,18.7,14.5,"1",0,50,50,0,"Leptopogon_amaurocephalus",5768,"Leptopogon_amaurocephalus","TitTyranRest","Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies","Sepia-capped Flycatcher","bow05768","BL3","Tyrannidae","Tyrant-flycatchers",105,"PASSERIFORMES","PASSERIFORMES","Tyranni","undersory-midhigh","lowland_manu",110129,0,"JEJ","low","Leptopogon","amaurocephalus"
"126",256,"JEJ","P11","406","P110406","","Leptopogon_amaurocephalus","Passeriformes","Tyrannidae
","","Myrsidea","(leptopogoni or contopi or new?)","1","2","2","",5,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,5,"Leptopogon amaurocephalus",11.67782609,8.840697674,61.33695652,55.3,18.7,14.5,"1",0,50,50,0,"Leptopogon_amaurocephalus",5768,"Leptopogon_amaurocephalus","TitTyranRest","Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies","Sepia-capped Flycatcher","bow05768","BL3","Tyrannidae","Tyrant-flycatchers",105,"PASSERIFORMES","PASSERIFORMES","Tyranni","undersory-midhigh","lowland_manu",110406,0,"JEJ","low","Leptopogon","amaurocephalus"
"127",257,"JEJ","P11","5912","P115912","","Leptopogon_amaurocephalus","Passeriformes","Tyrannidae
","","Myrsidea","(leptopogoni or contopi or new?)","0","1","0","",1,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Leptopogon amaurocephalus",11.67782609,8.840697674,61.33695652,55.3,18.7,14.5,"1",0,50,50,0,"Leptopogon_amaurocephalus",5768,"Leptopogon_amaurocephalus","TitTyranRest","Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies","Sepia-capped Flycatcher","bow05768","BL3","Tyrannidae","Tyrant-flycatchers",105,"PASSERIFORMES","PASSERIFORMES","Tyranni","undersory-midhigh","lowland_manu",115912,0,"JEJ","low","Leptopogon","amaurocephalus"
"128",258,"JEJ","W13","897","W130897","","Iridosornis_jelskii","Passeriformes","Thraupidae
","","Myrsidea","new sp?","0","1","0","",1,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Iridosornis jelskii",20.34714286,7.004603175,72.94117647,64.7,16.8,23.9,"1",0,60,40,0,"Iridosornis_jelskii",12964,"Iridosornis_jelskii","P17P18","Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","Golden-collared Tanager","bow12964","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","understory","high_montane_manu",130897,0,"JEJ","high","Iridosornis","jelskii"
