"","X.No","Collection.x","Sample_group","Sample.No...","Full_Label","comment","species_binomial","Host.Order","Host.Family","New.Association","Lice.Genus","Lice.Species","Female","Male","Nimph","Eggs","Total","BoxLocation1","Lice.Genus2","Lice.Species2","Female2","Male2","Nimph2","Eggs2","Total2","BoxLocation2","Lice.Genus3","Lice.Species3","Female3","Male3","Nimph3","Eggs3","Total.1","BoxLocation3","total_lice","species_clean","mass_tidy","bill_tidy","wing_tidy","tail_tidy","wing_index_tidy","tarsus_tidy","sociality","ForStrat_ground","ForStrat_understory","ForStrat_midhigh","ForStrat_canopy","species_jetz","WJSpecID","TipLabel","PatchClade","Hackett_FineClades","Hackett_CoarseClades","English","FileName","Taxo","BLFamilyLatin","BLFamilyEnglish","FamSequID","IOCOrder","PassNonPass","OscSubOsc","foraging_cat","elevation_cat","sample","infestation_lice","Collection.y","powder_level","Host.genus","Host.species"
"11",139,"JEJ","SP12","797","SP120797","","Rupicola_peruvianus","Passeriformes","Cotingidae","No","Cotingacola","rupicolae?","18","24","20","",62,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,62,"Rupicola peruvianus",207.3219231,15.4936,180.9428571,120.3,11.6,36.7,"0",30,30,40,0,"Rupicola_peruvianus",6329,"Rupicola_peruvianus","Cotingidae","Cotingas","Cotingas","Andean Cock-of-the-rock","bow06329","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","ground-midhigh","montane_manu",120797,1,"JEJ","low","Rupicola","peruvianus"
"12",140,"JEJ","SP12","819","SP120819","","Rupicola_peruvianus","Passeriformes","Cotingidae","No","Cotingacola","rupicolae?","2","7","12","",21,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,21,"Rupicola peruvianus",207.3219231,15.4936,180.9428571,120.3,11.6,36.7,"0",30,30,40,0,"Rupicola_peruvianus",6329,"Rupicola_peruvianus","Cotingidae","Cotingas","Cotingas","Andean Cock-of-the-rock","bow06329","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","ground-midhigh","montane_manu",120819,1,"JEJ","low","Rupicola","peruvianus"
"13",141,"JEJ","P12","1006","P121006","","Rupicola_peruvianus","Passeriformes","Cotingidae","No","Cotingacola","rupicolae?","2","0","9","",11,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,11,"Rupicola peruvianus",207.3219231,15.4936,180.9428571,120.3,11.6,36.7,"0",30,30,40,0,"Rupicola_peruvianus",6329,"Rupicola_peruvianus","Cotingidae","Cotingas","Cotingas","Andean Cock-of-the-rock","bow06329","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","ground-midhigh","lowland_manu",121006,0,"JEJ","low","Rupicola","peruvianus"
"14",142,"JEJ","SP12","1189","SP121189","","Malacoptila_fulvogularis","Piciformes","Bucconidae","Yes","Picicola?","(osheai/striata)","0","1","0","",1,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Malacoptila fulvogularis",48.74470588,17.31863636,93.09677419,94.1,18.9,18.8,"1",0,50,50,0,"Malacoptila_fulvogularis",1271,"Malacoptila_fulvogularis","Bucconidae","Puffbirds","Puffbirds, Jacamars","Black-streaked Puffbird","bow01271","BL3","Bucconidae","Puffbirds",97,"PICIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","undersory-midhigh","montane_manu",121189,0,"JEJ","low","Malacoptila","fulvogularis"
"15",143,"JEJ","SP12","1234","SP121234","","Rupicola_peruvianus","Passeriformes","Cotingidae","No","Cotingacola","rupicolae?","4","3","1","",8,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,8,"Rupicola peruvianus",207.3219231,15.4936,180.9428571,120.3,11.6,36.7,"0",30,30,40,0,"Rupicola_peruvianus",6329,"Rupicola_peruvianus","Cotingidae","Cotingas","Cotingas","Andean Cock-of-the-rock","bow06329","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","ground-midhigh","montane_manu",121234,0,"JEJ","med","Rupicola","peruvianus"
"16",144,"JEJ","SP12","1319","SP121319","","Rupicola_peruvianus","Passeriformes","Cotingidae","No","Cotingacola","rupicolae?","0","0","1","",1,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Rupicola peruvianus",207.3219231,15.4936,180.9428571,120.3,11.6,36.7,"0",30,30,40,0,"Rupicola_peruvianus",6329,"Rupicola_peruvianus","Cotingidae","Cotingas","Cotingas","Andean Cock-of-the-rock","bow06329","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","ground-midhigh","montane_manu",121319,0,"JEJ","low","Rupicola","peruvianus"
"17",145,"JEJ","W12","617","W120617","","Pipreola_arcuata","Passeriformes","Cotingidae","No","Pseudocophorus","antennatus? (cotingacola meridae/cotingacola tergalis)","0","1","2","",3,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,3,"Pipreola arcuata",101.4315,10.36470588,117.2173913,98.8,18.7,28.1,"0",0,50,50,0,"Pipreola_arcuata",6274,"Pipreola_arcuata","Cotingidae","Cotingas","Cotingas","Barred Fruiteater","bow06274","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","undersory-midhigh","high_montane_manu",120617,0,"JEJ","med","Pipreola","intermedia"
"18",146,"JEJ","W12","650","W120650","","Pipreola_arcuata","Passeriformes","Cotingidae","No","Pseudocophorus","antennatus? (cotingacola meridae/cotingacola tergalis)","1","0","1","",2,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,2,"Pipreola arcuata",101.4315,10.36470588,117.2173913,98.8,18.7,28.1,"0",0,50,50,0,"Pipreola_arcuata",6274,"Pipreola_arcuata","Cotingidae","Cotingas","Cotingas","Barred Fruiteater","bow06274","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","undersory-midhigh","high_montane_manu",120650,0,"JEJ","high","Pipreola","arcuata"
"19",147,"JEJ","W12","717","W120717","","Pipreola_arcuata","Passeriformes","Cotingidae","No","Pseudocophorus","antennatus? (cotingacola meridae/cotingacola tergalis)","1","3","6","",10,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,10,"Pipreola arcuata",101.4315,10.36470588,117.2173913,98.8,18.7,28.1,"0",0,50,50,0,"Pipreola_arcuata",6274,"Pipreola_arcuata","Cotingidae","Cotingas","Cotingas","Barred Fruiteater","bow06274","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","undersory-midhigh","high_montane_manu",120717,0,"JEJ","med","Pipreola","arcuata"
"20",148,"JEJ","W12","722","W120722","","Pipreola_arcuata","Passeriformes","Cotingidae","No","Pseudocophorus","antennatus? (cotingacola meridae/cotingacola tergalis)","1","1","5","",7,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,7,"Pipreola arcuata",101.4315,10.36470588,117.2173913,98.8,18.7,28.1,"0",0,50,50,0,"Pipreola_arcuata",6274,"Pipreola_arcuata","Cotingidae","Cotingas","Cotingas","Barred Fruiteater","bow06274","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","undersory-midhigh","high_montane_manu",120722,0,"JEJ","med","Pipreola","arcuata"
"21",149,"JEJ","W12","737","W120737","","Pipreola_arcuata","Passeriformes","Cotingidae","No","Pseudocophorus","antennatus? (cotingacola meridae/cotingacola tergalis)","8","3","2","",13,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,13,"Pipreola arcuata",101.4315,10.36470588,117.2173913,98.8,18.7,28.1,"0",0,50,50,0,"Pipreola_arcuata",6274,"Pipreola_arcuata","Cotingidae","Cotingas","Cotingas","Barred Fruiteater","bow06274","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","undersory-midhigh","high_montane_manu",120737,0,"JEJ","med","Pipreola","arcuata"
"22",150,"JEJ","W12","1017","W121017","","Pipreola_intermedia","Passeriformes","Cotingidae","Yes?","Menacanthus","new sp?","0","0","1","",1,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Pipreola intermedia",48.25075,8.6735,91.22727273,83.1,15.8,23.8,"1",0,50,50,0,"Pipreola_intermedia",6273,"Pipreola_intermedia","Cotingidae","Cotingas","Cotingas","Band-tailed Fruiteater","bow06273","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","undersory-midhigh","high_montane_manu",121017,0,"JEJ","low","Pipreola","intermedia"
"23",151,"JEJ","W12","1018","W121018","","Pipreola_intermedia","Passeriformes","Cotingidae","No","Philopteridae?","cotingacola tergalis/pseudocophorus peruvianus?","0","0","2","",2,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,2,"Pipreola intermedia",48.25075,8.6735,91.22727273,83.1,15.8,23.8,"1",0,50,50,0,"Pipreola_intermedia",6273,"Pipreola_intermedia","Cotingidae","Cotingas","Cotingas","Band-tailed Fruiteater","bow06273","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","undersory-midhigh","high_montane_manu",121018,0,"JEJ","med","Pipreola","intermedia"
"24",152,"JEJ","P13","765","P130765","","Galbula_cyanescens","Piciformes","Galbulidae","No","Picicola","galbulica?","0","1","0","",1,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Galbula cyanescens",24.96074074,37.77703704,78.13793103,88.2,28,13.5,"1",0,0,100,0,"Galbula_cyanescens",1245,"Galbula_cyanescens","Galbulidae","Jacamars","Puffbirds, Jacamars","Bluish-fronted Jacamar","bow01245","BL3","Galbulidae","Jacamars",96,"PICIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","midhigh","lowland_manu",130765,0,"JEJ","very low","Galbula","cyanescens"
"25",153,"JEJ","W13","408","W130408","","Pipreola_arcuata","Passeriformes","Cotingidae","No","Pseudocophorus?","antennatus? (cotingacola meridae/cotingacola tergalis)","1","0","2","",3,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,3,"Pipreola arcuata",101.4315,10.36470588,117.2173913,98.8,18.7,28.1,"0",0,50,50,0,"Pipreola_arcuata",6274,"Pipreola_arcuata","Cotingidae","Cotingas","Cotingas","Barred Fruiteater","bow06274","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","undersory-midhigh","high_montane_manu",130408,0,"JEJ","med","Pipreola","arcuata"
