"","sample","Sample_label","Sample_No","Full_Label","species_jetz","species_clean","species_binomial","family","sociality","mass_tidy","elevation_cat","foraging_cat","Powder.lvl","elevation_midpoint","ectoparasites_PA","Lice","Mites","Ticks","total_lice","Female","Male","Nimph","Eggs","total_mites","total_mesostigmatidae","total_no_feathers_mites","species_binomial.x","x","ectoparasite_code","species","species_taxonomy_SACC_2021","elevation_all_years","net_elevation","elevation","elevation_midpoint.1","Species_parameters","Station","X","day","month","year","full_date","date_status","date","year_seasonality"
"24","110159",NA,"P110159","P110159","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground","low",419,1,0,1,0,0,"0","0","0","0",2,0,0,"Willisornis_poecilinotus",533,"11_10_2011_pantiacolla_Willisornis poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus",413,NA,413,419,"Willisornis poecilinotus","pantiacolla",NA,11,10,2011,"2011-10-11",NA,2011-10-11,"284"
"25","110171",NA,"P110171","P110171","Sclerurus_caudacutus","Sclerurus caudacutus","Sclerurus_caudacutus","Furnariidae",0,37.54095238,"lowland_manu","ground","low",413,1,1,1,0,1,"1","0","0","0",3,1,1,"Sclerurus_caudacutus",541,"13_10_2011_pantiacolla_Sclerurus caudacutus","Sclerurus caudacutus","Sclerurus_caudacutus",438,NA,438,413,"Sclerurus caudacutus","pantiacolla",NA,13,10,2011,"2011-10-13",NA,2011-10-13,"286"
"26","120330","W12","330","W120330","Anisognathus_igniventris","Anisognathus igniventris","Anisognathus_igniventris","Thraupidae",1,34.8345,"high_montane_manu","midhigh","med",2932,1,1,0,0,2,"0","0","2","0",0,0,0,NA,4872,"NA_8_2012_wayqecha_Anisognathus igniventris",NA,"Anisognathus_igniventris",NA,NA,NA,2932,"Anisognathus igniventris","wayqecha",NA,27,8,2012,"2012-8-27","check date",2012-08-27,"240"
"27","116041","P11","6041","P116041","Arremon_taciturnus","Arremon taciturnus","Arremon_taciturnus","Emberizidae",1,27.7755,"lowland_manu","ground-understory","low",429,1,1,1,0,2,"1","1","0","0",7,0,0,"Arremon_taciturnus",4200,"14_8_2011_pantiacolla_Arremon taciturnus",NA,"Arremon_taciturnus",NA,NA,NA,429,"Arremon taciturnus","pantiacolla",NA,14,8,2011,"2011-8-14","check date",2011-08-14,"226"
"28","120779","P12","779","P120779","Arremon_taciturnus","Arremon taciturnus","Arremon_taciturnus","Emberizidae",1,27.7755,"lowland_manu","ground-understory","low",429,1,0,1,0,0,"0","0","0","0",3,0,0,"Arremon_taciturnus",4404,"13_7_2012_pantiacolla_Arremon taciturnus",NA,"Arremon_taciturnus",NA,NA,NA,429,"Arremon taciturnus","pantiacolla",NA,13,7,2012,"2012-7-13",NA,2012-07-13,"195"
"29","110216",NA,"P110216","P110216","Corythopis_torquatus","Corythopis torquatus","Corythopis_torquatus","Tyrannidae",0,17.01754717,"lowland_manu","ground","med",419,1,0,1,0,0,"0","0","0","0",2,0,0,"Corythopis_torquatus",571,"15_10_2011_pantiacolla_Corythopis torquatus","Corythopis torquatus","Corythopis_torquatus",438,NA,438,419,"Corythopis torquatus","pantiacolla",NA,15,10,2011,"2011-10-15",NA,2011-10-15,"288"
"30","110238",NA,"P110238","P110238","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground","low",419,1,0,1,0,0,"0","0","0","0",1,0,0,"Willisornis_poecilinotus",577,"18_10_2011_pantiacolla_Willisornis poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus",422,NA,422,419,"Willisornis poecilinotus","pantiacolla",NA,18,10,2011,"2011-10-18",NA,2011-10-18,"291"
"31","110290",NA,"P110290","P110290","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground","low",419,1,0,1,0,0,"0","0","0","0",1,0,0,"Willisornis_poecilinotus",592,"21_10_2011_pantiacolla_Willisornis poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus",398,NA,398,419,"Willisornis poecilinotus","pantiacolla",NA,21,10,2011,"2011-10-21",NA,2011-10-21,"294"
"32","110297",NA,"P110297","P110297","Thamnomanes_ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus","Thamnophilidae",1,18.58714286,"lowland_manu","midhigh","low",421,1,0,1,0,0,"0","0","0","0",13,0,0,"Thamnomanes_ardesiacus",598,"22_10_2011_pantiacolla_Thamnomanes ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus",398,NA,398,421,"Thamnomanes ardesiacus","pantiacolla",NA,22,10,2011,"2011-10-22",NA,2011-10-22,"295"
"33","110337",NA,"P110337","P110337","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","low",415,0,0,0,0,0,"0","0","0","0",0,0,0,NA,626,"28_10_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",432,NA,432,415,"Myrmotherula axillaris","pantiacolla",NA,28,10,2011,"2011-10-28",NA,2011-10-28,"301"
