,sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,general_diversity,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x,x,ectoparasite_code,species_taxonomy_SACC_2021,elevation_all_years,net_elevation,elevation_extrapolated_date,elevation_midpoint.1,Species_parameters,Station,X,species.y,degree,w_degree,elevation,date,year_seasonality,degree_species,degree_w_species
23,120878,SP12,SP120878,SP120878,Galbula_cyanescens,Galbula cyanescens,Galbula_cynescens,Galbulidae,1,24.96074074,montane_manu,midhigh,low,486.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1671,30_8_2012_san_pedro_Galbula cyanescens,Galbula_cyanescens,1376,NA,1376,486.5,Galbula cyanescens,san_pedro,23,Galbula_cyanescens,10,0.814447448,1376,2012-08-30,243,18,1.936167346
24,120917,SP12,SP120917,SP120917,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,1,1,0,1,0,0,0,0,0,0,1,0,0,Malacoptila_fulvogularis,1697,3_9_2012_san_pedro_Malacoptila fulvogularis,Malacoptila_fulvogularis,1395,NA,1395,1395,Malacoptila fulvogularis,san_pedro,24,Malacoptila_fulvogularis,14,1.402664,1395,2012-09-03,247,15,1.493573091
25,115929,P11,5929,P115929,Automolus_melanopezus,Automolus melanopezus,Automolus_melanopezus,Furnariidae,1,31.118,lowland_manu,understory,high,413,1,2,1,1,0,40,7,4,5,0,151,0,0,Automolus_melanopezus,4177,10_8_2011_pantiacolla_Automolus melanopezus,Automolus_melanopezus,NA,NA,397,413,Automolus melanopezus,pantiacolla,25,Automolus_melanopezus,20,1.736322145,397,2011-08-10,222,43,4.177260727
26,121176,SP12,SP121176,SP121176,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,1,1,0,1,0,0,0,0,0,0,1,1,1,Malacoptila_fulvogularis,1841,22_10_2012_san_pedro_Malacoptila fulvogularis,Malacoptila_fulvogularis,1418,NA,1418,1395,Malacoptila fulvogularis,san_pedro,26,Malacoptila_fulvogularis,14,1.402664,1418,2012-10-22,296,15,1.493573091
27,121189,SP12,SP121189,SP121189,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,1,2,1,1,0,1,0,1,0,0,5,0,0,Malacoptila_fulvogularis,1842,22_10_2012_san_pedro_Malacoptila fulvogularis,Malacoptila_fulvogularis,1418,NA,1418,1395,Malacoptila fulvogularis,san_pedro,27,Malacoptila_fulvogularis,14,1.402664,1418,2012-10-22,296,15,1.493573091
28,121235,SP12,SP121235,SP121235,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1871,25_10_2012_san_pedro_Malacoptila fulvogularis,Malacoptila_fulvogularis,1418,NA,1418,1395,Malacoptila fulvogularis,san_pedro,28,Malacoptila_fulvogularis,14,1.402664,1418,2012-10-25,299,15,1.493573091
29,121276,SP12,SP121276,SP121276,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,1,1,0,1,0,0,0,0,0,0,22,0,0,Malacoptila_fulvogularis,2115,7_11_2012_san_pedro_Malacoptila fulvogularis,Malacoptila_fulvogularis,1307,NA,1307,1395,Malacoptila fulvogularis,san_pedro,29,Malacoptila_fulvogularis,14,1.326906425,1307,2012-11-07,312,15,1.493573091
30,120481,W12,W120481,W120481,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,1,0,1,0,0,0,0,0,0,5,0,0,Pipreola_intermedia,2407,6_9_2012_wayqecha_Pipreola intermedia,Pipreola_intermedia,2816,NA,2816,2648,Pipreola intermedia,wayqecha,30,Pipreola_intermedia,17,2.233936974,2816,2012-09-06,250,17,2.233936974
31,120662,W12,W120662,W120662,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,high,2648,1,1,0,1,0,0,0,0,0,0,5,0,0,Pipreola_intermedia,2709,11_10_2012_wayqecha_Pipreola intermedia,Pipreola_intermedia,2833,NA,2833,2648,Pipreola intermedia,wayqecha,31,Pipreola_intermedia,16,2.122825863,2833,2012-10-11,285,17,2.233936974
32,120693,W12,W120693,W120693,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,high,2648,1,1,0,1,0,0,0,0,0,0,17,0,0,Pipreola_intermedia,2654,15_10_2012_wayqecha_Pipreola intermedia,Pipreola_intermedia,2742,NA,2742,2648,Pipreola intermedia,wayqecha,32,Pipreola_intermedia,17,2.233936974,2742,2012-10-15,289,17,2.233936974
33,120701,W12,W120701,W120701,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,high,2648,1,1,0,1,0,0,0,0,0,0,6,0,0,Pipreola_intermedia,2655,15_10_2012_wayqecha_Pipreola intermedia,Pipreola_intermedia,2742,NA,2742,2648,Pipreola intermedia,wayqecha,33,Pipreola_intermedia,17,2.233936974,2742,2012-10-15,289,17,2.233936974
34,120816,W12,W120816,W120816,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,1,0,1,0,0,0,0,0,0,2,0,0,Pipreola_intermedia,2633,20_10_2012_wayqecha_Pipreola intermedia,Pipreola_intermedia,2681,NA,2681,2648,Pipreola intermedia,wayqecha,34,Pipreola_intermedia,17,2.233936974,2681,2012-10-20,294,17,2.233936974
35,121017,W12,W121017,W121017,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,low,2648,1,2,1,1,0,1,0,0,1,0,7,0,0,Pipreola_intermedia,2451,20_11_2012_wayqecha_Pipreola intermedia,Pipreola_intermedia,2650,NA,2650,2648,Pipreola intermedia,wayqecha,35,Pipreola_intermedia,17,2.233936974,2650,2012-11-20,325,17,2.233936974
36,121018,W12,W121018,W121018,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,2,1,1,0,2,0,0,2,0,21,0,0,Pipreola_intermedia,2452,20_11_2012_wayqecha_Pipreola intermedia,Pipreola_intermedia,2650,NA,2650,2648,Pipreola intermedia,wayqecha,36,Pipreola_intermedia,17,2.233936974,2650,2012-11-20,325,17,2.233936974
37,121045,W12,W121045,W121045,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,1,0,1,0,0,0,0,0,0,19,0,0,Pipreola_intermedia,2480,21_11_2012_wayqecha_Pipreola intermedia,Pipreola_intermedia,2650,NA,2650,2648,Pipreola intermedia,wayqecha,37,Pipreola_intermedia,17,2.233936974,2650,2012-11-21,326,17,2.233936974
38,121150,W12,W121150,W121150,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,low,2648,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2541,1_12_2012_wayqecha_Pipreola intermedia,Pipreola_intermedia,2521,NA,2521,2648,Pipreola intermedia,wayqecha,38,Pipreola_intermedia,17,2.233936974,2521,2012-12-01,336,17,2.233936974
