"","sample","species","degree","w_degree","elevation"
"295","W130939","Anisognathus_igniventris",35,5.19917047846371,2973
"296","P116216","Leptopogon_amaurocephalus",76,7.80697280392846,600
"297","P116225","Leptopogon_amaurocephalus",76,7.80697280392846,600
"298","P120659","Leptopogon_amaurocephalus",81,8.00039945520247,438
"299","P120679","Leptopogon_amaurocephalus",78,7.78717194197496,415
"300","P120922","Leptopogon_amaurocephalus",81,8.00039945520247,438
"301","P121030","Leptopogon_amaurocephalus",80,7.89457934938236,421
"302","P121606","Leptopogon_amaurocephalus",77,7.74871040351342,413
"303","P121751","Leptopogon_amaurocephalus",77,7.74871040351342,414
"304","P130161","Leptopogon_amaurocephalus",59,6.31616909834721,398
"305","P130379","Leptopogon_amaurocephalus",75,7.59771325251627,410
"306","P110028","Pipra_fasciicauda",4,0.556017316017316,381
"307","P110138","Mionectes_macconnelli",38,4.01569249425473,413
"308","P110041","Lepidothrix_coronata",3,0.259294871794872,381
"309","P110055","Mionectes_macconnelli",8,0.994091567661547,381
"310","P110059","Lepidothrix_coronata",3,0.259294871794872,381
"311","P110063","Lepidothrix_coronata",7,0.412566930618401,392
"312","P110069","Habia_rubica",11,0.697700538708603,392
"313","P110078","Mionectes_olivaceus",26,1.80279623339567,392
"314","P110083","Myrmoborus_leucophrys",12,0.908368143807933,392
"315","P110087","Habia_rubica",11,0.697700538708603,392
"316","P110090","Pipra_fasciicauda",18,1.85884488060959,392
"317","P110088","Terenotriccus_erythrurus",6,0.247175925925926,392
"318","P110095","Ramphotrigon_fuscicauda",29,2.8579432130143,397
"319","P110098","Pipra_fasciicauda",21,2.39217821394292,397
"320","P110100","Terenotriccus_erythrurus",7,0.390033068783069,397
"321","P110102","Myrmoborus_myotherinus",36,3.88647614699018,397
"322","P110103","Pipra_fasciicauda",21,2.39217821394292,397
"323","P110111","Automolus_ochrolaemus",44,3.98294819948591,397
"324","P110124","Pipra_fasciicauda",21,2.39217821394292,397
"325","P110133","Pipra_fasciicauda",24,2.58982131158602,413
"326","P110137","Tangara_schrankii",83,8.7420569511133,413
"327","P110142","Automolus_ochrolaemus",74,6.05779490941662,413
"328","P110175","Lepidothrix_coronata",10,0.853043121094592,438
"329","P110179","Mionectes_oleagineus",60,4.53828807967487,438
"330","P110185","Mionectes_oleagineus",60,4.53828807967487,438
"331","P110190","Lepidothrix_coronata",10,0.853043121094592,438
"332","P110192","Mionectes_macconnelli",39,4.14069249425473,438
"333","P110193","Pipra_fasciicauda",25,2.78982131158602,438
"334","P110198","Mionectes_oleagineus",60,4.53828807967487,438
"335","P110203","Mionectes_oleagineus",60,4.53828807967487,438
"336","P110222","Mionectes_oleagineus",60,4.53828807967487,438
"337","P110226","Lepidothrix_coronata",10,0.853043121094592,438
"338","P110228","Pipra_fasciicauda",25,2.78982131158602,438
"339","P110232","Automolus_ochrolaemus",76,6.15779490941662,422
"340","P110243","Mionectes_olivaceus",45,3.5851885807827,422
"341","P110269","Lepidothrix_coronata",9,0.603043121094592,422
"342","P110273","Euphonia_xanthogaster",52,2.31750816057154,422
"343","P110292","Xenops_minutus",33,2.62597561051029,398
"344","P110294","Terenotriccus_erythrurus",7,0.390033068783069,398
"345","P110296","Thamnophilus_schistaceus",52,5.12822593072339,398
"346","P110307","Myrmoborus_myotherinus",49,5.12734745963568,410
"347","P110311","Mionectes_oleagineus",56,4.29474232804089,410
"348","P110312","Mionectes_oleagineus",56,4.29474232804089,410
"349","P110317","Lepidothrix_coronata",9,0.603043121094592,410
"350","P110320","Pipra_fasciicauda",24,2.58982131158602,410
"351","P110322","Pipra_fasciicauda",24,2.58982131158602,410
"352","P110323","Arremon_taciturnus",18,1.58350878670139,410
"353","P110324","Pipra_fasciicauda",24,2.58982131158602,410
"354","P110325","Thamnophilus_schistaceus",70,6.15235491566759,410
"355","P110331","Pipra_fasciicauda",25,2.78982131158602,432
"356","P110332","Pipra_fasciicauda",25,2.78982131158602,432
"357","P110333","Lepidothrix_coronata",10,0.853043121094592,432
"358","P110338","Mionectes_oleagineus",60,4.53828807967487,432
"359","P110343","Lepidothrix_coronata",10,0.853043121094592,432
"360","P110346","Arremon_taciturnus",19,2.08350878670139,432
"361","P110348","Mionectes_oleagineus",60,4.53828807967487,432
"362","P110359","Arremon_taciturnus",18,1.58350878670139,414
"363","P110367","Xenops_minutus",40,3.11491625923355,414
"364","P110368","Pipra_fasciicauda",24,2.58982131158602,414
"365","P110373","Tangara_schrankii",83,8.7420569511133,414
"366","P110375","Mionectes_oleagineus",58,4.41606585745265,414
"367","P110376","Automolus_subulatus",40,3.83753650089478,414
"368","P110393","Pipra_fasciicauda",24,2.58982131158602,414
"369","P110396","Epinecrophylla_erythrura",60,5.42642888726343,414
"370","P110399","Mionectes_macconnelli",38,4.01569249425473,414
"371","P110404","Mionectes_oleagineus",58,4.41606585745265,414
"372","P110405","Cyanoloxia_cyanoides",13,1.13879453875495,414
"373","P110418","Thamnophilus_schistaceus",73,6.38198036268434,422
"374","P110420","Mionectes_macconnelli",38,4.01569249425473,422
"375","P110421","Trogon_violaceus",33,3.7228044180512,422
"376","P110422","Lepidothrix_coronata",9,0.603043121094592,422
"377","P110424","Saltator_maximus",57,4.8751001673876,422
"378","P110425","Pipra_fasciicauda",25,2.78982131158602,422
"379","P115906","Mionectes_macconnelli",27,2.73166171022395,397
"380","P115910","Cyanoloxia_cyanoides",11,1.05491295980758,397
"381","P115919","Mionectes_olivaceus",28,1.89060985346735,397
"382","P115932","Mionectes_macconnelli",27,2.73166171022395,397
"383","P115935","Xenops_minutus",30,2.40039159700058,397
"384","P115937","Syndactyla_ucayalae",18,1.61541680781143,397
"385","P115940","Akletos_goeldii",6,0.459902461668766,397
"386","P115942","Thamnophilus_schistaceus",45,4.31340900373255,397
"387","P115944","Mionectes_macconnelli",27,2.73166171022395,397
"388","P115945","Thamnophilus_schistaceus",45,4.31340900373255,397
"389","P115948","Terenotriccus_erythrurus",7,0.390033068783069,397
"390","P115952","Pipra_fasciicauda",21,2.39217821394292,397
"391","P115956","Pipra_fasciicauda",21,2.39217821394292,397
"392","P110029","Isleria_hauxwelli",3,0.28525641025641,381
"393","P110085","Isleria_hauxwelli",12,0.870708919216984,392
"394","P110086","Isleria_hauxwelli",12,0.870708919216984,392
"395","P115964","Pipra_fasciicauda",21,2.39217821394292,397
"396","P110172","Isleria_hauxwelli",18,1.42312775038582,438
"397","P115991","Akletos_goeldii",6,0.459902461668766,397
"398","P115993","Thamnophilus_schistaceus",45,4.31340900373255,397
"399","P110215","Isleria_hauxwelli",18,1.42312775038582,438
