species_jetz,sociality,Powder.lvl,elevation,total_parasites
Leptopogon_superciliaris,1,low,1387,1
Tangara_arthus,1,low,1308.5,18
Formicarius_rufipectus,0,very low,1431,0
Hemispingus_atropileus,1,low,2742,0
Hemispingus_atropileus,1,low,2742,0
Hemispingus_atropileus,1,med,2742,21
Basileuterus_tristriatus,1,low,1459,17
Basileuterus_tristriatus,1,low,1459,7
Chlorospingus_ophthalmicus,1,low,1821,21
Anabacerthia_striaticollis,1,low,1397,2
Chlorospingus_ophthalmicus,1,low,1821,59
Chlorospingus_ophthalmicus,1,low,1821,2
Premnoplex_brunnescens,1,low,1366,18
Chlorochrysa_calliparaea,1,low,1387,16
Pyrrhomyias_cinnamomeus,1,low,2324,3
Chlorospingus_ophthalmicus,1,low,1821,0
Anabacerthia_striaticollis,1,low,1397,0
Premnoplex_brunnescens,1,low,1366,66
Chlorochrysa_calliparaea,1,low,1387,2
Basileuterus_tristriatus,1,low,1459,6
Basileuterus_tristriatus,1,low,1459,3
Hemispingus_atropileus,1,low,2742,0
Hemispingus_atropileus,1,med,2742,21
Hemispingus_atropileus,1,high,2742,30
Anisognathus_igniventris,1,low,2932,1
Anisognathus_igniventris,1,med,2932,0
Hemispingus_atropileus,1,med,2742,468
Hemispingus_atropileus,1,low,2742,1
Hemispingus_atropileus,1,low,2742,5
Anisognathus_igniventris,1,low,2932,23
Hemispingus_atropileus,1,low,2742,6
Arremon_torquatus,1,low,2742,2
Hemispingus_atropileus,1,low,2742,3
Hemispingus_atropileus,1,med,2742,4
Anisognathus_igniventris,1,med,2932,3
Anisognathus_igniventris,1,med,2932,0
Hemispingus_atropileus,1,low,2742,5
Hemispingus_atropileus,1,low,2742,3
Chlorornis_riefferii,1,med,2728,6
Hemispingus_atropileus,1,low,2742,0
Hemispingus_atropileus,1,high,2742,12
Chlorornis_riefferii,1,high,2728,1
Hemispingus_atropileus,1,high,2742,136
Myioborus_melanocephalus,1,med,2578,1
Chlorornis_riefferii,1,med,2728,9
Myioborus_melanocephalus,1,low,2578,1
Chlorornis_riefferii,1,high,2728,6
Hemispingus_atropileus,1,med,2742,300
Anisognathus_igniventris,1,med,2932,1
Hemispingus_atropileus,1,low,2742,0
Hemispingus_atropileus,1,low,2742,515
Hemispingus_atropileus,1,med,2742,41
Hemispingus_melanotis,1,high,1515,0
Hemispingus_melanotis,1,high,1515,5
Hemispingus_melanotis,1,med,1515,5
Hemispingus_melanotis,1,med,1515,1
Chlorornis_riefferii,1,high,2728,15
Arremon_torquatus,1,high,2742,81
Arremon_torquatus,1,low,2742,0
Hemispingus_melanotis,1,low,1515,2
Myioborus_melanocephalus,1,low,2578,5
Hemispingus_melanotis,1,med,1515,26
