species,low_limit,high_limit
Turdus_nigriceps,757.3182765,1070.321603
Tyrannus_melancholicus,866.4812135,1070.321603
Vireo_leucophrys,380.0000471,1070.321603
Xenops_minutus,380.0000471,656.6093798
Xiphorhynchus_elegans,380.0000471,556.9725997
Xiphorhynchus_guttatus,380.0000471,741.2686403
Xiphorhynchus_ocellatus,501.1134514,1070.321603
Zimmerius_bolivianus,926.8364841,1070.321603
Anabazenops_dorsalis,1170.299477,1229.796382
Anisognathus_somptuosus,1587.305504,1736.272085
Arremon_brunneinucha,1276.672255,1736.272085
Basileuterus_tristriatus,1252.364027,1736.272085
Campylorhamphus_trochilirostris,1170.299477,1500.498782
Campylorhynchus_turdinus,1170.299477,1219.240342
Catharus_maculatus,1170.299477,1736.272085
Catharus_ustulatus,1170.299477,1674.705148
Cercomacroides_serva,1170.299477,1566.929409
Chiroxiphia_boliviana,1170.299477,1736.272085
Chlorochrysa_calliparaea,1170.299477,1683.750736
Chlorophonia_cyanea,1170.299477,1736.272085
Chlorospingus_flavigularis,1170.299477,1570.219056
Chlorospingus_flavopectus,1170.299477,1736.272085
Chlorospingus_parvirostris,1223.679558,1736.272085
Clibanornis_rubiginosus,1170.299477,1229.265637
Coereba_flaveola,1170.299477,1406.086842
Colaptes_rubiginosus,1170.299477,1736.272085
Conopias_cinchoneti,1170.299477,1511.817588
Conopophaga_ardesiaca,1170.299477,1607.458009
Cranioleuca_curtata,1170.299477,1661.481729
Creurgops_dentatus,1180.322404,1736.272085
Cyanerpes_caeruleus,1170.299477,1496.7684
Cyanocorax_violaceus,1170.299477,1327.965988
Cyanocorax_yncas,1170.299477,1736.272085
Cyphorhinus_thoracicus,1170.299477,1574.868863
Diglossa_caerulescens,1435.670535,1736.272085
Diglossa_glauca,1184.073021,1736.272085
Drymophila_caudata,1432.910889,1736.272085
Dysithamnus_mentalis,1170.299477,1691.521775
Entomodestes_leucotis,1399.00214,1736.272085
Epinecrophylla_ornata,1170.299477,1627.628265
Epinecrophylla_spodionota,1170.299477,1423.114472
Eubucco_versicolor,1170.299477,1736.272085
Euphonia_mesochrysa,1170.299477,1690.767679
Euphonia_xanthogaster,1170.299477,1736.272085
Haplospiza_rustica,1210.998785,1736.272085
Henicorhina_leucophrys,1170.299477,1736.272085
Herpsilochmus_axillaris,1170.299477,1590.139445
Hylophylax_naevius,1170.299477,1288.421472
Hypocnemis_subflava,1170.299477,1437.704218
Iridosornis_analis,1170.299477,1736.272085
Ixothraupis_punctata,1170.299477,1736.272085
Lathrotriccus_euleri,1170.299477,1609.968202
Lepidothrix_coeruleocapilla,1170.299477,1598.398195
Leptopogon_superciliaris,1170.299477,1678.247765
Lochmias_nematura,1170.299477,1612.417208
Lophotriccus_pileatus,1170.299477,1686.520341
Machaeropterus_pyrocephalus,1170.299477,1189.16816
Malacoptila_fulvogularis,1194.571851,1728.004835
Micromonacha_lanceolata,1170.299477,1535.040689
Microrhopias_quixensis,1170.299477,1185.003847
Mionectes_olivaceus,1170.299477,1522.513317
Mionectes_striaticollis,1170.299477,1736.272085
Myadestes_ralloides,1170.299477,1736.272085
Myiarchus_tuberculifer,1170.299477,1736.272085
Myiobius_villosus,1170.299477,1736.272085
Myioborus_miniatus,1170.299477,1736.272085
Myiodynastes_chrysocephalus,1170.299477,1736.272085
Myiophobus_inornatus,1170.299477,1736.272085
Myiotheretes_striaticollis,1170.299477,1736.272085
Myiothlypis_bivittata,1170.299477,1468.550548
Myiothlypis_coronata,1297.456078,1736.272085
Myiotriccus_ornatus,1170.299477,1173.251812
Myrmelastes_leucostigma,1170.299477,1419.427474
Myrmotherula_longicauda,1170.299477,1431.987319
Myrmotherula_schisticolor,1242.949247,1735.477418
Odontorchilus_branickii,1170.299477,1690.95627
Pharomachrus_antisianus,1182.215293,1736.272085
Pheugopedius_genibarbis,1170.299477,1517.294884
Phylloscartes_ophthalmicus,1170.299477,1602.564094
Phylloscartes_parkeri,1170.299477,1361.528009
Phylloscartes_ventralis,1337.531925,1736.272085
Piaya_cayana,1170.299477,1736.272085
Platyrinchus_mystaceus,1170.299477,1736.272085
Poecilotriccus_plumbeiceps,1570.158294,1736.272085
Premnoplex_brunnescens,1208.144092,1593.503325
Psarocolius_angustifrons,1170.299477,1254.354557
Psarocolius_atrovirens,1170.299477,1736.272085
Psarocolius_decumanus,1170.299477,1297.618273
Pyriglena_leuconota,1170.299477,1736.272085
Pyrrhomyias_cinnamomeus,1399.382098,1736.272085
Ramphocelus_carbo,1170.299477,1477.80619
