"","elevation_cat","sociality","foraging_cat","species_jetz","species_clean","ectoparasites_PA_max","sample_size"
"105","montane_manu",1,"understory","Chlorospingus_flavigularis","Chlorospingus flavigularis",1,16
"106","montane_manu",1,"midhigh","Tangara_arthus","Tangara arthus",1,10
"107","montane_manu",1,"midhigh","Leptopogon_superciliaris","Leptopogon superciliaris",1,8
"108","montane_manu",1,"understory","Premnoplex_brunnescens","Premnoplex brunnescens",1,28
"109","montane_manu",1,"understory","Rhynchocyclus_fulvipectus","Rhynchocyclus fulvipectus",1,6
"110","montane_manu",1,"midhigh","Myioborus_miniatus","Myioborus miniatus",1,5
"111","montane_manu",1,"understory","Basileuterus_tristriatus","Basileuterus tristriatus",1,11
"112","montane_manu",1,"other","Chlorospingus_ophthalmicus","Chlorospingus flavopectus",1,5
"113","montane_manu",0,"understory","Eutoxeres_condamini","Eutoxeres condamini",1,1
"114","montane_manu",1,"midhigh","Anabacerthia_striaticollis","Anabacerthia striaticollis",1,8
"115","montane_manu",0,"understory","Hylophylax_naevius","Hylophylax naevius",1,13
"116","lowland_manu",1,"understory","Mionectes_olivaceus","Mionectes olivaceus",1,23
"117","lowland_manu",1,"undersory-midhigh","Leptopogon_amaurocephalus","Leptopogon amaurocephalus",1,17
"118","montane_manu",1,"midhigh","Phylloscartes_ophthalmicus","Phylloscartes ophthalmicus",1,6
"119","montane_manu",0,"ground-understory","Microcerculus_marginatus","Microcerculus marginatus",1,19
"120","montane_manu",1,"midhigh-canopy","Chlorochrysa_calliparaea","Chlorochrysa calliparaea",1,3
"121","montane_manu",1,"understory","Pyrrhomyias_cinnamomeus","Pyrrhomyias cinnamomeus",1,3
"122","high_montane_manu",1,"understory","Rhynchocyclus_fulvipectus","Rhynchocyclus fulvipectus",1,6
"123","high_montane_manu",1,"midhigh","Chlorornis_riefferii","Chlorornis riefferii",1,14
"124","high_montane_manu",1,"midhigh","Anisognathus_igniventris","Anisognathus igniventris",1,14
"125","high_montane_manu",1,"understory","Iridosornis_jelskii","Iridosornis jelskii",1,18
"126","high_montane_manu",1,"undersory-midhigh","Arremon_torquatus","Arremon torquatus",1,13
"127","high_montane_manu",1,"understory","Hemispingus_atropileus","Kleinothraupis atropileus",1,28
"128","high_montane_manu",1,"canopy","Myioborus_melanocephalus","Myioborus melanocephalus",1,12
"129","high_montane_manu",1,"midhigh-canopy","Mecocerculus_stictopterus","Mecocerculus stictopterus",1,1
"130","montane_manu",1,"undersory-midhigh","Chiroxiphia_boliviana","Chiroxiphia boliviana",1,1
"131","high_montane_manu",1,"understory","Pyrrhomyias_cinnamomeus","Pyrrhomyias cinnamomeus",1,3
"132","lowland_iquitos",0,"ground","Phaeothlypis_fulvicauda","Myiothlypis fulvicauda",1,1
"133","lowland_manu",1,"undersory-midhigh","Pipra_fasciicauda","Pipra fasciicauda",1,25
"134","lowland_manu",1,"midhigh","Habia_rubica","Habia rubica",1,12
"135","lowland_manu",0,"ground-midhigh","Momotus_momota","Momotus momota",1,5
"136","lowland_manu",1,"undersory-midhigh","Myrmotherula_longipennis","Myrmotherula longipennis",1,4
"137","lowland_manu",1,"midhigh","Mionectes_macconnelli","Mionectes macconnelli",1,14
"138","lowland_manu",0,"ground","Geotrygon_montana","Geotrygon montana",1,14
"139","lowland_manu",0,"canopy","Psarocolius_angustifrons","Psarocolius angustifrons",1,1
"140","lowland_manu",1,"ground","Myrmoborus_leucophrys","Myrmoborus leucophrys",0,1
"141","lowland_manu",1,"midhigh","Terenotriccus_erythrurus","Terenotriccus erythrurus",1,23
"142","lowland_manu",1,"undersory-midhigh","Ramphotrigon_fuscicauda","Ramphotrigon fuscicauda",1,3
"143","lowland_manu",1,"ground-understory","Myrmoborus_myotherinus","Myrmoborus myotherinus",1,22
"144","lowland_manu",0,"undersory-midhigh","Laniocera_hypopyrra","Laniocera hypopyrra",1,3
"145","lowland_manu",1,"understory","Automolus_ochrolaemus","Automolus ochrolaemus",1,13
"146","lowland_manu",1,"canopy","Xenops_tenuirostris","Xenops tenuirostris",0,1
"147","lowland_manu",1,"midhigh","Tangara_schrankii","Tangara schrankii",1,6
"148","lowland_manu",0,"ground","Turdus_albicollis","Turdus albicollis",1,6
"149","lowland_manu",0,"canopy","Pteroglossus_azara","Pteroglossus azara",1,2
"150","lowland_manu",0,"understory","Synallaxis_cabanisi","Synallaxis cabanisi",1,1
"151","lowland_manu",1,"undersory-midhigh","Mionectes_oleagineus","Mionectes oleagineus",1,24
"152","lowland_iquitos",0,"canopy","Cacicus_cela","Cacicus cela",1,1
"153","lowland_manu",0,"ground","Gymnopithys_salvini","Oneillornis salvini",1,19
"154","lowland_manu",0,"canopy","Pteroglossus_beauharnaesii","Pteroglossus beauharnaisii",1,2
"155","lowland_manu",0,"understory","Platyrinchus_coronatus","Platyrinchus coronatus",0,2
"156","lowland_manu",1,"midhigh","Euphonia_xanthogaster","Euphonia xanthogaster",1,5
"157","lowland_manu",1,"midhigh-canopy","Philydor_erythropterum","Dendroma erythroptera",0,1
"158","lowland_manu",1,"undersory-midhigh","Xenops_minutus","Xenops minutus",1,11
"159","lowland_manu",0,"ground-understory","Catharus_ustulatus","Catharus ustulatus",1,3
"160","lowland_manu",1,"midhigh","Thamnophilus_schistaceus","Thamnophilus schistaceus",1,14
"161","lowland_manu",1,"understory","Epinecrophylla_leucophthalma","Epinecrophylla leucophthalma",1,2
"162","lowland_manu",1,"ground-understory","Arremon_taciturnus","Arremon taciturnus",1,17
"163","lowland_manu",0,"midhigh","Campylopterus_largipennis","Campylopterus largipennis",1,1
"164","lowland_manu",1,"undersory-midhigh","Hyloctistes_subulatus","Automolus subulatus",1,5
"165","lowland_manu",0,"midhigh","Neoctantes_niger","Neoctantes niger",0,1
"166","lowland_manu",1,"midhigh","Epinecrophylla_erythrura","Epinecrophylla erythrura",1,1
"167","lowland_manu",1,"ground","Cyanocompsa_cyanoides","Cyanoloxia cyanoides",1,9
"168","lowland_manu",1,"understory","Trogon_violaceus","Trogon violaceus",0,1
"169","lowland_manu",1,"other","Saltator_maximus","Saltator maximus",1,1
"170","lowland_manu",0,"ground","Phlegopsis_nigromaculata","Phlegopsis nigromaculata",1,5
"171","lowland_manu",1,"understory","Automolus_melanopezus","Automolus melanopezus",1,1
"172","lowland_manu",1,"understory","Simoxenops_ucayalae","Syndactyla ucayalae",1,1
"173","lowland_manu",1,"ground-understory","Myrmeciza_goeldii","Akletos goeldii",1,24
"174","lowland_manu",0,"ground-understory","Cyphorhinus_arada","Cyphorhinus arada",1,1
"175","lowland_manu",0,"canopy","Ramphastos_tucanus","Ramphastos tucanus",1,1
"176","lowland_manu",1,"midhigh","Anabazenops_dorsalis","Anabazenops dorsalis",1,1
"177","lowland_manu",0,"canopy","Philydor_rufum","Dendroma rufa",1,1
"178","lowland_manu",1,"midhigh","Deconychura_longicauda","Deconychura longicauda",1,6
"179","lowland_manu",0,"canopy","Piprites_chloris","Piprites chloris",1,1
"180","lowland_manu",1,"understory","Automolus_infuscatus","Automolus infuscatus",1,1
"181","lowland_manu",1,"ground","Conopophaga_peruviana","Conopophaga peruviana",1,2
"182","lowland_manu",0,"ground","Dichrozona_cincta","Dichrozona cincta",1,1
"183","lowland_manu",1,"ground-understory","Percnostola_lophotes","Myrmoborus lophotes",1,6
"184","lowland_manu",0,"ground-understory","Myrmeciza_hemimelaena","Sciaphylax hemimelaena",1,4
"185","lowland_manu",0,"undersory-midhigh","Rhytipterna_simplex","Rhytipterna simplex",1,3
