NO#,Collection,Sample label,Sample No. #,Full_Label,Powder lvl,Host genus,Host species,Order,Family,Lice,Mites,Ticks,Other,Host Family,Order2,Date of collection,Country,Province,Locality,Altitude
254,JUM,M,M605,M605,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
255,JUM,M,M606,M606,,Pithys,albifrons,Passeriformes,Thamnophilidae,Yes,No,No,No,,,,,,,
256,JUM,M,M607,M607,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
257,JUM,M,M608,M608,,Percnostola,fortis,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
258,JUM,M,M612,M612,,Percnostola,fortis,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
259,JUM,M,M613,M613,,Dendrocincla,merula,Passeriformes,"Furnariidae
",No,No,No,No,,,,,,,
260,JUM,M,M614,M614,,Percnostola,fortis,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
261,JUM,M,M618,M618,,Geotrygon,montana,Columbiformes,"Columbidae
",No,No,No,Yes,,,,,,,
262,JUM,M,M619,M619,,Dendrocincla,merula,Passeriformes,"Furnariidae
",Yes,No,No,No,,,,,,,
263,JUM,M,M620,M620,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
264,JUM,M,M625,M625,,Mionectes,oleagineus,Passeriformes,Tyrannidae,Yes,Yes,No,No,,,,,,,
265,JUM,M,M626,M626,,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
266,JUM,M,M628,M628,,Pseudopipra,pipra,Passeriformes,Pipridae,Yes,Yes,No,No,,,,,,,
267,JUM,M,M610,M610,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
268,JUM,M,M634,M634,,Thamnomanes,caesius,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
269,JUM,M,M635,M635,,Oneillornis,lunulatus,Passeriformes,"Thamnophilidae
",No,No,No,No,,,,,,,
270,JUM,M,M646,M646,,Mionectes,oleagineus,Passeriformes,Tyrannidae,No,No,No,No,,,,,,,
271,JUM,M,M650,M650,,Ceratopipra,erythrocephala,Passeriformes,Pipridae,No,No,No,No,,,,,,,
272,JUM,M,M651,M651,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,Yes,No,No,No,,,,,,,
273,JUM,M,M654,M654,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
274,JUM,V,V657,V657,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,Yes,No,No,No,,,,,,,
275,JUM,V,V658,V658,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
276,JUM,V,V660,V660,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,Yes,Yes,No,No,,,,,,,
277,JUM,V,V661,V661,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
278,JUM,V,V662,V662,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
279,JUM,V,V663,V663,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
280,JUM,V,V664,V664,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
281,JUM,V,V665,V665,,Corythopis,torquatus,Passeriformes,Tyrannidae,No,No,No,No,,,,,,,
282,JUM,V,V667,V667,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
283,JUM,V,V668,V668,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
284,JUM,V,V669,V669,,Pithys,albifrons,Passeriformes,Thamnophilidae,Yes,Yes,No,No,,,,,,,
285,JUM,V,V671,V671,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,No,No,Yes,,,,,,,
286,JUM,V,V672,V672,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
287,JUM,V,V673,V673,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
288,JUM,V,V675,V675,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
289,JUM,V,V677,V677,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,Yes,Yes,No,No,,,,,,,
290,JUM,V,V678,V678,,Microcerculus,marginatus,Passeriformes,Troglodytidae,No,Yes,Yes,No,,,,,,,
291,JUM,V,V679,V679,,Automolus,ochrolaemus,Passeriformes,Furnariidae,Yes,No,No,No,,,,,,,
292,JUM,V,V680,V680,,Xiphorhynchus,elegans,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
293,JUM,V,V682,V682,,Celeus,grammicus,Piciformes,Picidae,Yes,Yes,No,No,,,,,,,
294,JUM,V,V685,V685,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,No,Yes,Yes,No,,,,,,,
295,JUM,V,V687,V687,,Dendrocolaptes,certhia,Passeriformes,"Furnariidae
",No,Yes,No,No,,,,,,,
296,JUM,V,V688,V688,,Geotrygon,montana,Columbiformes,"Columbidae
",No,Yes,No,No,,,,,,,
297,JUM,V,V690,V690,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
298,JUM,V,V691,V691,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,Yes,Yes,No,No,,,,,,,
299,JUM,V,V692,V692,,Onychorhynchus,coronatus,Passeriformes,Tityridae,Yes,Yes,No,No,,,,,,,
300,JUM,V,V694,V694,,Xiphorhynchus,elegans,Passeriformes,Furnariidae,Yes,Yes,No,No,,,,,,,
301,JUM,V,V695,V695,,Ancistrops,strigilatus,Passeriformes,"Furnariidae
",Yes,Yes,No,No,,,,,,,
302,JUM,V,V699,V699,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
303,JUM,V,V700,V700,,Xenops,minutus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
304,JUM,V,V701,V701,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
305,JUM,V,V702,V702,,Lepidothrix,coronata,Passeriformes,Pipridae,No,No,No,Yes,,,,,,,
306,JUM,V,V703,V703,,Sclerurus,mexicanus,Passeriformes,"Furnariidae
",No,Yes,No,No,,,,,,,
307,JUM,V,V711,V711,,Platyrinchus,saturatus,Xiphorhynchus,elegans,No,Yes,No,No,,,,,,,
308,JUM,V,V712,V712,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
309,JUM,V,V717,V717,,Sclerurus,mexicanus,Passeriformes,"Furnariidae
",No,Yes,No,No,,,,,,,
310,JUM,V,V720,V720,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,Yes,Yes,No,Yes,,,,,,,
311,JUM,V,V721,V721,,Ceratopipra,erythrocephala,Passeriformes,Pipridae,Yes,Yes,No,No,,,,,,,
312,JUM,V,V723,V723,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
313,JUM,V,V724,V724,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",No,No,No,Yes,,,,,,,
314,JUM,V,V725,V725,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Yes,Yes,No,,,,,,,
315,JUM,,857,857,,Formicarius,colma,Passeriformes,"Formicariidae
",Yes,Yes,No,No,,,,,,,
316,JUM,V,V1297,V1297,,Formicarius,colma,Passeriformes,"Formicariidae
",No,Yes,No,No,,,,,,,
317,JUM,M,M1743,M1743,,Formicarius,colma,Passeriformes,"Formicariidae
",No,No,No,No,,,,,,,
318,JUM,,3678,3678,,Formicarius,colma,Passeriformes,"Formicariidae
",Yes,No,No,No,,,,,,,
319,JUM,,3785,3785,,Formicarius,colma,Passeriformes,"Formicariidae
",No,No,No,No,,,,,,,
320,JUM,,4438,4438,,Formicarius,colma,Passeriformes,"Formicariidae
",No,No,No,Yes,,,,,,,
321,JUM,,4514,4514,,Formicarius,colma,Passeriformes,"Formicariidae
",No,No,No,Yes,,,,,,,
322,JUM,,946,946,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",No,No,No,No,,,,,,,
323,JUM,,968,968,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",Yes,Yes,No,No,,,,,,,
324,JUM,,980,980,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",No,No,No,No,,,,,,,
325,JUM,,1064,1064,,Automolus,subulatus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
326,JUM,,2133,2133,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",No,No,No,No,,,,,,,
327,JUM,,1073,1073,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",No,No,No,No,,,,,,,
328,JUM,,3808,3808,,Mionectes,oleagineus,Passeriformes,Tyrannidae,Yes,No,No,Yes,,,,,,,
329,JUM,,2028,2028,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",No,No,No,No,,,,,,,
330,JUM,,2103,2103,,Mionectes,oleagineus,Passeriformes,Tyrannidae,Yes,No,No,No,,,,,,,
331,JUM,,3576,3576,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",No,Yes,No,No,,,,,,,
332,JUM,,3609,3609,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",No,Yes,No,No,,,,,,,
333,JUM,,4003,4003,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",No,No,Yes,Yes,,,,,,,
334,JUM,,4182,4182,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",Yes,Yes,No,No,,,,,,,
335,JUM,,3810,3810,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",No,Yes,No,No,,,,,,,
336,JUM,,4281,4281,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",Yes,Yes,No,No,,,,,,,
337,JUM,,3836,3836,,Dendrocincla,fuliginosa,Passeriformes,"Furnariidae
",No,No,No,Yes,,,,,,,
338,JUM,,1009,1009,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,No,No,Yes,,,,,,,
339,JUM,,1022,1022,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,Yes,Yes,No,Yes,,,,,,,
340,JUM,,3837,3837,,Dendrocincla,fuliginosa,Passeriformes,"Furnariidae
",No,Yes,No,Yes,,,,,,,
341,JUM,V,V728,V728,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,Yes,,,,,,,
342,JUM,V,V783,V783,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
343,JUM,V,V729,V729,,Deconychura,longicauda,Passeriformes,"Furnariidae
",No,Yes,No,No,,,,,,,
344,JUM,V,V730,V730,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
345,JUM,V,V733,V733,,Lepidothrix,coronata,Passeriformes,Pipridae,No,Yes,No,No,,,,,,,
346,JUM,V,V735,V735,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
347,JUM,V,V737,V737,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
348,JUM,V,V738,V738,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,Yes,Yes,No,No,,,,,,,
349,JUM,V,V739,V739,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,Yes,No,No,No,,,,,,,
350,JUM,V,V744,V744,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,Yes,No,No,No,,,,,,,
351,JUM,V,V743,V743,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
352,JUM,V,V756,V756,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",No,Yes,No,No,,,,,,,
353,JUM,V,V742,V742,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
354,JUM,V,V746,V746,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,Yes,Yes,No,No,,,,,,,
355,JUM,V,V747,V747,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
356,JUM,V,V748,V748,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
357,JUM,V,V740,V740,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
358,JUM,V,V757,V757,,Ceratopipra,erythrocephala,Passeriformes,"Pipridae
",Yes,No,No,No,,,,,,,
359,JUM,V,V787,V787,,Cyanoloxia,cyanoides,Passeriformes,Cardinalidae,No,Yes,No,No,,,,,,,
360,JUM,V,V750,V750,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
361,JUM,V,V759,V759,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,Yes,,,,,,,
362,JUM,,4021,4021,,Dendrocincla,fuliginosa,Passeriformes,"Furnariidae
",No,No,No,No,,,,,,,
363,JUM,,4037,4037,,Dendrocincla,fuliginosa,Passeriformes,"Furnariidae
",No,No,No,No,,,,,,,
364,JUM,V,V762,V762,,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
365,JUM,V,V763,V763,,Percnostola,fortis,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
366,JUM,V,V764,V764,,Myrmelastes,leucostigma,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
367,JUM,V,V765,V765,,Nonnula,brunnea,Piciformes,"Bucconidae
",No,No,No,No,,,,,,,
368,JUM,V,V766,V766,,Synallaxis,rutilans,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
369,JUM,V,V767,V767,,Sclerurus,mexicanus,Passeriformes,"Furnariidae
",No,Yes,No,No,,,,,,,
370,JUM,,1023,1023,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
371,JUM,,4103,4103,,Dendrocincla,fuliginosa,Passeriformes,"Furnariidae
",No,No,No,No,,,,,,,
372,JUM,,1025,1025,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
373,JUM,V,V768,V768,,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
374,JUM,V,V771,V771,,Myrmelastes,leucostigma,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
375,JUM,V,V778,V778,,Lepidothrix,coronata,Passeriformes,Pipridae,No,No,No,No,,,,,,,
376,JUM,,1028,1028,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
377,JUM,V,V785,V785,,Lepidothrix,coronata,Passeriformes,Pipridae,No,No,No,No,,,,,,,
378,JUM,V,V769,V769,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,Yes,,,,,,,
379,JUM,V,V770,V770,,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,No,Yes,No,Yes,,,,,,,
380,JUM,V,V772,V772,,Percnostola,fortis,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
381,JUM,V,V773,V773,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
382,JUM,V,V774,V774,,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
383,JUM,,779,779,,Lepidothrix,coronata,Passeriformes,Pipridae,No,No,No,No,,,,,,,
384,JUM,,781,781,,Manacus,manacus,Passeriformes,Pipridae,No,Yes,No,No,,,,,,,
385,JUM,,782,782,,Geotrygon,montana,Columbiformes,"Columbidae
",No,No,No,No,,,,,,,
386,JUM,,784,784,,Lepidothrix,coronata,Passeriformes,Pipridae,No,Yes,No,No,,,,,,,
387,JUM,,789,789,,Euphonia,xanthogaster,Passeriformes,Fringillidae,Yes,Yes,No,No,,,,,,,
388,JUM,,791,791,,Microcerculus,marginatus,Passeriformes,Troglodytidae,No,Yes,Yes,Yes,,,,,,,
389,JUM,,795,795,,Synallaxis,rutilans,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
390,JUM,,798,798,,Momotus,momota,Coraciiformes,Momotidae,No,Yes,No,No,,,,,,,
