"","species_pair","species","species2","low_limit","high_limit"
"70","Myrmotherula.brachyura&Cercomacroides.serva","Myrmotherula.brachyura","Cercomacroides.serva",380.0000471,776.2948127
"71","Myrmotherula.longicauda&Cercomacroides.serva","Myrmotherula.longicauda","Cercomacroides.serva",969.1766003,1431.987319
"72","Myrmotherula.menetriesii&Cercomacroides.serva","Myrmotherula.menetriesii","Cercomacroides.serva",380.0000471,553.0720514
"73","Myrmotherula.schisticolor&Cercomacroides.serva","Myrmotherula.schisticolor","Cercomacroides.serva",1242.949247,1566.929409
"74","Oneillornis.salvini&Cercomacroides.serva","Oneillornis.salvini","Cercomacroides.serva",380.0000471,508.6982498
"75","Pyriglena.leuconota&Cercomacroides.serva","Pyriglena.leuconota","Cercomacroides.serva",1036.267373,1566.929409
"76","Rhegmatorhina.melanosticta&Cercomacroides.serva","Rhegmatorhina.melanosticta","Cercomacroides.serva",380,1011.101573
"77","Sciaphylax.hemimelaena&Cercomacroides.serva","Sciaphylax.hemimelaena","Cercomacroides.serva",380,1212.630708
"78","Thamnomanes.ardesiacus&Cercomacroides.serva","Thamnomanes.ardesiacus","Cercomacroides.serva",380.0000471,525.366705
"79","Thamnomanes.schistogynus&Cercomacroides.serva","Thamnomanes.schistogynus","Cercomacroides.serva",380.0000471,782.9777507
"80","Thamnophilus.caerulescens&Cercomacroides.serva","Thamnophilus.caerulescens","Cercomacroides.serva",1435.312561,1566.929409
"81","Thamnophilus.palliatus&Cercomacroides.serva","Thamnophilus.palliatus","Cercomacroides.serva",941.374244,1450.684489
"82","Thamnophilus.schistaceus&Cercomacroides.serva","Thamnophilus.schistaceus","Cercomacroides.serva",380.0000471,848.7361562
"83","Akletos.goeldii&Cymbilaimus.sanctaemariae","Akletos.goeldii","Cymbilaimus.sanctaemariae",405.5124356,816.2073002
"84","Cercomacra.manu&Cymbilaimus.sanctaemariae","Cercomacra.manu","Cymbilaimus.sanctaemariae",405.5124356,1047.448962
"85","Cercomacroides.serva&Cymbilaimus.sanctaemariae","Cercomacroides.serva","Cymbilaimus.sanctaemariae",405.5124356,1161.333136
"86","Dysithamnus.mentalis&Cymbilaimus.sanctaemariae","Dysithamnus.mentalis","Cymbilaimus.sanctaemariae",583.0497077,1161.333136
"87","Epinecrophylla.ornata&Cymbilaimus.sanctaemariae","Epinecrophylla.ornata","Cymbilaimus.sanctaemariae",478.8607096,1161.333136
"88","Epinecrophylla.spodionota&Cymbilaimus.sanctaemariae","Epinecrophylla.spodionota","Cymbilaimus.sanctaemariae",854.8672431,1161.333136
"89","Hafferia.fortis&Cymbilaimus.sanctaemariae","Hafferia.fortis","Cymbilaimus.sanctaemariae",405.5124356,613.5858084
"90","Herpsilochmus.axillaris&Cymbilaimus.sanctaemariae","Herpsilochmus.axillaris","Cymbilaimus.sanctaemariae",920.4601664,1161.333136
"91","Hylophylax.naevius&Cymbilaimus.sanctaemariae","Hylophylax.naevius","Cymbilaimus.sanctaemariae",405.5124356,1161.333136
"92","Hypocnemis.subflava&Cymbilaimus.sanctaemariae","Hypocnemis.subflava","Cymbilaimus.sanctaemariae",451.2888823,1161.333136
"93","Microrhopias.quixensis&Cymbilaimus.sanctaemariae","Microrhopias.quixensis","Cymbilaimus.sanctaemariae",405.5124356,1161.333136
"94","Myrmelastes.brunneiceps&Cymbilaimus.sanctaemariae","Myrmelastes.brunneiceps","Cymbilaimus.sanctaemariae",405.5124356,746.5097098
"95","Myrmelastes.leucostigma&Cymbilaimus.sanctaemariae","Myrmelastes.leucostigma","Cymbilaimus.sanctaemariae",555.8201003,1161.333136
"96","Myrmoborus.leucophrys&Cymbilaimus.sanctaemariae","Myrmoborus.leucophrys","Cymbilaimus.sanctaemariae",405.5124356,1130.37757
"97","Myrmoborus.lophotes&Cymbilaimus.sanctaemariae","Myrmoborus.lophotes","Cymbilaimus.sanctaemariae",405.5124356,1158.186905
"98","Myrmoborus.myotherinus&Cymbilaimus.sanctaemariae","Myrmoborus.myotherinus","Cymbilaimus.sanctaemariae",405.5124356,747.5128609
"99","Myrmotherula.axillaris&Cymbilaimus.sanctaemariae","Myrmotherula.axillaris","Cymbilaimus.sanctaemariae",405.5124356,534.2222829
"100","Myrmotherula.brachyura&Cymbilaimus.sanctaemariae","Myrmotherula.brachyura","Cymbilaimus.sanctaemariae",405.5124356,776.2948127
"101","Myrmotherula.longicauda&Cymbilaimus.sanctaemariae","Myrmotherula.longicauda","Cymbilaimus.sanctaemariae",969.1766003,1161.333136
"102","Myrmotherula.menetriesii&Cymbilaimus.sanctaemariae","Myrmotherula.menetriesii","Cymbilaimus.sanctaemariae",405.5124356,553.0720514
"103","Oneillornis.salvini&Cymbilaimus.sanctaemariae","Oneillornis.salvini","Cymbilaimus.sanctaemariae",405.5124356,508.6982498
"104","Pyriglena.leuconota&Cymbilaimus.sanctaemariae","Pyriglena.leuconota","Cymbilaimus.sanctaemariae",1036.267373,1161.333136
"105","Rhegmatorhina.melanosticta&Cymbilaimus.sanctaemariae","Rhegmatorhina.melanosticta","Cymbilaimus.sanctaemariae",405.5124356,1011.101573
"106","Sciaphylax.hemimelaena&Cymbilaimus.sanctaemariae","Sciaphylax.hemimelaena","Cymbilaimus.sanctaemariae",405.5124356,1161.333136
"107","Thamnomanes.ardesiacus&Cymbilaimus.sanctaemariae","Thamnomanes.ardesiacus","Cymbilaimus.sanctaemariae",405.5124356,525.366705
"108","Thamnomanes.schistogynus&Cymbilaimus.sanctaemariae","Thamnomanes.schistogynus","Cymbilaimus.sanctaemariae",405.5124356,782.9777507
"109","Thamnophilus.palliatus&Cymbilaimus.sanctaemariae","Thamnophilus.palliatus","Cymbilaimus.sanctaemariae",941.374244,1161.333136
"110","Thamnophilus.schistaceus&Cymbilaimus.sanctaemariae","Thamnophilus.schistaceus","Cymbilaimus.sanctaemariae",405.5124356,848.7361562
"111","Cercomacroides.serva&Drymophila.caudata","Cercomacroides.serva","Drymophila.caudata",1432.910889,1566.929409
"112","Dysithamnus.mentalis&Drymophila.caudata","Dysithamnus.mentalis","Drymophila.caudata",1432.910889,1691.521775
"113","Epinecrophylla.ornata&Drymophila.caudata","Epinecrophylla.ornata","Drymophila.caudata",1432.910889,1627.628265
"114","Herpsilochmus.axillaris&Drymophila.caudata","Herpsilochmus.axillaris","Drymophila.caudata",1432.910889,1590.139445
"115","Hypocnemis.subflava&Drymophila.caudata","Hypocnemis.subflava","Drymophila.caudata",1432.910889,1437.704218
"116","Myrmotherula.schisticolor&Drymophila.caudata","Myrmotherula.schisticolor","Drymophila.caudata",1432.910889,1735.477418
"117","Pyriglena.leuconota&Drymophila.caudata","Pyriglena.leuconota","Drymophila.caudata",1432.910889,1889.261285
"118","Thamnophilus.caerulescens&Drymophila.caudata","Thamnophilus.caerulescens","Drymophila.caudata",1435.312561,2151.799115
"119","Thamnophilus.palliatus&Drymophila.caudata","Thamnophilus.palliatus","Drymophila.caudata",1432.910889,1450.684489
"120","Akletos.goeldii&Dysithamnus.mentalis","Akletos.goeldii","Dysithamnus.mentalis",583.0497077,816.2073002
"121","Cercomacra.manu&Dysithamnus.mentalis","Cercomacra.manu","Dysithamnus.mentalis",583.0497077,1047.448962
"122","Cercomacroides.serva&Dysithamnus.mentalis","Cercomacroides.serva","Dysithamnus.mentalis",583.0497077,1566.929409
"123","Cymbilaimus.sanctaemariae&Dysithamnus.mentalis","Cymbilaimus.sanctaemariae","Dysithamnus.mentalis",583.0497077,1161.333136
"124","Drymophila.caudata&Dysithamnus.mentalis","Drymophila.caudata","Dysithamnus.mentalis",1432.910889,1691.521775
