flock_id,elevation,elevation_bin,num_species,num_ind,flock_type,flock_type_ref,flock_type_cat,sites,trail,weather_cloudy,forest_type,habitat,mean_canopy_H,num_trees,num_sm_steam,num_lg_steam,vain_vol,bamb_vol,canopy_cover,epiphyte_perc,site_network_q1,site_network_q1_1
F124,680,500_700,NA,NA,1,1,Lowland_understory,Pantiacolla,Monk-saki Trail,80,NA,Disturbed primary forest,32,13,26,17,20,0,30,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
F125,411,300_500,8,12,1,1,Lowland_understory,Pantiacolla,Monk-saki Trail,100,Lowland forest,Disturbed primary forest,17,14,27,23,0,0,20,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
FF040,437,300_500,4,6,1,1,Lowland_understory,Pantiacolla,Aracari,40,Lowland rainforest,Terra Firme,30,11,8,9,5,0,40,40,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
FF041,424,300_500,11,13,1,1,Lowland_understory,Pantiacolla,Monk-saki,NA,Lowland rainforest,Terra Firme,26,18,22,21,15,0,10,5,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory&canopy
FF043,427,300_500,12,16,1,1,Lowland_understory,Pantiacolla,Monk-saki,10,Lowland rainforest,Terra Firme,20,10,19,14,10,0,15,5,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
FF045,418,300_500,10,14,1,1,Lowland_understory,Pantiacolla,Monk-saki,0,Lowland rainforest,Terra Firme,27,17,14,10,15,0,30,5,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
FF046,419,300_500,5,8,1,1,Lowland_understory,Pantiacolla,Capibara,20,Lowland rainforest,Flooded forest,NA,16,12,22,30,0,20,20,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
FF048,515,500_700,6,9,1,1,Lowland_understory,Pantiacolla,Mirador,30,Lowland rainforest,Terra Firme,22,8,11,22,5,0,40,5,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
FF050,403,300_500,10,16,1,1,Lowland_understory,Pantiacolla,Capibara,60,Lowland rainforest,Flooded forest,29,23,19,14,10,0,20,15,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
FF051,430,300_500,7,10,1,1,Lowland_understory,Pantiacolla,Pichico,10,Lowland rainforest,Terra Firme,22,15,22,11,50,0,20,30,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
FF059,440,300_500,7,11,1,1,Lowland_understory,Pantiacolla,Pichico,20,Lowland rainforest,Terra Firme,20,11,20,17,20,0,30,5,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
FF061,658,500_700,4,5,1,1,Lowland_understory,Pantiacolla,Mirador Shintuya,10,Lowland rainforest,Terra Firme,NA,6,20,18,5,0,10,5,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
FF064,412,300_500,15,24,1,1,Lowland_understory,Pantiacolla,Capibara,100,Lowland rainforest,Terra Firme,24,5,30,3,20,0,20,5,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
FF065,421,300_500,6,11,1,1,Lowland_understory,Pantiacolla,Monk-saki,0,Lowland rainforest,Terra Firme,28,10,15,11,10,40,70,0,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
