,species_from_detections,species_taxonomy_SACC_2021,n,species,species_jetz,notes_taxonomy.x.x,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,X2010.IUCN.Red.List.category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,n.y,notes_taxonomy.x.y,missmatches,status,X
499,Campephilus haematogaster,Campephilus haematogaster,9,Campephilus haematogaster,Campephilus haematogaster,NA,1028,Campephilus_haematogaster,Picidae,Woodpeckers,"Woodpeckers, Honeyguides, Toucans, Barbets",Crimson-bellied Woodpecker,bow01028,LC,BL3,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
500,Chloroceryle americana,Chloroceryle americana,1,Chloroceryle americana,Chloroceryle americana,NA,1645,Chloroceryle_americana,Alcedinidae,"Kingfishers, Motmots, Todies","Bee-eaters, Kingfishers, Motmots, Todies, Rollers, Ground-Rollers",Green Kingfisher,bow01645,LC,BL3,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
501,Pheucticus chrysogaster,Pheucticus chrysogaster,1,Pheucticus chrysogaster,Pheucticus chrysogaster,NA,13272,Pheucticus_chrysogaster,P12,"Cardinals, Allies","Cardinals, Allies",Golden-bellied Grosbeak,bow13272,LC,BL3,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
502,Diglossa sittoides,Diglossa sittoides,5,Diglossa sittoides,Diglossa sittoides,NA,13232,Diglossa_sittoides,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Rusty Flowerpiercer,bow13232,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
503,Leptopogon taczanowskii,Leptopogon taczanowskii,8,Leptopogon taczanowskii,Leptopogon taczanowskii,NA,5767,Leptopogon_taczanowskii,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Inca Flycatcher,bow05767,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
504,Haplophaedia aureliae,Haplophaedia aureliae,4,Haplophaedia aureliae,Haplophaedia aureliae,NA,2733,Haplophaedia_aureliae,Trochilidae,Hummingbirds,Hummingbirds,Greenish Puffleg,bow02733,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
505,Epinecrophylla haematonota,Epinecrophylla haematonota,1,Epinecrophylla haematonota,Epinecrophylla haematonota,NA,6481,Epinecrophylla_haematonota,Thamnophilidae,Antbirds,Antbirds,Stipple-throated Antwren,bow06481,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
506,Myrmotherula multostriata,Myrmotherula multostriata,3,Myrmotherula multostriata,Myrmotherula multostriata,NA,19534,Myrmotherula_multostriata,Thamnophilidae,Antbirds,Antbirds,Amazonian Streaked Antwren,bow19534,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
507,Carduelis olivacea,Spinus olivaceus,6,Carduelis olivacea,Carduelis olivacea,REV_TAX,12326,Carduelis_olivacea,P10,"Finches, Allies","Finches, Allies",Olivaceous Siskin,bow12326,LC,BL3,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
508,Accipiter collaris,Accipiter collaris,1,Accipiter collaris,Accipiter collaris,NA,4741,Accipiter_collaris,Accipitridae,"Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird",Semicollared Hawk,bow04741,NT,BL3,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
509,Thamnistes anabatinus,Thamnistes anabatinus,1,Thamnistes anabatinus,Thamnistes anabatinus,NA,6449,Thamnistes_anabatinus,Thamnophilidae,Antbirds,Antbirds,Russet Antshrike,bow06449,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
510,Cyanocorax violaceus,Cyanocorax violaceus,64,Cyanocorax violaceus,Cyanocorax violaceus,NA,8009,Cyanocorax_violaceus,CC8,"Shrikes, Monarchs, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies",Violaceous Jay,bow08009,LC,BL3,Corvidae,Crows and jays,147,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
511,Amazona mercenarius,Amazona mercenarius,136,Amazona mercenarius,Amazona mercenaria,NA,2303,Amazona_mercenaria,Psittacidae2,Parrots,Parrots,Scaly-naped Amazon,bow02303,LC,BL3,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,assigned
