,species_from_detections,species_taxonomy_SACC_2021,n,species,species_jetz,notes_taxonomy.x.x,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,X2010.IUCN.Red.List.category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,n.y,notes_taxonomy.x.y,missmatches,status,X
147,Phaethornis ruber,Phaethornis ruber,65,Phaethornis ruber,Phaethornis ruber,NA,2483,Phaethornis_ruber,Trochilidae,Hummingbirds,Hummingbirds,Reddish Hermit,bow02483,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
148,Hylophylax naevius,Hylophylax naevius,219,Hylophylax naevius,Hylophylax naevius,NA,6610,Hylophylax_naevius,Thamnophilidae,Antbirds,Antbirds,Spot-backed Antbird,bow06610,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
149,Formicarius analis,Formicarius analis,213,Formicarius analis,Formicarius analis,NA,6955,Formicarius_analis,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Black-faced Antthrush,bow06955,LC,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
150,Manacus manacus,Manacus manacus,4,Manacus manacus,Manacus manacus,NA,6369,Manacus_manacus,Pipridae,Manakins,Manakins,White-bearded Manakin,bow06369,LC,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
151,Mionectes oleagineus,Mionectes oleagineus,407,Mionectes oleagineus,Mionectes oleagineus,NA,5763,Mionectes_oleagineus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ochre-bellied Flycatcher,bow05763,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
152,Myrmeciza hemimelaena,Sciaphylax hemimelaena,338,Myrmeciza hemimelaena,Myrmeciza hemimelaena,REV_TAX,6588,Myrmeciza_hemimelaena,Thamnophilidae,Antbirds,Antbirds,Chestnut-tailed Antbird,bow06588,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
153,Arremon taciturnus,Arremon taciturnus,184,Arremon taciturnus,Arremon taciturnus,NA,12615,Arremon_taciturnus,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Pectoral Sparrow,bow12615,LC,BL3,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
154,Glyphorynchus spirurus,Glyphorynchus spirurus,630,Glyphorynchus spirurus,Glyphorynchus spirurus,NA,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
155,Corythopis torquatus,Corythopis torquatus,129,Corythopis torquatus,Corythopis torquatus,NA,5814,Corythopis_torquatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ringed Antpipit,bow05814,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
156,Myrmoborus leucophrys,Myrmoborus leucophrys,188,Myrmoborus leucophrys,Myrmoborus leucophrys,NA,6559,Myrmoborus_leucophrys,Thamnophilidae,Antbirds,Antbirds,White-browed Antbird,bow06559,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
157,Xenopipo holochlora,Cryptopipo holochlora,52,Xenopipo holochlora,Xenopipo holochlora,REV_TAX,6377,Xenopipo_holochlora,Pipridae,Manakins,Manakins,Green Manakin,bow06377,LC,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
158,Hyloctistes subulatus,Automolus subulatus,66,Hyloctistes subulatus,Hyloctistes subulatus,REV_TAX,6829,Hyloctistes_subulatus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Striped Woodhaunter,bow06829,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
159,Gymnopithys salvini,Oneillornis salvini,158,Gymnopithys salvini,Gymnopithys salvini,REV_TAX,6602,Gymnopithys_salvini,Thamnophilidae,Antbirds,Antbirds,White-throated Antbird,bow06602,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
160,Myiothlypis chrysogaster,Myiothlypis chrysogaster,135,Basileuterus chrysogaster,Basileuterus chrysogaster,REV_TAX,12773,Basileuterus_chrysogaster,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Golden-bellied Warbler,bow12773,LC,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
161,Xiphorhynchus obsoletus,Xiphorhynchus obsoletus,4,Xiphorhynchus obsoletus,Xiphorhynchus obsoletus,NA,6924,Xiphorhynchus_obsoletus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Striped Woodcreeper,bow06924,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
162,Philydor erythrocercum,Philydor erythrocercum,19,Philydor erythrocercum,Philydor erythrocercum,NA,6843,Philydor_erythrocercum,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Rufous-rumped Foliage-gleaner,bow06843,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
163,Campylorhamphus trochilirostris,Campylorhamphus trochilirostris,88,Campylorhamphus trochilirostris,Campylorhamphus trochilirostris,NA,6945,Campylorhamphus_trochilirostris,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Red-billed Scythebill,bow06945,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
164,Chlorothraupis carmioli,Chlorothraupis carmioli,237,Chlorothraupis carmioli,Chlorothraupis carmioli,NA,12879,Chlorothraupis_carmioli,P12,"Cardinals, Allies","Cardinals, Allies",Olive Tanager,bow12879,LC,BL3,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
165,Pipra fasciicauda,Pipra fasciicauda,412,Pipra fasciicauda,Pipra fasciicauda,NA,6337,Pipra_fasciicauda,Pipridae,Manakins,Manakins,Band-tailed Manakin,bow06337,LC,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
166,Hylophilus ochraceiceps,Tunchiornis ochraceiceps,59,Hylophilus ochraceiceps,Hylophilus ochraceiceps,REV_TAX,7819,Hylophilus_ochraceiceps,CC3,"Vireos, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies",Tawny-crowned Greenlet,bow07819,LC,BL3,Vireonidae,Vireos and allies,141,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
167,Myrmoborus myotherinus,Myrmoborus myotherinus,234,Myrmoborus myotherinus,Myrmoborus myotherinus,NA,6561,Myrmoborus_myotherinus,Thamnophilidae,Antbirds,Antbirds,Black-faced Antbird,bow06561,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
168,Thamnophilus schistaceus,Thamnophilus schistaceus,263,Thamnophilus schistaceus,Thamnophilus schistaceus,NA,6424,Thamnophilus_schistaceus,Thamnophilidae,Antbirds,Antbirds,Plain-winged Antshrike,bow06424,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
169,Schiffornis turdina,Schiffornis turdina,43,Schiffornis turdina,Schiffornis turdina,NA,6225,Schiffornis_turdina,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Thrush-like Schiffornis,bow06225,LC,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
170,Cercomacra manu,Cercomacra manu,32,Cercomacra manu,Cercomacra manu,NA,6553,Cercomacra_manu,Thamnophilidae,Antbirds,Antbirds,Manu Antbird,bow06553,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
171,Xenops minutus,Xenops minutus,84,Xenops minutus,Xenops minutus,NA,6880,Xenops_minutus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Plain Xenops,bow06880,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
172,Automolus rubiginosus,Clibanornis rubiginosus,19,Automolus rubiginosus,Automolus rubiginosus,REV_TAX,6867,Automolus_rubiginosus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Ruddy Foliage-gleaner,bow06867,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
173,Thamnomanes schistogynus,Thamnomanes schistogynus,265,Thamnomanes schistogynus,Thamnomanes schistogynus,NA,6462,Thamnomanes_schistogynus,Thamnophilidae,Antbirds,Antbirds,Bluish-slate Antshrike,bow06462,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
174,Phlegopsis nigromaculata,Phlegopsis nigromaculata,100,Phlegopsis nigromaculata,Phlegopsis nigromaculata,NA,6614,Phlegopsis_nigromaculata,Thamnophilidae,Antbirds,Antbirds,Black-spotted Bare-eye,bow06614,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
175,Rhegmatorhina melanosticta,Rhegmatorhina melanosticta,48,Rhegmatorhina melanosticta,Rhegmatorhina melanosticta,NA,6604,Rhegmatorhina_melanosticta,Thamnophilidae,Antbirds,Antbirds,Hairy-crested Antbird,bow06604,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
176,NA,Pteroglossus azara,7,Pteroglossus azara,Pteroglossus azara,NA,1185,Pteroglossus_azara,Ramphastidae,"Toucans, Barbets","Woodpeckers, Honeyguides, Toucans, Barbets",Ivory-billed Aracari,bow01185,LC,BL3,Ramphastidae,Toucans and barbets,93,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
177,Elaenia albiceps,Elaenia albiceps,29,Elaenia albiceps,Elaenia albiceps,NA,5874,Elaenia_albiceps,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",White-crested Elaenia,bow05874,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
178,Simoxenops ucayalae,Syndactyla ucayalae,37,Simoxenops ucayalae,Simoxenops ucayalae,REV_TAX,6851,Simoxenops_ucayalae,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Peruvian Recurvebill,bow06851,NT,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
179,Myiothlypis luteoviridis,Myiothlypis luteoviridis,336,Basileuterus luteoviridis,Basileuterus luteoviridis,REV_TAX,12776,Basileuterus_luteoviridis,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Citrine Warbler,bow12776,LC,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
180,Metallura tyrianthina,Metallura tyrianthina,278,Metallura tyrianthina,Metallura tyrianthina,NA,2755,Metallura_tyrianthina,Trochilidae,Hummingbirds,Hummingbirds,Tyrian Metaltail,bow02755,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
181,Coeligena violifer,Coeligena violifer,407,Coeligena violifer,Coeligena violifer,NA,2705,Coeligena_violifer,Trochilidae,Hummingbirds,Hummingbirds,Violet-throated Starfrontlet,bow02705,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
182,Ochthoeca rufipectoralis,Ochthoeca rufipectoralis,190,Ochthoeca rufipectoralis,Ochthoeca rufipectoralis,NA,6064,Ochthoeca_rufipectoralis,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Rufous-breasted Chat-tyrant,bow06064,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
183,Hemispingus atropileus,Kleinothraupis atropileus,146,Hemispingus atropileus,Hemispingus atropileus,REV_TAX,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
184,Heliangelus amethysticollis,Heliangelus amethysticollis,422,Heliangelus amethysticollis,Heliangelus amethysticollis,NA,2716,Heliangelus_amethysticollis,Trochilidae,Hummingbirds,Hummingbirds,Amethyst-throated Sunangel,bow02716,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
185,Grallaricula ferrugineipectus,Grallaricula ferrugineipectus,47,Grallaricula ferrugineipectus,Grallaricula ferrugineipectus,NA,7017,Grallaricula_ferrugineipectus,Antpittas,Antpittas,"Antpittas, Tapaculos",Rusty-breasted Antpitta,bow07017,LC,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
186,Colaptes rivolii,Colaptes rivolii,90,Colaptes rivolii,Colaptes rivolii,NA,996,Colaptes_rivolii,Picidae,Woodpeckers,"Woodpeckers, Honeyguides, Toucans, Barbets",Crimson-mantled Woodpecker,bow00996,LC,BL3,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
187,Coeligena torquata,Coeligena torquata,79,Coeligena torquata,Coeligena torquata,NA,2700,Coeligena_torquata,Trochilidae,Hummingbirds,Hummingbirds,Collared Inca,bow02700,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
188,Cacicus chrysonotus,Cacicus chrysonotus,213,Cacicus chrysonotus,Cacicus chrysonotus,NA,13350,Cacicus_chrysonotus,P21,New World Blackbirds,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Mountain Cacique,bow13350,LC,BL3,Icteridae,New World blackbirds,190,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
189,Silvicultrix pulchella,Ochthoeca pulchella,389,Silvicultrix pulchella,Ochthoeca pulchella,NA,6062,Ochthoeca_pulchella,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Golden-browed Chat-tyrant,bow06062,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,assigned
190,Scytalopus parvirostris,Scytalopus parvirostris,516,Scytalopus parvirostris,Scytalopus parvirostris,NA,7064,Scytalopus_parvirostris,Rhinocryptidae,Tapaculos,"Antpittas, Tapaculos",Trilling Tapaculo,bow07064,LC,BL3,Rhinocryptidae,Tapaculos,108,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
191,Catharus ustulatus,Catharus ustulatus,197,Catharus ustulatus,Catharus ustulatus,NA,8906,Catharus_ustulatus,M5,Thrushes,"Thrushes, Dippers, Chats, Old World Flycatchers",Swainson's Thrush,bow08906,LC,BL3,Turdidae,Thrushes,178,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
192,Heliodoxa aurescens,Heliodoxa aurescens,22,Heliodoxa aurescens,Heliodoxa aurescens,NA,2675,Heliodoxa_aurescens,Trochilidae,Hummingbirds,Hummingbirds,Gould's Jewelfront,bow02675,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
193,Ramphotrigon fuscicauda,Ramphotrigon fuscicauda,54,Ramphotrigon fuscicauda,Ramphotrigon fuscicauda,NA,6183,Ramphotrigon_fuscicauda,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Dusky-tailed Flatbill,bow06183,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
194,Hylophilus hypoxanthus,Pachysylvia hypoxantha,88,Hylophilus hypoxanthus,Hylophilus hypoxanthus,REV_TAX,7814,Hylophilus_hypoxanthus,CC3,"Vireos, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies",Dusky-capped Greenlet,bow07814,LC,BL3,Vireonidae,Vireos and allies,141,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
195,Lophotriccus eulophotes,Lophotriccus eulophotes,1,Lophotriccus eulophotes,Lophotriccus eulophotes,NA,5958,Lophotriccus_eulophotes,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Long-crested Pygmy-tyrant,bow05958,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
196,Campylopterus largipennis,Campylopterus largipennis,45,Campylopterus largipennis,Campylopterus largipennis,NA,2503,Campylopterus_largipennis,Trochilidae,Hummingbirds,Hummingbirds,Grey-breasted Sabrewing,bow02503,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
197,Heliothryx auritus,Heliothryx auritus,2,Heliothryx auritus,Heliothryx auritus,NA,2774,Heliothryx_auritus,Trochilidae,Hummingbirds,Hummingbirds,Black-eared Fairy,bow02774,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
198,Cyanerpes caeruleus,Cyanerpes caeruleus,17,Cyanerpes caeruleus,Cyanerpes caeruleus,NA,13072,Cyanerpes_caeruleus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Purple Honeycreeper,bow13072,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
199,Xiphorhynchus ocellatus,Xiphorhynchus ocellatus,44,Xiphorhynchus ocellatus,Xiphorhynchus ocellatus,NA,6925,Xiphorhynchus_ocellatus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Ocellated Woodcreeper,bow06925,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
200,Aulacorhynchus derbianus,Aulacorhynchus derbianus,36,Aulacorhynchus derbianus,Aulacorhynchus derbianus,NA,1178,Aulacorhynchus_derbianus,Ramphastidae,"Toucans, Barbets","Woodpeckers, Honeyguides, Toucans, Barbets",Chestnut-tipped Toucanet,bow01178,LC,BL3,Ramphastidae,Toucans and barbets,93,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
201,Xiphorhynchus guttatus,Xiphorhynchus guttatus,196,Xiphorhynchus guttatus,Xiphorhynchus guttatus,NA,6929,Xiphorhynchus_guttatus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Buff-throated Woodcreeper,bow06929,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
202,Phaethornis superciliosus,Phaethornis superciliosus,121,Phaethornis superciliosus,Phaethornis superciliosus,NA,2465,Phaethornis_superciliosus,Trochilidae,Hummingbirds,Hummingbirds,Long-tailed Hermit,bow02465,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
203,Geotrygon frenata,Zentrygon frenata,78,Geotrygon frenata,Geotrygon frenata,REV_TAX,3490,Geotrygon_frenata,Columbidae,"Pigeons, Doves","Pigeons, Doves",White-throated Quail-dove,bow03490,LC,BL3,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
204,Amazilia viridicauda,Elliotomyia viridicauda,1,Amazilia viridicauda,Amazilia viridicauda,REV_TAX,2613,Amazilia_viridicauda,Trochilidae,Hummingbirds,Hummingbirds,Green-and-white Hummingbird,bow02613,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
205,Myrmotherula axillaris,Myrmotherula axillaris,183,Myrmotherula axillaris,Myrmotherula axillaris,NA,6486,Myrmotherula_axillaris,Thamnophilidae,Antbirds,Antbirds,White-flanked Antwren,bow06486,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
206,Xiphocolaptes promeropirhynchus,Xiphocolaptes promeropirhynchus,90,Xiphocolaptes promeropirhynchus,Xiphocolaptes promeropirhynchus,NA,6908,Xiphocolaptes_promeropirhynchus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Strong-billed Woodcreeper,bow06908,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
207,Colaptes rubiginosus,Colaptes rubiginosus,140,Colaptes rubiginosus,Colaptes rubiginosus,NA,993,Colaptes_rubiginosus,Picidae,Woodpeckers,"Woodpeckers, Honeyguides, Toucans, Barbets",Golden-olive Woodpecker,bow00993,LC,BL3,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
208,Tangara cyanicollis,Stilpnia cyanicollis,51,Tangara cyanicollis,Tangara cyanicollis,REV_TAX,13042,Tangara_cyanicollis,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Blue-necked Tanager,bow13042,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
209,Zimmerius bolivianus,Zimmerius bolivianus,194,Zimmerius bolivianus,Zimmerius bolivianus,NA,5839,Zimmerius_bolivianus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Bolivian Tyrannulet,bow05839,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
210,Psarocolius angustifrons,Psarocolius angustifrons,312,Psarocolius angustifrons,Psarocolius angustifrons,NA,13330,Psarocolius_angustifrons,P21,New World Blackbirds,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Russet-backed Oropendola,bow13330,LC,BL3,Icteridae,New World blackbirds,190,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
211,Sporophila luctuosa,Sporophila luctuosa,7,Sporophila luctuosa,Sporophila luctuosa,NA,13177,Sporophila_luctuosa,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-and-white Seedeater,bow13177,LC,BL3,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
212,Pogonotriccus poecilotis,Phylloscartes poecilotis,5,Pogonotriccus poecilotis,Phylloscartes poecilotis,NA,5932,Phylloscartes_poecilotis,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Variegated Bristle-tyrant,bow05932,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,assigned
213,Thraupis episcopus,Thraupis episcopus,35,Thraupis episcopus,Thraupis episcopus,NA,12934,Thraupis_episcopus,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Blue-grey Tanager,bow12934,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
214,Chlorophonia cyanea,Chlorophonia cyanea,167,Chlorophonia cyanea,Chlorophonia cyanea,NA,12998,Chlorophonia_cyanea,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Blue-naped Chlorophonia,bow12998,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
215,Odontorchilus branickii,Odontorchilus branickii,18,Odontorchilus branickii,Odontorchilus branickii,NA,9685,Odontorchilus_branickii,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Grey-mantled Wren,bow09685,LC,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
216,Tangara punctata,Ixothraupis punctata,80,Tangara punctata,Tangara punctata,REV_TAX,13026,Tangara_punctata,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Spotted Tanager,bow13026,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
