X.No,Collection,Sample_group,Sample.No...,Full_Label,comment,species_binomial,Host.Order,Host.Family,New.Association,Lice.Genus,Lice.Species,Female,Male,Nimph,Eggs,Total,BoxLocation1,Lice.Genus2,Lice.Species2,Female2,Male2,Nimph2,Eggs2,Total2,BoxLocation2,Lice.Genus3,Lice.Species3,Female3,Male3,Nimph3,Eggs3,Total.1,BoxLocation3,total_lice,species_clean,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,species_jetz,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,foraging_cat,elevation_cat,sample,infestation_lice
41,JUM,,M499,M499,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,0,0,1,,1,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,1,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus_spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,499,0
42,JUM,,M500,M500,,Turdus_albicollis,Passeriformes,Turdidae,Yes,Philopterus,(various…),0,0,1,,1,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,1,Turdus albicollis,50.02123288,11.26238806,104.8428571,90,21.2,30,0,80,0,20,0,Turdus_albicollis,9003,Turdus_albicollis,M5,Thrushes,"Thrushes, Dippers, Chats, Old World Flycatchers",White-necked Thrush,bow09003,BL3,Turdidae,Thrushes,178,PASSERIFORMES,PASSERIFORMES,Passeri,ground,lowland_iquitos,500,0
43,JUM,,M502,M502,,Xiphorhynchus_elegans,Passeriformes,Furnariidae,Yes,Rallicola,(various…),0,0,1,,1,L-01,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,1,Xiphorhynchus elegans,38.50835294,24.42858824,100.1363636,82,20.1,21.9,1,0,30,60,10,Xiphorhynchus_elegans,20106,Xiphorhynchus_elegans,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Elegant Woodcreeper,bow20106,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,502,0
44,JUM,,M513,M513,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,1,0,0,,1,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,1,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus_spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,513,0
45,JUM,,M515,M515,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,1,2,0,,3,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,3,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus_spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,515,0
46,JUM,,M517,M517,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,1,1,0,,2,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,2,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus_spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,517,0
47,JUM,,M519,M519,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,1,1,0,,2,L-02,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,2,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus_spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,519,0
49,JUM,,M549,M549,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,1,0,2,,3,L-02,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,3,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus_spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,549,0
50,JUM,,M556,M556,,Geotrygon_montana,Passeriformes,Columbidae,Yes,Myrsidea,new sp?,0,1,0,,1,L-02,Physconelloides,cubanus?,1,0,0,NA,1,L-02,,,NA,NA,NA,,NA,NA,2,Geotrygon montana,114.4062791,7.908604651,132.3859155,76.3,27.1,26.9,0,100,0,0,0,Geotrygon_montana,3494,Geotrygon_montana,Columbidae,"Pigeons, Doves","Pigeons, Doves",Ruddy Quail-dove,bow03494,BL3,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,ground,lowland_iquitos,556,0
51,JUM,,M561,M561,,Xenops_minutus,Passeriformes,Furnariidae,Yes,Myrsidea,new sp?,0,3,13,,16,L-02,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,16,Xenops minutus,12.16725806,10.44927273,61.44827586,49.2,22.1,14.7,1,0,50,50,0,Xenops_minutus,6880,Xenops_minutus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Plain Xenops,bow06880,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,undersory-midhigh,lowland_iquitos,561,0
