species,species1,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.5Cat,TrophicNiche,ForagingNiche,,
Drymotoxeres pucheranii,Campylorhamphus pucherani,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore bark,,
Dryobates affinis,Veniliornis affinis,70,0,0,0,0,0,30,0,0,0,Invertebrate,Invertivore,Invertivore bark,,
Dryobates nigriceps,Veniliornis nigriceps,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore bark,,
Dryobates passerinus,Veniliornis passerinus,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore bark,,
Dubusia castaneoventris,Delothraupis castaneoventris,50,0,0,0,0,0,50,0,0,0,Omnivore,Omnivore,Omnivore,,
Elliotomyia chionogaster,Amazilia chionogaster,10,0,0,0,0,0,0,90,0,0,FruiNect,Nectarivore,Nectarivore aerial,,
Elliotomyia viridicauda,Amazilia viridicauda,10,0,0,0,0,0,0,90,0,0,FruiNect,Nectarivore,Nectarivore aerial,,
Frederickena unduliger,Frederickena unduligera,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore ground,,
Geranoaetus polyosoma,Buteo polyosoma,0,100,0,0,0,0,0,0,0,0,VertFishScav,Vertivore,Vertivore air to surface,,
Hafferia fortis,Myrmeciza fortis,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore sally ground,,
Isleria hauxwelli,Myrmotherula hauxwelli,90,0,10,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Ixothraupis punctata,Tangara punctata,30,0,0,0,0,0,70,0,0,0,FruiNect,Frugivore,Fugivore glean,,
Ixothraupis xanthogastra,Tangara xanthogastra,50,0,0,0,0,0,50,0,0,0,Omnivore,Invertivore,Invertivore glean arboreal,,
Kleinothraupis atropileus,Hemispingus atropileus,90,0,0,0,0,0,0,0,10,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Kleinothraupis parodii,Hemispingus parodii,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Loriotus cristatus,Tachyphonus cristatus,30,0,0,0,0,0,50,0,10,10,Omnivore,Omnivore,Omnivore,,
Loriotus luctuosus,Tachyphonus luctuosus,80,0,0,0,0,0,20,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Loriotus rufiventer,Tachyphonus rufiventer,50,0,0,0,0,0,50,0,0,0,Omnivore,Invertivore,Invertivore glean arboreal,,
Microspingus trifasciatus,Basileuterus trifasciatus,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
