Host.Family,BLFamilyLatin,species_clean,species_jetz,sociality,foraging_cat,elevation_cat,TipLabel,Full_Label,keycol,valuecol
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,1,midhigh,lowland_iquitos,Terenotriccus_erythrurus,968,Lice.Genus,Myrsidea
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,1,midhigh,lowland_iquitos,Terenotriccus_erythrurus,V466,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Tangara schrankii,Tangara schrankii,1,midhigh,lowland_iquitos,Tangara_schrankii,P110137,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Tangara schrankii,Tangara schrankii,1,midhigh,lowland_iquitos,Tangara_schrankii,P110373,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,1,midhigh,lowland_iquitos,Tangara_arthus,SP120666,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,1,midhigh,lowland_iquitos,Tangara_arthus,SP121081,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,1,midhigh,lowland_iquitos,Tangara_arthus,SP121138,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,1,midhigh,lowland_iquitos,Tangara_arthus,SP121308,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,1,midhigh,lowland_iquitos,Tangara_arthus,TL120104,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Synallaxis cabanisi,Synallaxis cabanisi,0,understory,lowland_iquitos,Synallaxis_cabanisi,P110174,Lice.Genus,Myrsidea
"Furnariidae
",Furnariidae,Syndactyla ucayalae,Simoxenops ucayalae,1,understory,lowland_iquitos,Simoxenops_ucayalae,P115937,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Sclerurus caudacutus,Sclerurus caudacutus,0,ground,lowland_iquitos,Sclerurus_caudacutus,P110171,Lice.Genus,Furnariphilus
Furnariidae,Furnariidae,Sclerurus caudacutus,Sclerurus caudacutus,0,ground,lowland_iquitos,Sclerurus_caudacutus,P115901,Lice.Genus,Furnariphilus
Furnariidae,Furnariidae,Sclerurus caudacutus,Sclerurus caudacutus,0,ground,lowland_iquitos,Sclerurus_caudacutus,V135,Lice.Genus,Myrsidea
Tityridae,Cotingidae,Schiffornis turdina,Schiffornis turdina,0,understory,lowland_iquitos,Schiffornis_turdina,M591,Lice.Genus,Myrsidea
Tityridae,Cotingidae,Schiffornis turdina,Schiffornis turdina,0,understory,lowland_iquitos,Schiffornis_turdina,P116166,Lice.Genus,Myrsidea
Tityridae,Cotingidae,Schiffornis turdina,Schiffornis turdina,0,understory,lowland_iquitos,Schiffornis_turdina,P116185,Lice.Genus,Myrsidea
Tityridae,Cotingidae,Schiffornis turdina,Schiffornis turdina,0,understory,lowland_iquitos,Schiffornis_turdina,P116202,Lice.Genus,Myrsidea
Tityridae,Cotingidae,Schiffornis turdina,Schiffornis turdina,0,understory,lowland_iquitos,Schiffornis_turdina,P116262,Lice.Genus,Myrsidea
Thraupidae,Cardinalidae,Saltator maximus,Saltator maximus,1,ground-understory,lowland_iquitos,Saltator_maximus,P110424,Lice.Genus,Myrsidea
Cotingidae,Cotingidae,Rupicola peruvianus,Rupicola peruvianus,0,ground-understory,lowland_iquitos,Rupicola_peruvianus,P121006,Lice.Genus,Cotingacola
Cotingidae,Cotingidae,Rupicola peruvianus,Rupicola peruvianus,0,ground-understory,lowland_iquitos,Rupicola_peruvianus,SP120642,Lice.Genus,Cotingacola
Cotingidae,Cotingidae,Rupicola peruvianus,Rupicola peruvianus,0,ground-understory,lowland_iquitos,Rupicola_peruvianus,SP120665,Lice.Genus,Cotingacola
Cotingidae,Cotingidae,Rupicola peruvianus,Rupicola peruvianus,0,ground-understory,lowland_iquitos,Rupicola_peruvianus,SP120678,Lice.Genus,Cotingacola
Cotingidae,Cotingidae,Rupicola peruvianus,Rupicola peruvianus,0,ground-understory,lowland_iquitos,Rupicola_peruvianus,SP120797,Lice.Genus,Cotingacola
Cotingidae,Cotingidae,Rupicola peruvianus,Rupicola peruvianus,0,ground-understory,lowland_iquitos,Rupicola_peruvianus,SP120819,Lice.Genus,Cotingacola
