"","species_taxonomy_SACC_2021","n"
"397","Myrmophylax atrothorax",27
"398","Myrmothera berlepschi",12
"399","Myrmothera campanisona",110
"400","Myrmotherula axillaris",183
"401","Myrmotherula brachyura",62
"402","Myrmotherula iheringi",6
"403","Myrmotherula longicauda",103
"404","Myrmotherula longipennis",40
"405","Myrmotherula menetriesii",76
"406","Myrmotherula multostriata",3
"407","Myrmotherula schisticolor",118
"408","Myrmotherula sclateri",6
"409","Nannopsittaca dachilleae",1
"410","Neoctantes niger",5
"411","Neomorphus geoffroyi",1
"412","Nephelomyias ochraceiventris",19
"413","Nonnula ruficapilla",13
"414","Nothocercus nigrocapillus",65
"415","Nyctidromus albicollis",17
"416","Nyctiphrynus ocellatus",16
"417","Nystalus striolatus",24
"418","Ochthoeca cinnamomeiventris",69
"419","Ochthoeca frontalis",19
"420","Ochthoeca fumicolor",1
"421","Ochthoeca pulchella",389
"422","Ochthoeca rufipectoralis",192
"423","Ochthornis littoralis",2
"424","Ocreatus underwoodii",235
"425","Odontophorus balliviani",20
"426","Odontophorus speciosus",61
"427","Odontophorus stellatus",23
"428","Odontorchilus branickii",18
"429","Oneillornis salvini",158
"430","Onychorhynchus coronatus",25
"431","Ornithion inerme",5
"432","Orochelidon flavipes",6
"433","Ortalis guttata",28
"434","Orthopsittaca manilatus",1
"435","Pachyramphus marginatus",5
"436","Pachyramphus minor",7
"437","Pachyramphus polychopterus",4
"438","Pachyramphus versicolor",33
"439","Pachysylvia hypoxantha",88
"440","Paraclaravis mondetoura",3
"441","Patagioenas cayennensis",12
"442","Patagioenas fasciata",64
"443","Patagioenas plumbea",325
"444","Patagioenas subvinacea",54
"445","Penelope jacquacu",74
"446","Penelope montagnii",103
"447","Phaethornis guy",231
"448","Phaethornis hispidus",91
"449","Phaethornis koepckeae",54
"450","Phaethornis malaris",4
"451","Phaethornis ruber",65
"452","Phaethornis stuarti",15
"453","Phaethornis superciliosus",122
"454","Pharomachrus antisianus",32
"455","Pharomachrus auriceps",163
"456","Pharomachrus pavoninus",12
"457","Pheucticus aureoventris",3
"458","Pheucticus chrysogaster",1
"459","Pheugopedius genibarbis",163
"460","Philydor erythrocercum",19
"461","Philydor pyrrhodes",1
"462","Phlegopsis nigromaculata",100
"463","Phlogophilus harterti",244
"464","Phyllomyias burmeisteri",1
"465","Phyllomyias cinereiceps",15
"466","Phyllomyias plumbeiceps",1
"467","Phyllomyias uropygialis",3
"468","Phylloscartes ophthalmicus",131
"469","Phylloscartes orbitalis",3
"470","Phylloscartes parkeri",18
"471","Phylloscartes poecilotis",5
"472","Phylloscartes ventralis",20
"473","Piaya cayana",51
"474","Piculus leucolaemus",1
"475","Picumnus aurifrons",2
"476","Picumnus rufiventris",24
"477","Picumnus subtilis",1
"478","Pionites leucogaster",8
"479","Pionus menstruus",95
"480","Pionus tumultuosus",31
"481","Pipile cumanensis",5
"482","Pipra fasciicauda",412
"483","Pipraeidea melanonota",19
"484","Pipreola arcuata",160
"485","Pipreola frontalis",2
"486","Pipreola intermedia",180
"487","Pipreola pulchra",1
"488","Piprites chloris",15
"489","Piranga flava",4
"490","Piranga leucoptera",7
"491","Piranga olivacea",1
"492","Pitangus sulphuratus",1
"493","Platyrinchus coronatus",29
"494","Platyrinchus mystaceus",36
"495","Platyrinchus platyrhynchos",26
"496","Poecilotriccus albifacies",4
"497","Poecilotriccus latirostris",1
"498","Poecilotriccus plumbeiceps",51
"499","Poecilotriccus pulchellus",1
"500","Premnoplex brunnescens",334
"501","Premnornis guttuliger",6
"502","Primolius couloni",20
"503","Psarocolius angustifrons",314
"504","Psarocolius atrovirens",163
"505","Psarocolius bifasciatus",139
"506","Psarocolius decumanus",59
"507","Pseudocolaptes boissonneautii",132
"508","Pseudospingus xanthophthalmus",20
"509","Pseudotriccus ruficeps",31
"510","Pseudotriccus simplex",4
"511","Psittacara leucophthalmus",107
"512","Psittacara mitratus",38
"513","Psophia leucoptera",12
"514","Pteroglossus azara",7
"515","Pteroglossus beauharnaisii",46
"516","Pteroglossus castanotis",3
"517","Pterophanes cyanopterus",1
"518","Pygiptila stellaris",54
"519","Pygochelidon cyanoleuca",18
"520","Pyriglena leuconota",210
"521","Pyrilia barrabandi",3
"522","Pyrocephalus rubinus",1
"523","Pyrrhomyias cinnamomeus",458
"524","Pyrrhura roseifrons",1
"525","Querula purpurata",21
"526","Ramphastos tucanus",99
"527","Ramphastos vitellinus",14
"528","Ramphocelus carbo",290
"529","Ramphotrigon fuscicauda",53
"530","Ramphotrigon megacephalum",17
"531","Ramphotrigon ruficauda",20
"532","Rauenia bonariensis",8
"533","Rhegmatorhina melanosticta",48
"534","Rhynchocyclus fulvipectus",55
"535","Rhynchocyclus olivaceus",1
"536","Rhytipterna simplex",37
"537","Rupicola peruvianus",127
"538","Rupornis magnirostris",9
"539","Saltator coerulescens",4
"540","Saltator grossus",83
"541","Saltator maximus",93
"542","Sayornis nigricans",44
"543","Schiffornis turdina",43
"544","Schistes geoffroyi",61
"545","Sciaphylax hemimelaena",338
"546","Sclateria naevia",5
"547","Sclerurus albigularis",2
"548","Sclerurus caudacutus",45
"549","Sclerurus obscurior",15
"550","Scytalopus atratus",344
"551","Scytalopus parvirostris",516
"552","Scytalopus schulenbergi",3
"553","Selenidera reinwardtii",48
"554","Serpophaga cinerea",34
"555","Serpophaga hypoleuca",1
"556","Setophaga pitiayumi",152
"557","Sittasomus griseicapillus",18
"558","Sphenopsis frontalis",9
"559","Sphenopsis melanotis",255
"560","Spinus magellanicus",42
"561","Spinus olivaceus",8
"562","Spizaetus isidori",1
"563","Sporathraupis cyanocephala",244
"564","Sporophila angolensis",13
"565","Sporophila bouvronides",1
"566","Sporophila caerulescens",10
"567","Sporophila castaneiventris",26
"568","Sporophila luctuosa",7
"569","Sporophila nigricollis",4
"570","Sporophila schistacea",24
"571","Stelgidopteryx ruficollis",7
"572","Stilpnia cyanicollis",51
"573","Stilpnia nigrocincta",1
"574","Streptoprocne rutila",55
"575","Streptoprocne zonaris",22
"576","Sublegatus modestus",1
"577","Synallaxis albigularis",9
"578","Synallaxis azarae",717
"579","Synallaxis cabanisi",25
"580","Synallaxis gujanensis",8
"581","Syndactyla rufosuperciliata",65
"582","Syndactyla ucayalae",37
"583","Syrtidicola fluviatilis",2
"584","Tachornis squamata",10
"585","Tachycineta albiventer",1
"586","Talaphorus chlorocercus",3
"587","Tangara arthus",118
"588","Tangara callophrys",1
"589","Tangara chilensis",243
"590","Tangara chrysotis",8
"591","Tangara cyanotis",1
"592","Tangara gyrola",35
"593","Tangara mexicana",4
"594","Tangara nigroviridis",36
"595","Tangara parzudakii",4
"596","Tangara schrankii",245
"597","Tangara vassorii",53
"598","Tangara velia",1
"599","Tangara xanthocephala",21
"600","Taphrospilus hypostictus",23
"601","Taraba major",5
"602","Terenotriccus erythrurus",64
"603","Tersina viridis",11
"604","Thalurania furcata",144
"605","Thamnistes anabatinus",1
"606","Thamnomanes ardesiacus",109
"607","Thamnomanes schistogynus",265
"608","Thamnophilus aethiops",30
"609","Thamnophilus caerulescens",78
"610","Thamnophilus doliatus",6
"611","Thamnophilus palliatus",79
"612","Thamnophilus schistaceus",263
"613","Thamnophilus unicolor",3
"614","Thlypopsis ornata",5
"615","Thlypopsis ruficeps",56
"616","Thlypopsis sordida",26
"617","Thlypopsis superciliaris",30
"618","Thraupis episcopus",35
"619","Thraupis palmarum",10
"620","Threnetes leucurus",137
"621","Thripadectes holostictus",63
"622","Thripadectes melanorhynchus",214
"623","Thripadectes scrutator",9
"624","Thripophaga fusciceps",1
"625","Tinamus guttatus",72
"626","Tinamus major",21
"627","Tinamus osgoodi",64
"628","Tinamus tao",50
"629","Tityra semifasciata",4
"630","Todirostrum chrysocrotaphum",2
"631","Todirostrum maculatum",1
"632","Tolmomyias assimilis",21
"633","Tolmomyias flaviventris",20
"634","Tolmomyias poliocephalus",7
"635","Tolmomyias sulphurescens",5
"636","Touit huetii",6
"637","Trichothraupis melanops",141
"638","Troglodytes aedon",65
"639","Troglodytes solstitialis",263
"640","Trogon collaris",93
"641","Trogon curucui",26
"642","Trogon melanurus",131
"643","Trogon personatus",306
"644","Trogon violaceus",29
"645","Trogon viridis",24
"646","Tunchiornis ochraceiceps",59
"647","Turdus albicollis",104
"648","Turdus amaurochalinus",1
"649","Turdus chiguanco",27
"650","Turdus fuscater",164
"651","Turdus hauxwelli",91
"652","Turdus ignobilis",79
"653","Turdus lawrencii",26
"654","Turdus leucops",34
"655","Turdus nigriceps",38
"656","Turdus serranus",228
"657","Tyranneutes stolzmanni",76
"658","Tyrannus albogularis",2
"659","Tyrannus melancholicus",72
"660","Tyrannus tyrannus",4
"661","Uropsalis lyra",6
"662","Uropsalis segmentata",12
"663","Vireo flavoviridis",2
