"","species_jetz"
"363","Sclerurus albigularis"
"364","Bucco macrodactylus"
"365","Hypocnemoides maculicauda"
"366","Onychorhynchus coronatus"
"367","Cercomacra nigrescens"
"368","Empidonax alnorum"
"369","Leucopternis melanops"
"370","Hemitriccus flammulatus"
"371","Malacoptila semicincta"
"372","Myrmotherula iheringi"
"373","Nyctidromus albicollis"
"374","Bucco capensis"
"375","Lipaugus vociferans"
"376","Euphonia chlorotica"
"377","Psophia leucoptera"
"378","Sporophila castaneiventris"
"379","Thlypopsis sordida"
"380","Elaenia gigas"
"381","Troglodytes aedon"
"382","Grallaria guatimalensis"
"383","Xenopipo unicolor"
"384","Accipiter striatus"
"385","Sayornis nigricans"
"386","Conopophaga castaneiceps"
"387","Micromonacha lanceolata"
"388","Cephalopterus ornatus"
"389","Synallaxis gujanensis"
"390","Legatus leucophaius"
"391","Poecilotriccus albifacies"
"392","Trogon curucui"
"393","Picumnus subtilis"
"394","Phaethornis stuarti"
"395","Anairetes parulus"
"396","Bolborhynchus orbygnesius"
"397","Conirostrum sitticolor"
"398","Zonotrichia capensis"
"399","Ampelion rubrocristatus"
"400","Arremon torquatus"
"401","Megascops albogularis"
"402","Geotrygon saphirina"
"403","Ensifera ensifera"
"404","Aulacorhynchus coeruleicinctis"
"405","Myiotheretes fuscorufus"
"406","Dubusia taeniata"
"407","Chamaeza mollissima"
"408","Phyllomyias uropygialis"
"409","Andigena hypoglauca"
"410","Formicarius colma"
"411","Hemitriccus griseipectus"
"412","Ramphotrigon ruficauda"
"413","Tinamus guttatus"
"414","Ramphastos vitellinus"
"415","Drymophila devillei"
"416","Synallaxis albigularis"
"417","Vireo flavoviridis"
"418","Tolmomyias poliocephalus"
"419","Saltator coerulescens"
"420","Euphonia laniirostris"
"421","Laniisoma elegans"
"422","Myiophobus fasciatus"
"423","Sporophila bouvronides"
"424","Thamnophilus doliatus"
"425","Tyrannus albogularis"
"426","Muscisaxicola fluviatilis"
"427","Myiozetetes granadensis"
"428","Myiarchus ferox"
"429","Pharomachrus antisianus"
"430","Xenops rutilans"
"431","Ramphotrigon megacephalum"
"432","Metallura aeneocauda"
"433","Uropsalis segmentata"
"434","Lepidocolaptes lacrymiger"
"435","Thlypopsis ornata"
"436","Thripadectes scrutator"
"437","Pheucticus aureoventris"
"438","Crypturellus obsoletus"
"439","Cinclodes albiventris"
"440","Nothocercus nigrocapillus"
"441","Myiotheretes fumigatus"
"442","Thraupis bonariensis"
"443","Lafresnaya lafresnayi"
"444","Amazilia lactea"
"445","Tachyphonus rufiventer"
"446","Micrastur gilvicollis"
"447","Sclateria naevia"
"448","Capito auratus"
"449","Neomorphus geoffroyi"
"450","Pyrocephalus rubinus"
"451","Elaenia spectabilis"
"452","Leucippus chlorocercus"
"453","Sporophila caerulescens"
"454","Sublegatus modestus"
"455","Cnemotriccus fuscatus"
"456","Cissopis leverianus"
"457","Columbina talpacoti"
"458","Sporophila schistacea"
"459","Hydropsalis climacocerca"
"460","Hylocharis cyanus"
"461","Myrmeciza atrothorax"
"462","Cercomacra cinerascens"
"463","Nystalus striolatus"
"464","Tyrannus tyrannus"
"465","Todirostrum maculatum"
"466","Phaethornis malaris"
"467","Celeus flavus"
"468","Megaceryle torquata"
"469","Lepidocolaptes albolineatus"
"470","Cacicus cela"
"471","Megascops ingens"
"472","Leptotila verreauxi"
"473","Piaya cayana"
"474","Turdus amaurochalinus"
"475","Glaucidium hardyi"
"476","Euphonia rufiventris"
"477","Buteo magnirostris"
"478","Psarocolius decumanus"
"479","Frederickena unduligera"
"480","Camptostoma obsoletum"
"481","Tachycineta albiventer"
"482","Charadrius collaris"
"483","Tyrannus melancholicus"
"484","Geothlypis aequinoctialis"
"485","Veniliornis passerinus"
"486","Tangara ruficervix"
"487","Campephilus haematogaster"
"488","Chloroceryle americana"
"489","Pheucticus chrysogaster"
"490","Diglossa sittoides"
"491","Leptopogon taczanowskii"
"492","Haplophaedia aureliae"
"493","Epinecrophylla haematonota"
"494","Myrmotherula multostriata"
"495","Carduelis olivacea"
"496","Accipiter collaris"
"497","Thamnistes anabatinus"
"498","Cyanocorax violaceus"
"499","Amazona mercenaria"
"500","Phylloscartes parkeri"
"501","Cyanocorax yncas"
"502","Herpsilochmus axillaris"
"503","Contopus fumigatus"
"504","Penelope montagnii"
"505","Pharomachrus auriceps"
"506","Myiotheretes striaticollis"
"507","Grallaria albigula"
"508","Cnemarchus erythropygius"
"509","Odontophorus balliviani"
"510","Patagioenas plumbea"
"511","Dryocopus lineatus"
"512","Thraupis palmarum"
"513","Discosura popelairii"
"514","Myrmotherula brachyura"
"515","Odontophorus speciosus"
"516","Tinamus osgoodi"
"517","Microbates cinereiventris"
"518","Colonia colonus"
"519","Campylorhynchus turdinus"
"520","Knipolegus aterrimus"
"521","Streptoprocne zonaris"
"522","Grallaria squamigera"
"523","Aglaeactis castelnaudii"
"524","Patagioenas fasciata"
"525","Streptoprocne rutila"
"526","Lesbia nuna"
"527","Aburria aburri"
"528","Phyllomyias plumbeiceps"
"529","Tinamus tao"
"530","Cymbilaimus sanctaemariae"
"531","Melanerpes cruentatus"
"532","Ara severus"
"533","Psarocolius bifasciatus"
"534","Pionus menstruus"
