NO.,Collection,Sample.label,Sample.No...,Full_Label,Powder.lvl,species_binomial,Order,Family,Lice,Mites,Ticks,Other,Host.Family,Order2,Date.of.collection,Country,Province,Locality,Altitude,species_clean,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,species_jetz,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,foraging_cat,elevation_cat,sample
29,JUM,V,V44,V44,,Myrmoborus_myotherinus,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Myrmoborus myotherinus,20.73168831,10.19666667,62.45783133,40.1,14.8,25.7,1,50,50,0,0,Myrmoborus myotherinus,6561,Myrmoborus_myotherinus,Thamnophilidae,Antbirds,Antbirds,Black-faced Antbird,bow06561,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,44
30,JUM,V,V49,V49,,Corythopis_torquatus,Passeriformes,Tyrannidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Corythopis torquatus,17.01754717,9.018085106,66.12,52.7,17.3,26,0,80,20,0,0,Corythopis torquatus,5814,Corythopis_torquatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ringed Antpipit,bow05814,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,49
31,JUM,V,V50,V50,,Loriotus_cristatus,Passeriformes,Thraupidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Loriotus cristatus,18.8,15.9,76.2,70.4,19.2,18.2,1,0,10,20,70,Tachyphonus cristatus,12893,Tachyphonus_cristatus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Flame-crested Tanager,bow12893,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,canopy,lowland_iquitos,50
33,JUM,V,V68,V68,,Epinecrophylla_haematonota,Passeriformes,Thamnophilidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Epinecrophylla haematonota,11.08,9.3,51,37.8,13.6,16.1,0,0,80,20,0,Epinecrophylla haematonota,6481,Epinecrophylla_haematonota,Thamnophilidae,Antbirds,Antbirds,Stipple-throated Antwren,bow06481,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,68
37,JUM,V,V90,V90,,Manacus_manacus,Passeriformes,Pipridae,1,0,1,Yes,NA,NA,NA,NA,NA,NA,NA,Manacus manacus,16.455,7.9,57,32.8,15.9,20.9,0,0,80,20,0,Manacus manacus,6369,Manacus_manacus,Pipridae,Manakins,Manakins,White-bearded Manakin,bow06369,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,90
38,JUM,V,V91,V91,,Mionectes_oleagineus,Passeriformes,Tyrannidae,1,0,0,Yes,NA,NA,NA,NA,NA,NA,NA,Mionectes oleagineus,11.49915698,7.792196721,60.54227405,48.2,17.1,16,1,0,50,50,0,Mionectes oleagineus,5763,Mionectes_oleagineus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ochre-bellied Flycatcher,bow05763,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,91
39,JUM,V,V93,V93,,Willisornis_poecilinotus,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Willisornis poecilinotus,18.39630137,10.27342105,64.65822785,42.8,16.3,23,0,60,40,0,0,Willisornis poecilinotus,6612,Willisornis_poecilinotus,Thamnophilidae,Antbirds,Antbirds,Scale-backed Antbird,bow06612,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,93
40,JUM,V,V96,V96,,Lepidothrix_coronata,Passeriformes,Pipridae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Lepidothrix coronata,9.769768786,6.224307229,56.94444444,26.6,17.9,14.2,1,0,50,50,0,Lepidothrix coronata,6346,Lepidothrix_coronata,Pipridae,Manakins,Manakins,Blue-crowned Manakin,bow06346,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,96
42,JUM,V,V103,V103,,Hylophylax_naevius,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Hylophylax naevius,13.63936508,8.975555556,58.31746032,39.8,14.1,20.2,0,0,80,20,0,Hylophylax naevius,6610,Hylophylax_naevius,Thamnophilidae,Antbirds,Antbirds,Spot-backed Antbird,bow06610,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,103
44,JUM,V,V108,V108,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,108
45,JUM,V,V109,V109,,Mionectes_oleagineus,Passeriformes,Tyrannidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Mionectes oleagineus,11.49915698,7.792196721,60.54227405,48.2,17.1,16,1,0,50,50,0,Mionectes oleagineus,5763,Mionectes_oleagineus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ochre-bellied Flycatcher,bow05763,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,109
49,JUM,V,V114,V114,,Xiphorhynchus_elegans,Passeriformes,Furnariidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Xiphorhynchus elegans,38.50835294,24.42858824,100.1363636,82,20.1,21.9,1,0,30,60,10,Xiphorhynchus elegans,20106,Xiphorhynchus_elegans,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Elegant Woodcreeper,bow20106,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,114
50,JUM,V,V115,V115,,Epinecrophylla_haematonota,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Epinecrophylla haematonota,11.08,9.3,51,37.8,13.6,16.1,0,0,80,20,0,Epinecrophylla haematonota,6481,Epinecrophylla_haematonota,Thamnophilidae,Antbirds,Antbirds,Stipple-throated Antwren,bow06481,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,115
51,JUM,V,V116,V116,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,116
52,JUM,V,V118,V118,,Mionectes_oleagineus,Passeriformes,Tyrannidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Mionectes oleagineus,11.49915698,7.792196721,60.54227405,48.2,17.1,16,1,0,50,50,0,Mionectes oleagineus,5763,Mionectes_oleagineus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ochre-bellied Flycatcher,bow05763,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,118
53,JUM,V,V120,V120,,Threnetes_leucurus,Apodiformes,"Trochilidae
",1,0,0,No,NA,NA,NA,NA,NA,NA,NA,Threnetes leucurus,5.956779661,26.88261261,59.95275591,33.5,65.3,4.7,0,0,100,0,0,Threnetes leucurus,19875,Threnetes_leucurus,Trochilidae,Hummingbirds,Hummingbirds,Pale-tailed Barbthroat,bow19875,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,understory,lowland_iquitos,120
54,JUM,V,V122,V122,,Mionectes_oleagineus,Passeriformes,Tyrannidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Mionectes oleagineus,11.49915698,7.792196721,60.54227405,48.2,17.1,16,1,0,50,50,0,Mionectes oleagineus,5763,Mionectes_oleagineus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ochre-bellied Flycatcher,bow05763,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,122
55,JUM,V,V123,V123,,Schiffornis_turdina,Passeriformes,Tityridae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Schiffornis turdina,30.18625,9.520909091,86.09090909,67.7,15.9,22.1,0,0,100,0,0,Schiffornis turdina,6225,Schiffornis_turdina,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Thrush-like Schiffornis,bow06225,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,123
56,JUM,V,V124,V124,,Schiffornis_turdina,Passeriformes,Tityridae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Schiffornis turdina,30.18625,9.520909091,86.09090909,67.7,15.9,22.1,0,0,100,0,0,Schiffornis turdina,6225,Schiffornis_turdina,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Thrush-like Schiffornis,bow06225,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,124
57,JUM,V,V125?,V125?,,Isleria_hauxwelli,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Isleria hauxwelli,11.27941606,8.391276596,50.70714286,24.8,15.6,18.9,1,40,40,20,0,Myrmotherula hauxwelli,6475,Myrmotherula_hauxwelli,Thamnophilidae,Antbirds,Antbirds,Plain-throated Antwren,bow06475,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,125?
58,JUM,V,V126,V126,,Isleria_hauxwelli,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Isleria hauxwelli,11.27941606,8.391276596,50.70714286,24.8,15.6,18.9,1,40,40,20,0,Myrmotherula hauxwelli,6475,Myrmotherula_hauxwelli,Thamnophilidae,Antbirds,Antbirds,Plain-throated Antwren,bow06475,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,126
