NO.,Collection,Sample.label,Sample.No...,Full_Label,Powder.lvl,species_binomial,Order,Family,Lice,Mites,Ticks,Other,Host.Family,Order2,Date.of.collection,Country,Province,Locality,Altitude,species_clean,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,species_jetz,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,foraging_cat,elevation_cat,sample
951,JUM,V12,27,V1227,med,Myiothlypis_fulvicauda,Passeriformes,"Parulidae
",0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Myiothlypis fulvicauda,13.93333333,7.975,63,49.7,15.3,22.5,0,80,20,0,0,Phaeothlypis fulvicauda,12796,Phaeothlypis_fulvicauda,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Buff-rumped Warbler,bow12796,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,ground,lowland_iquitos,1227
952,JUM,V12,29,V1229,high,Glyphorynchus_spirurus,Passeriformes,Furnariidae,1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,1229
953,JEJ,W13,298,W130298,med,Arremon_torquatus,Passeriformes,"Passerellidae
",1,1,0,Yes,NA,NA,NA,NA,NA,NA,NA,Arremon torquatus,42.28636364,11.60647059,76.97058824,85.7,9.8,32.2,1,0,50,50,0,Arremon torquatus,12651,Arremon_torquatus,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Stripe-headed Brush-finch,bow12651,BL3,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,130298
954,JEJ,W13,330,W130330,high,Chlorornis_riefferii,Passeriformes,Thraupidae,1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Chlorornis riefferii,48.93459016,11.33787234,104.9016393,87.2,18.2,29.3,1,0,30,70,0,Chlorornis riefferii,12830,Chlorornis_riefferii,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Grass-green Tanager,bow12830,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,midhigh,lowland_iquitos,130330
955,JEJ,W13,349,W130349,low,Arremon_torquatus,Passeriformes,"Passerellidae
",1,1,0,Yes,NA,NA,NA,NA,NA,NA,NA,Arremon torquatus,42.28636364,11.60647059,76.97058824,85.7,9.8,32.2,1,0,50,50,0,Arremon torquatus,12651,Arremon_torquatus,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Stripe-headed Brush-finch,bow12651,BL3,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,130349
956,JEJ,W13,351,W130351,low,Myioborus_melanocephalus,Passeriformes,"Parulidae
",0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Myioborus melanocephalus,11.53984848,6.9432,65.4,66.5,15.5,19.6,1,0,20,0,80,Myioborus melanocephalus,12766,Myioborus_melanocephalus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Spectacled Redstart,bow12766,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,canopy,lowland_iquitos,130351
957,JEJ,W13,353,W130353,med,Myioborus_melanocephalus,Passeriformes,"Parulidae
",0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Myioborus melanocephalus,11.53984848,6.9432,65.4,66.5,15.5,19.6,1,0,20,0,80,Myioborus melanocephalus,12766,Myioborus_melanocephalus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Spectacled Redstart,bow12766,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,canopy,lowland_iquitos,130353
958,JEJ,W13,360,W130360,high,Iridosornis_jelskii,Passeriformes,"Thraupidae
",1,0,0,Yes,NA,NA,NA,NA,NA,NA,NA,Iridosornis jelskii,20.34714286,7.004603175,72.94117647,64.7,16.8,23.9,1,0,60,40,0,Iridosornis jelskii,12964,Iridosornis_jelskii,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Golden-collared Tanager,bow12964,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130360
959,JEJ,W13,369,W130369,low,Kleinothraupis_atropileus,Passeriformes,"Thraupidae
",0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Kleinothraupis atropileus,20.552,9.195769231,70.85714286,73.6,13.2,23.8,1,0,90,10,0,Hemispingus atropileus,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130369
960,JEJ,W13,370,W130370,low,Kleinothraupis_atropileus,Passeriformes,"Thraupidae
",0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Kleinothraupis atropileus,20.552,9.195769231,70.85714286,73.6,13.2,23.8,1,0,90,10,0,Hemispingus atropileus,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130370
961,JEJ,W13,377,W130377,med,Arremon_torquatus,Passeriformes,"Passerellidae
",1,1,0,Yes,NA,NA,NA,NA,NA,NA,NA,Arremon torquatus,42.28636364,11.60647059,76.97058824,85.7,9.8,32.2,1,0,50,50,0,Arremon torquatus,12651,Arremon_torquatus,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Stripe-headed Brush-finch,bow12651,BL3,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,130377
962,JEJ,W13,378,W130378,med,Arremon_torquatus,Passeriformes,"Passerellidae
",1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Arremon torquatus,42.28636364,11.60647059,76.97058824,85.7,9.8,32.2,1,0,50,50,0,Arremon torquatus,12651,Arremon_torquatus,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Stripe-headed Brush-finch,bow12651,BL3,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,130378
963,JEJ,W13,416,W130416,med,Myioborus_melanocephalus,Passeriformes,"Parulidae
",0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Myioborus melanocephalus,11.53984848,6.9432,65.4,66.5,15.5,19.6,1,0,20,0,80,Myioborus melanocephalus,12766,Myioborus_melanocephalus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Spectacled Redstart,bow12766,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,canopy,lowland_iquitos,130416
964,JEJ,W13,417,W130417,high,Kleinothraupis_atropileus,Passeriformes,"Thraupidae
",0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Kleinothraupis atropileus,20.552,9.195769231,70.85714286,73.6,13.2,23.8,1,0,90,10,0,Hemispingus atropileus,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130417
965,JEJ,W13,429,W130429,med,Chlorornis_riefferii,Passeriformes,Thraupidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Chlorornis riefferii,48.93459016,11.33787234,104.9016393,87.2,18.2,29.3,1,0,30,70,0,Chlorornis riefferii,12830,Chlorornis_riefferii,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Grass-green Tanager,bow12830,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,midhigh,lowland_iquitos,130429
966,JEJ,W13,445,W130445,med,Anisognathus_igniventris,Passeriformes,"Thraupidae
",0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Anisognathus igniventris,34.8345,8.160857143,86.69387755,75.3,16.8,25.1,1,0,20,50,30,Anisognathus igniventris,12958,Anisognathus_igniventris,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Scarlet-bellied Mountain-tanager,bow12958,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,130445
967,JEJ,W13,453,W130453,high,Kleinothraupis_atropileus,Passeriformes,"Thraupidae
",1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Kleinothraupis atropileus,20.552,9.195769231,70.85714286,73.6,13.2,23.8,1,0,90,10,0,Hemispingus atropileus,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130453
968,JEJ,W13,497,W130497,med,Kleinothraupis_atropileus,Passeriformes,"Thraupidae
",0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Kleinothraupis atropileus,20.552,9.195769231,70.85714286,73.6,13.2,23.8,1,0,90,10,0,Hemispingus atropileus,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130497
969,JEJ,W13,488,W130488,low,Kleinothraupis_atropileus,Passeriformes,"Thraupidae
",0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Kleinothraupis atropileus,20.552,9.195769231,70.85714286,73.6,13.2,23.8,1,0,90,10,0,Hemispingus atropileus,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130488
970,JEJ,W13,560,W130560,low,Arremon_torquatus,Passeriformes,"Passerellidae
",1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Arremon torquatus,42.28636364,11.60647059,76.97058824,85.7,9.8,32.2,1,0,50,50,0,Arremon torquatus,12651,Arremon_torquatus,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Stripe-headed Brush-finch,bow12651,BL3,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,130560
971,JEJ,W13,561,W130561,low,Arremon_torquatus,Passeriformes,"Passerellidae
",0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Arremon torquatus,42.28636364,11.60647059,76.97058824,85.7,9.8,32.2,1,0,50,50,0,Arremon torquatus,12651,Arremon_torquatus,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Stripe-headed Brush-finch,bow12651,BL3,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,130561
972,JEJ,W13,572,W130572,low,Arremon_torquatus,Passeriformes,"Passerellidae
",1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Arremon torquatus,42.28636364,11.60647059,76.97058824,85.7,9.8,32.2,1,0,50,50,0,Arremon torquatus,12651,Arremon_torquatus,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Stripe-headed Brush-finch,bow12651,BL3,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,130572
973,JEJ,W13,633,W130633,low,Myioborus_melanocephalus,Passeriformes,"Parulidae
",0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Myioborus melanocephalus,11.53984848,6.9432,65.4,66.5,15.5,19.6,1,0,20,0,80,Myioborus melanocephalus,12766,Myioborus_melanocephalus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Spectacled Redstart,bow12766,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,canopy,lowland_iquitos,130633
974,JEJ,W13,637,W130637,med,Iridosornis_jelskii,Passeriformes,"Thraupidae
",1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Iridosornis jelskii,20.34714286,7.004603175,72.94117647,64.7,16.8,23.9,1,0,60,40,0,Iridosornis jelskii,12964,Iridosornis_jelskii,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Golden-collared Tanager,bow12964,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130637
975,JEJ,W13,676,W130676,low,Iridosornis_jelskii,Passeriformes,"Thraupidae
",1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Iridosornis jelskii,20.34714286,7.004603175,72.94117647,64.7,16.8,23.9,1,0,60,40,0,Iridosornis jelskii,12964,Iridosornis_jelskii,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Golden-collared Tanager,bow12964,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130676
976,JEJ,W13,826,W130826,low,Kleinothraupis_atropileus,Passeriformes,"Thraupidae
",0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Kleinothraupis atropileus,20.552,9.195769231,70.85714286,73.6,13.2,23.8,1,0,90,10,0,Hemispingus atropileus,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130826
977,JEJ,W13,677,W130677,med,Chlorornis_riefferii,Passeriformes,Thraupidae,1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Chlorornis riefferii,48.93459016,11.33787234,104.9016393,87.2,18.2,29.3,1,0,30,70,0,Chlorornis riefferii,12830,Chlorornis_riefferii,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Grass-green Tanager,bow12830,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,midhigh,lowland_iquitos,130677
978,JEJ,W13,700,W130700,med,Chlorornis_riefferii,Passeriformes,Thraupidae,1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Chlorornis riefferii,48.93459016,11.33787234,104.9016393,87.2,18.2,29.3,1,0,30,70,0,Chlorornis riefferii,12830,Chlorornis_riefferii,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Grass-green Tanager,bow12830,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,midhigh,lowland_iquitos,130700
979,JEJ,W13,753,W130753,med,Pyrrhomyias_cinnamomeus,Passeriformes,"Tyrannidae
",1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Pyrrhomyias cinnamomeus,11.10103448,7.602380952,68.31034483,61.3,22.7,12.8,1,0,100,0,0,Pyrrhomyias cinnamomeus,6006,Pyrrhomyias_cinnamomeus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Cinnamon Flycatcher,bow06006,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,130753
980,JEJ,P11,129,P110129,low,Leptopogon_amaurocephalus,Passeriformes,"Tyrannidae
",1,1,0,Yes,NA,NA,NA,NA,NA,NA,NA,Leptopogon amaurocephalus,11.67782609,8.840697674,61.33695652,55.3,18.7,14.5,1,0,50,50,0,Leptopogon amaurocephalus,5768,Leptopogon_amaurocephalus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Sepia-capped Flycatcher,bow05768,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,110129
981,JEJ,W13,824,W130824,med,Kleinothraupis_atropileus,Passeriformes,"Thraupidae
",0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Kleinothraupis atropileus,20.552,9.195769231,70.85714286,73.6,13.2,23.8,1,0,90,10,0,Hemispingus atropileus,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130824
982,JEJ,P11,406,P110406,low,Leptopogon_amaurocephalus,Passeriformes,"Tyrannidae
",1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Leptopogon amaurocephalus,11.67782609,8.840697674,61.33695652,55.3,18.7,14.5,1,0,50,50,0,Leptopogon amaurocephalus,5768,Leptopogon_amaurocephalus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Sepia-capped Flycatcher,bow05768,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,110406
983,JEJ,P11,5912,P115912,low,Leptopogon_amaurocephalus,Passeriformes,"Tyrannidae
",1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Leptopogon amaurocephalus,11.67782609,8.840697674,61.33695652,55.3,18.7,14.5,1,0,50,50,0,Leptopogon amaurocephalus,5768,Leptopogon_amaurocephalus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Sepia-capped Flycatcher,bow05768,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,115912
984,JEJ,W13,897,W130897,high,Iridosornis_jelskii,Passeriformes,"Thraupidae
",1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Iridosornis jelskii,20.34714286,7.004603175,72.94117647,64.7,16.8,23.9,1,0,60,40,0,Iridosornis jelskii,12964,Iridosornis_jelskii,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Golden-collared Tanager,bow12964,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130897
985,JEJ,W13,898,W130898,high,Iridosornis_jelskii,Passeriformes,"Thraupidae
",1,1,0,Yes,NA,NA,NA,NA,NA,NA,NA,Iridosornis jelskii,20.34714286,7.004603175,72.94117647,64.7,16.8,23.9,1,0,60,40,0,Iridosornis jelskii,12964,Iridosornis_jelskii,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Golden-collared Tanager,bow12964,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130898
986,JEJ,W13,914,W130914,high,Iridosornis_jelskii,Passeriformes,"Thraupidae
",0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Iridosornis jelskii,20.34714286,7.004603175,72.94117647,64.7,16.8,23.9,1,0,60,40,0,Iridosornis jelskii,12964,Iridosornis_jelskii,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Golden-collared Tanager,bow12964,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130914
987,JEJ,W13,920,W130920,med,Iridosornis_jelskii,Passeriformes,"Thraupidae
",0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Iridosornis jelskii,20.34714286,7.004603175,72.94117647,64.7,16.8,23.9,1,0,60,40,0,Iridosornis jelskii,12964,Iridosornis_jelskii,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Golden-collared Tanager,bow12964,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130920
988,JEJ,W13,939,W130939,med,Anisognathus_igniventris,Passeriformes,"Thraupidae
",0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Anisognathus igniventris,34.8345,8.160857143,86.69387755,75.3,16.8,25.1,1,0,20,50,30,Anisognathus igniventris,12958,Anisognathus_igniventris,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Scarlet-bellied Mountain-tanager,bow12958,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,130939
989,JEJ,P13,40,P130040,low,Glyphorynchus_spirurus,Passeriformes,Furnariidae,1,0,0,No,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,130040
990,JEJ,P11,6216,P116216,low,Leptopogon_amaurocephalus,Passeriformes,"Tyrannidae
",0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Leptopogon amaurocephalus,11.67782609,8.840697674,61.33695652,55.3,18.7,14.5,1,0,50,50,0,Leptopogon amaurocephalus,5768,Leptopogon_amaurocephalus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Sepia-capped Flycatcher,bow05768,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,116216
991,JEJ,P11,6225,P116225,low,Leptopogon_amaurocephalus,Passeriformes,"Tyrannidae
",1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Leptopogon amaurocephalus,11.67782609,8.840697674,61.33695652,55.3,18.7,14.5,1,0,50,50,0,Leptopogon amaurocephalus,5768,Leptopogon_amaurocephalus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Sepia-capped Flycatcher,bow05768,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,116225
992,JEJ,P12,659,P120659,low,Leptopogon_amaurocephalus,Passeriformes,"Tyrannidae
",1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Leptopogon amaurocephalus,11.67782609,8.840697674,61.33695652,55.3,18.7,14.5,1,0,50,50,0,Leptopogon amaurocephalus,5768,Leptopogon_amaurocephalus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Sepia-capped Flycatcher,bow05768,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,120659
993,JEJ,P12,679,P120679,low,Leptopogon_amaurocephalus,Passeriformes,"Tyrannidae
",1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Leptopogon amaurocephalus,11.67782609,8.840697674,61.33695652,55.3,18.7,14.5,1,0,50,50,0,Leptopogon amaurocephalus,5768,Leptopogon_amaurocephalus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Sepia-capped Flycatcher,bow05768,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,120679
994,JEJ,P12,736,P120736,low,Leptopogon_amaurocephalus,Passeriformes,"Tyrannidae
",0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Leptopogon amaurocephalus,11.67782609,8.840697674,61.33695652,55.3,18.7,14.5,1,0,50,50,0,Leptopogon amaurocephalus,5768,Leptopogon_amaurocephalus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Sepia-capped Flycatcher,bow05768,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,120736
995,JEJ,P12,812,P120812,low,Leptopogon_amaurocephalus,Passeriformes,"Tyrannidae
",0,1,0,Yes,NA,NA,NA,NA,NA,NA,NA,Leptopogon amaurocephalus,11.67782609,8.840697674,61.33695652,55.3,18.7,14.5,1,0,50,50,0,Leptopogon amaurocephalus,5768,Leptopogon_amaurocephalus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Sepia-capped Flycatcher,bow05768,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,120812
