Host.Family,BLFamilyLatin,species_clean,species_jetz,foraging_cat,elevation_cat,TipLabel,Full_Label,sociality,keycol,valuecol
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP110047,1,ectos_binomial2,_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP110367,1,ectos_binomial2,_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP121002,1,ectos_binomial2,_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP121046,1,ectos_binomial2,_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP121163,1,ectos_binomial2,_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP110039,1,ectos_binomial2,Rallicola_leeae?
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP121019,1,ectos_binomial2,Rallicola_leeae?
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP121090,1,ectos_binomial2,Rallicola_leeae?
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP120954,1,ectos_binomial2,Rallicola_leeae?
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP120061,1,ectos_binomial2,_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP110027,1,ectos_binomial3,_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP110047,1,ectos_binomial3,_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP110367,1,ectos_binomial3,_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP121002,1,ectos_binomial3,_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP121046,1,ectos_binomial3,_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP121163,1,ectos_binomial3,_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP110039,1,ectos_binomial3,_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP121019,1,ectos_binomial3,_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP121090,1,ectos_binomial3,_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP120954,1,ectos_binomial3,Menoponidae_new sp?
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP120061,1,ectos_binomial3,_
Apodiformes,Trochilidae,Threnetes leucurus,Threnetes leucurus,understory,lowland_iquitos,Threnetes_leucurus,V120,0,ectos_binomial,Myrsidea_new sp.?/or contamination
Apodiformes,Trochilidae,Threnetes leucurus,Threnetes leucurus,understory,lowland_iquitos,Threnetes_leucurus,V120,0,ectos_binomial2,_
Apodiformes,Trochilidae,Threnetes leucurus,Threnetes leucurus,understory,lowland_iquitos,Threnetes_leucurus,V120,0,ectos_binomial3,_
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,canopy,high_montane_manu,Thraupis_cyanocephala,W130566,1,ectos_binomial,Myrsidea_cyanocephalae?
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,canopy,high_montane_manu,Thraupis_cyanocephala,W120525,1,ectos_binomial,Philopterus-like_new sp?
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,canopy,high_montane_manu,Thraupis_cyanocephala,W130188,1,ectos_binomial,Philopterus-like_new sp?
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,canopy,high_montane_manu,Thraupis_cyanocephala,W130603,1,ectos_binomial,Philopterus-like_new sp?
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,canopy,high_montane_manu,Thraupis_cyanocephala,W130566,1,ectos_binomial2,Philopterus-like_new sp?
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,canopy,high_montane_manu,Thraupis_cyanocephala,W120525,1,ectos_binomial2,_
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,canopy,high_montane_manu,Thraupis_cyanocephala,W130188,1,ectos_binomial2,_
