"","species_taxonomy_SACC_2021","deg_weighted","species","species_jetz","TipLabel"
"94","Epinecrophylla_erythrura",5.83819359314579,"Myrmotherula erythrura","Epinecrophylla erythrura","Epinecrophylla_erythrura"
"95","Epinecrophylla_leucophthalma",5.32343471775558,"Epinecrophylla leucophthalma","Epinecrophylla leucophthalma","Epinecrophylla_leucophthalma"
"96","Epinecrophylla_ornata",1.19479420413105,"Epinecrophylla ornata","Epinecrophylla ornata","Epinecrophylla_ornata"
"97","Eubucco_richardsoni",4.39301022292121,"Eubucco richardsoni","Eubucco richardsoni","Eubucco_richardsoni"
"98","Eubucco_tucinkae",6.89356714042826,"Eubucco tucinkae","Eubucco tucinkae","Eubucco_tucinkae"
"99","Eubucco_versicolor",7.55758408247524,"Eubucco versicolor","Eubucco versicolor","Eubucco_versicolor"
"100","Euphonia_mesochrysa",5.06163123171477,"Euphonia mesochrysa","Euphonia mesochrysa","Euphonia_mesochrysa"
"101","Euphonia_rufiventris",3.90535375224967,"Euphonia rufiventris","Euphonia rufiventris","Euphonia_rufiventris"
"102","Euphonia_xanthogaster",8.93576698549693,"Euphonia xanthogaster","Euphonia xanthogaster","Euphonia_xanthogaster"
"103","Galbula_cyanescens",1.93616734601255,"Galbula cyanescens","Galbula cyanescens","Galbula_cyanescens"
"104","Glyphorynchus_spirurus",8.88799960417795,"Glyphorynchus spirurus","Glyphorynchus spirurus","Glyphorynchus_spirurus"
"105","Gymnoderus_foetidus",5.4859636649929,"Gymnoderus foetidus","Gymnoderus foetidus","Gymnoderus_foetidus"
"106","Habia_rubica",2.01436720537527,"Habia rubica","Habia rubica","Habia_rubica"
"107","Hafferia_fortis",0.388662667763834,"Myrmeciza fortis","Myrmeciza fortis","Myrmeciza_fortis"
"108","Hemithraupis_flavicollis",7.62644149654161,"Hemithraupis flavicollis","Hemithraupis flavicollis","Hemithraupis_flavicollis"
"109","Hemithraupis_guira",5.53763601731648,"Hemithraupis guira","Hemithraupis guira","Hemithraupis_guira"
"110","Hemitriccus_granadensis",4.26343373679952,"Hemitriccus granadensis","Hemitriccus granadensis","Hemitriccus_granadensis"
"111","Hemitriccus_rufigularis",0.858290998217469,"Hemitriccus rufigularis","Hemitriccus rufigularis","Hemitriccus_rufigularis"
"112","Herpsilochmus_axillaris",2.60591124442315,"Herpsilochmus axillaris","Herpsilochmus axillaris","Herpsilochmus_axillaris"
"113","Herpsilochmus_rufimarginatus",2.75363197438306,"Herpsilochmus rufimarginatus","Herpsilochmus rufimarginatus","Herpsilochmus_rufimarginatus"
"114","Hypocnemis_subflava",1.71908468864379,"Hypocnemis cantator","Hypocnemis cantator","Hypocnemis_cantator"
"115","Icterus_cayanensis",5.4859636649929,"Icterus cayanensis","Icterus cayanensis","Icterus_cayanensis"
"116","Iridophanes_pulcherrimus",5.37950042310767,"Iridophanes pulcherrimus","Iridophanes pulcherrimus","Iridophanes_pulcherrimus"
"117","Iridosornis_analis",8.12868274327973,"Iridosornis analis","Iridosornis analis","Iridosornis_analis"
"118","Iridosornis_jelskii",2.6855758128684,"Iridosornis jelskii","Iridosornis jelskii","Iridosornis_jelskii"
