X.,Collection,Sample_Group,Sample.No...,Sample.Full..,species_binomial,Host.Order,Host.Family,Box.Location,Mite.Group,Mite.Genus,Mite.Species,Total,Mite.Group2,Mite.Genus2,Mite.Species2,Total2,Comment,total_mites,X,X.1,X.2,X.3,species_clean,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,species_jetz,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,foraging_cat,elevation_cat,sample,total_lice
509,JEJ,W12,1001,W121001,Kleinothraupis_atropileus,Passeriformes,"Thraupidae
",,Feather,,NA,30,,,NA,NA,,30,NA,NA,NA,NA,Kleinothraupis atropileus,20.552,9.195769231,70.85714286,73.6,13.2,23.8,1,0,90,10,0,Hemispingus atropileus,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,121001,30
510,JEJ,W12,1016,W121016,Chlorornis_riefferii,Passeriformes,Thraupidae,,Feather,,NA,15,,,NA,NA,,15,NA,NA,NA,NA,Chlorornis riefferii,48.93459016,11.33787234,104.9016393,87.2,18.2,29.3,1,0,30,70,0,Chlorornis riefferii,12830,Chlorornis_riefferii,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Grass-green Tanager,bow12830,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,midhigh,lowland_iquitos,121016,15
511,JEJ,W12,1048,W121048,Arremon_torquatus,Passeriformes,"Passerellidae
",,Feather,,NA,81,,,NA,NA,,81,NA,NA,NA,NA,Arremon torquatus,42.28636364,11.60647059,76.97058824,85.7,9.8,32.2,1,0,50,50,0,Arremon torquatus,12651,Arremon_torquatus,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Stripe-headed Brush-finch,bow12651,BL3,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,121048,81
512,JEJ,W12,1044,W121044,Kleinothraupis_atropileus,Passeriformes,"Thraupidae
",,Feather,,NA,468,,,NA,NA,,468,NA,NA,NA,NA,Kleinothraupis atropileus,20.552,9.195769231,70.85714286,73.6,13.2,23.8,1,0,90,10,0,Hemispingus atropileus,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,121044,468
513,JEJ,W12,1090,W121090,Myioborus_melanocephalus,Passeriformes,"Parulidae
",,Feather,,NA,5,,,NA,NA,,5,NA,NA,NA,NA,Myioborus melanocephalus,11.53984848,6.9432,65.4,66.5,15.5,19.6,1,0,20,0,80,Myioborus melanocephalus,12766,Myioborus_melanocephalus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Spectacled Redstart,bow12766,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,canopy,lowland_iquitos,121090,5
514,JEJ,W12,1223,W121223,Iridosornis_jelskii,Passeriformes,"Thraupidae
",,Feather,,NA,2,,,NA,NA,,2,NA,NA,NA,NA,Iridosornis jelskii,20.34714286,7.004603175,72.94117647,64.7,16.8,23.9,1,0,60,40,0,Iridosornis jelskii,12964,Iridosornis_jelskii,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Golden-collared Tanager,bow12964,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,121223,2
515,JEJ,W12,1041,W121041,Mecocerculus_stictopterus,Passeriformes,"Tyrannidae
",,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Mecocerculus stictopterus,10.18833333,6.216666667,63.28571429,60.2,14.5,18,1,0,0,50,50,Mecocerculus stictopterus,5898,Mecocerculus_stictopterus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",White-banded Tyrannulet,bow05898,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,121041,1
516,JEJ,W12,1136,W121136,Myioborus_melanocephalus,Passeriformes,"Parulidae
",,Feather,,NA,12,,,NA,NA,,12,NA,NA,NA,NA,Myioborus melanocephalus,11.53984848,6.9432,65.4,66.5,15.5,19.6,1,0,20,0,80,Myioborus melanocephalus,12766,Myioborus_melanocephalus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Spectacled Redstart,bow12766,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,canopy,lowland_iquitos,121136,12
517,JEJ,W12,1161,W121161,Myioborus_melanocephalus,Passeriformes,"Parulidae
",,Feather,,NA,23,,,NA,NA,,23,NA,NA,NA,NA,Myioborus melanocephalus,11.53984848,6.9432,65.4,66.5,15.5,19.6,1,0,20,0,80,Myioborus melanocephalus,12766,Myioborus_melanocephalus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Spectacled Redstart,bow12766,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,canopy,lowland_iquitos,121161,23
518,JEJ,P13,183,P130183,Hylophylax_naevius,Passeriformes,"Thamnophilidae
",,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Hylophylax naevius,13.63936508,8.975555556,58.31746032,39.8,14.1,20.2,0,0,80,20,0,Hylophylax naevius,6610,Hylophylax_naevius,Thamnophilidae,Antbirds,Antbirds,Spot-backed Antbird,bow06610,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,130183,1
519,JEJ,P13,157,P130157,Thamnomanes_ardesiacus,Passeriformes,"Thamnophilidae
",,Feather,,NA,3,,,NA,NA,,3,NA,NA,NA,NA,Thamnomanes ardesiacus,18.58714286,10.9738,71.27906977,50.2,17,18.7,1,0,30,70,0,Thamnomanes ardesiacus,6460,Thamnomanes_ardesiacus,Thamnophilidae,Antbirds,Antbirds,Dusky-throated Antshrike,bow06460,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,130157,3
520,JEJ,P13,50,P130050,Thamnomanes_ardesiacus,Passeriformes,"Thamnophilidae
",,Feather,,NA,10,,,NA,NA,,10,NA,NA,NA,NA,Thamnomanes ardesiacus,18.58714286,10.9738,71.27906977,50.2,17,18.7,1,0,30,70,0,Thamnomanes ardesiacus,6460,Thamnomanes_ardesiacus,Thamnophilidae,Antbirds,Antbirds,Dusky-throated Antshrike,bow06460,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,130050,10
521,JEJ,P13,25,P130025,Myrmotherula_axillaris,Passeriformes,Thamnophilidae,,Feather,,NA,4,,,NA,NA,,4,NA,NA,NA,NA,Myrmotherula axillaris,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,Myrmotherula axillaris,6486,Myrmotherula_axillaris,Thamnophilidae,Antbirds,Antbirds,White-flanked Antwren,bow06486,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,130025,4
522,JEJ,P13,259,P130259,Myrmotherula_axillaris,Passeriformes,Thamnophilidae,,Feather,,NA,13,Mesostigmatid,,NA,1,,14,NA,NA,NA,NA,Myrmotherula axillaris,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,Myrmotherula axillaris,6486,Myrmotherula_axillaris,Thamnophilidae,Antbirds,Antbirds,White-flanked Antwren,bow06486,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,130259,14
523,JEJ,P13,233,P130233,Lanio_versicolor,Passeriformes,"Thraupidae
",,Feather,,NA,3,,,NA,NA,,3,NA,NA,NA,NA,Lanio versicolor,19.76205128,10.39833333,79.825,67.6,20.3,15.3,1,0,0,20,60,Lanio versicolor,12886,Lanio_versicolor,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",White-winged Shrike-tanager,bow12886,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,canopy,lowland_iquitos,130233,3
524,JEJ,P13,253,P130253,Hylophylax_naevius,Passeriformes,"Thamnophilidae
",,Feather,,NA,24,,,NA,NA,,24,NA,NA,NA,NA,Hylophylax naevius,13.63936508,8.975555556,58.31746032,39.8,14.1,20.2,0,0,80,20,0,Hylophylax naevius,6610,Hylophylax_naevius,Thamnophilidae,Antbirds,Antbirds,Spot-backed Antbird,bow06610,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,130253,24
525,JEJ,P13,254,P130254,Microcerculus_marginatus,Passeriformes,Troglodytidae,,Feather,,NA,11,,,NA,NA,,11,NA,NA,NA,NA,Microcerculus marginatus,18.81613333,12.17923077,59.61538462,24.2,11.6,23.5,0,50,50,0,0,Microcerculus marginatus,9781,Microcerculus_marginatus,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Southern Nightingale-wren,bow09781,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,130254,11
526,JEJ,P13,255,P130255,Microcerculus_marginatus,Passeriformes,Troglodytidae,,Feather,,NA,4,,,NA,NA,,4,NA,NA,NA,NA,Microcerculus marginatus,18.81613333,12.17923077,59.61538462,24.2,11.6,23.5,0,50,50,0,0,Microcerculus marginatus,9781,Microcerculus_marginatus,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Southern Nightingale-wren,bow09781,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,130255,4
527,JEJ,P13,187,P130187,Hylophylax_naevius,Passeriformes,"Thamnophilidae
",,Feather,,NA,5,,,NA,NA,,5,NA,NA,NA,NA,Hylophylax naevius,13.63936508,8.975555556,58.31746032,39.8,14.1,20.2,0,0,80,20,0,Hylophylax naevius,6610,Hylophylax_naevius,Thamnophilidae,Antbirds,Antbirds,Spot-backed Antbird,bow06610,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,130187,5
528,JEJ,P13,189,P130189,Hylophylax_naevius,Passeriformes,"Thamnophilidae
",,Feather,,NA,17,,,NA,NA,,17,NA,NA,NA,NA,Hylophylax naevius,13.63936508,8.975555556,58.31746032,39.8,14.1,20.2,0,0,80,20,0,Hylophylax naevius,6610,Hylophylax_naevius,Thamnophilidae,Antbirds,Antbirds,Spot-backed Antbird,bow06610,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,130189,17
529,JEJ,P13,301,P130301,Corythopis_torquatus,Passeriformes,"Tyrannidae
",,Feather,,NA,15,,,NA,NA,,15,NA,NA,NA,NA,Corythopis torquatus,17.01754717,9.018085106,66.12,52.7,17.3,26,0,80,20,0,0,Corythopis torquatus,5814,Corythopis_torquatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ringed Antpipit,bow05814,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,130301,15
530,JEJ,P13,303,P130303,Corythopis_torquatus,Passeriformes,"Tyrannidae
",,Feather,,NA,2,,,NA,NA,,2,NA,NA,NA,NA,Corythopis torquatus,17.01754717,9.018085106,66.12,52.7,17.3,26,0,80,20,0,0,Corythopis torquatus,5814,Corythopis_torquatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ringed Antpipit,bow05814,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,130303,2
531,JEJ,P13,328,P130328,Corythopis_torquatus,Passeriformes,"Tyrannidae
",,Feather,,NA,67,,,NA,NA,,67,NA,NA,NA,NA,Corythopis torquatus,17.01754717,9.018085106,66.12,52.7,17.3,26,0,80,20,0,0,Corythopis torquatus,5814,Corythopis_torquatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ringed Antpipit,bow05814,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,130328,67
532,JEJ,P13,330,P130330,Corythopis_torquatus,Passeriformes,"Tyrannidae
",,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Corythopis torquatus,17.01754717,9.018085106,66.12,52.7,17.3,26,0,80,20,0,0,Corythopis torquatus,5814,Corythopis_torquatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ringed Antpipit,bow05814,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,130330,1
533,JEJ,P13,352,P130352,Microcerculus_marginatus,Passeriformes,Troglodytidae,,Feather,,NA,21,,,NA,NA,,21,NA,NA,NA,NA,Microcerculus marginatus,18.81613333,12.17923077,59.61538462,24.2,11.6,23.5,0,50,50,0,0,Microcerculus marginatus,9781,Microcerculus_marginatus,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Southern Nightingale-wren,bow09781,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,130352,21
534,JEJ,P13,400,P130400,Willisornis_poecilinotus,Passeriformes,Thamnophilidae,,Feather,,NA,4,,,NA,NA,,4,NA,NA,NA,NA,Willisornis poecilinotus,18.39630137,10.27342105,64.65822785,42.8,16.3,23,0,60,40,0,0,Willisornis poecilinotus,6612,Willisornis_poecilinotus,Thamnophilidae,Antbirds,Antbirds,Scale-backed Antbird,bow06612,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,130400,4
535,JEJ,P13,405,P130405,Microcerculus_marginatus,Passeriformes,Troglodytidae,,Feather,,NA,23,Mesostigmatid,,NA,1,,24,NA,NA,NA,NA,Microcerculus marginatus,18.81613333,12.17923077,59.61538462,24.2,11.6,23.5,0,50,50,0,0,Microcerculus marginatus,9781,Microcerculus_marginatus,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Southern Nightingale-wren,bow09781,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,130405,24
536,JEJ,P13,439,P130439,Isleria_hauxwelli,Passeriformes,Thamnophilidae,,Mesostigmatid,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Isleria hauxwelli,11.27941606,8.391276596,50.70714286,24.8,15.6,18.9,1,40,40,20,0,Myrmotherula hauxwelli,6475,Myrmotherula_hauxwelli,Thamnophilidae,Antbirds,Antbirds,Plain-throated Antwren,bow06475,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,130439,1
537,JEJ,P13,442,P130442,Sclerurus_caudacutus,Passeriformes,"Furnariidae
",,Feather,,NA,112,,,NA,NA,,112,NA,NA,NA,NA,Sclerurus caudacutus,37.54095238,15.42761905,88.47619048,63.4,17.4,22.6,0,100,0,0,0,Sclerurus caudacutus,6874,Sclerurus_caudacutus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Black-tailed Leaftosser,bow06874,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,130442,112
538,JEJ,P13,1053,P131053,Sclerurus_caudacutus,Passeriformes,"Furnariidae
",,Feather,,NA,1146,,,NA,NA,,1146,NA,NA,NA,NA,Sclerurus caudacutus,37.54095238,15.42761905,88.47619048,63.4,17.4,22.6,0,100,0,0,0,Sclerurus caudacutus,6874,Sclerurus_caudacutus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Black-tailed Leaftosser,bow06874,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,131053,1146
539,JEJ,P13,1067,P131067,Sclerurus_caudacutus,Passeriformes,"Furnariidae
",,Feather,,NA,2266,,,NA,NA,,2266,NA,NA,NA,NA,Sclerurus caudacutus,37.54095238,15.42761905,88.47619048,63.4,17.4,22.6,0,100,0,0,0,Sclerurus caudacutus,6874,Sclerurus_caudacutus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Black-tailed Leaftosser,bow06874,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,131067,2266
540,JEJ,SP13,13,SP130013,Chiroxiphia_boliviana,,,,Feather,,NA,30,,,NA,NA,,30,NA,NA,NA,NA,Chiroxiphia boliviana,17.23620087,5.684965517,66.5855814,45.6,16.8,18.3,1,0,50,50,0,Chiroxiphia boliviana,6359,Chiroxiphia_boliviana,Pipridae,Manakins,Manakins,Yungas Manakin,bow06359,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,130013,30
541,JEJ,W13,63,W130063,Pyrrhomyias_cinnamomeus,Passeriformes,Tyrannidae,,Feather,,NA,2,Mesostigmatid,,NA,1,,3,NA,NA,NA,NA,Pyrrhomyias cinnamomeus,11.10103448,7.602380952,68.31034483,61.3,22.7,12.8,1,0,100,0,0,Pyrrhomyias cinnamomeus,6006,Pyrrhomyias_cinnamomeus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Cinnamon Flycatcher,bow06006,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,130063,3
542,JEJ,W13,80,W130080,Kleinothraupis_atropileus,Passeriformes,"Thraupidae
",,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Kleinothraupis atropileus,20.552,9.195769231,70.85714286,73.6,13.2,23.8,1,0,90,10,0,Hemispingus atropileus,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130080,1
543,JEJ,W13,142,W130142,Kleinothraupis_atropileus,Passeriformes,"Thraupidae
",,Feather,,NA,5,,,NA,NA,,5,NA,NA,NA,NA,Kleinothraupis atropileus,20.552,9.195769231,70.85714286,73.6,13.2,23.8,1,0,90,10,0,Hemispingus atropileus,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130142,5
544,JEJ,W13,143,W130143,Kleinothraupis_atropileus,Passeriformes,"Thraupidae
",,Feather,,NA,6,,,NA,NA,,6,NA,NA,NA,NA,Kleinothraupis atropileus,20.552,9.195769231,70.85714286,73.6,13.2,23.8,1,0,90,10,0,Hemispingus atropileus,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130143,6
545,JEJ,W13,145,W130145,Kleinothraupis_atropileus,Passeriformes,"Thraupidae
",,Feather,,NA,3,,,NA,NA,,3,NA,NA,NA,NA,Kleinothraupis atropileus,20.552,9.195769231,70.85714286,73.6,13.2,23.8,1,0,90,10,0,Hemispingus atropileus,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130145,3
546,JEJ,W13,232,W130232,Myioborus_melanocephalus,Passeriformes,"Parulidae
",,Feather,,NA,4,,,NA,NA,,4,NA,NA,NA,NA,Myioborus melanocephalus,11.53984848,6.9432,65.4,66.5,15.5,19.6,1,0,20,0,80,Myioborus melanocephalus,12766,Myioborus_melanocephalus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Spectacled Redstart,bow12766,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,canopy,lowland_iquitos,130232,4
547,JEJ,W13,233,W130233,Myioborus_melanocephalus,Passeriformes,"Parulidae
",,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Myioborus melanocephalus,11.53984848,6.9432,65.4,66.5,15.5,19.6,1,0,20,0,80,Myioborus melanocephalus,12766,Myioborus_melanocephalus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Spectacled Redstart,bow12766,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,canopy,lowland_iquitos,130233,1
548,JEJ,W13,253,W130253,Chlorornis_riefferii,Passeriformes,Thraupidae,,Feather,,NA,19,,,NA,NA,,19,NA,NA,NA,NA,Chlorornis riefferii,48.93459016,11.33787234,104.9016393,87.2,18.2,29.3,1,0,30,70,0,Chlorornis riefferii,12830,Chlorornis_riefferii,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Grass-green Tanager,bow12830,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,midhigh,lowland_iquitos,130253,19
549,JEJ,W13,255,W130255,Chlorornis_riefferii,Passeriformes,Thraupidae,,Feather,,NA,3,,,NA,NA,,3,NA,NA,NA,NA,Chlorornis riefferii,48.93459016,11.33787234,104.9016393,87.2,18.2,29.3,1,0,30,70,0,Chlorornis riefferii,12830,Chlorornis_riefferii,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Grass-green Tanager,bow12830,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,midhigh,lowland_iquitos,130255,3
550,JEJ,W13,256,W130256,Chlorornis_riefferii,Passeriformes,Thraupidae,,Feather,,NA,4,,,NA,NA,,4,NA,NA,NA,NA,Chlorornis riefferii,48.93459016,11.33787234,104.9016393,87.2,18.2,29.3,1,0,30,70,0,Chlorornis riefferii,12830,Chlorornis_riefferii,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Grass-green Tanager,bow12830,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,midhigh,lowland_iquitos,130256,4
551,JEJ,W13,257,W130257,Myioborus_melanocephalus,Passeriformes,"Parulidae
",,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Myioborus melanocephalus,11.53984848,6.9432,65.4,66.5,15.5,19.6,1,0,20,0,80,Myioborus melanocephalus,12766,Myioborus_melanocephalus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Spectacled Redstart,bow12766,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,canopy,lowland_iquitos,130257,1
552,JEJ,W13,286,W130286,Kleinothraupis_atropileus,Passeriformes,"Thraupidae
",,Feather,,NA,4,,,NA,NA,,4,NA,NA,NA,NA,Kleinothraupis atropileus,20.552,9.195769231,70.85714286,73.6,13.2,23.8,1,0,90,10,0,Hemispingus atropileus,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130286,4
553,JEJ,W13,287,W130287,Kleinothraupis_atropileus,Passeriformes,"Thraupidae
",,Feather,,NA,5,,,NA,NA,,5,NA,NA,NA,NA,Kleinothraupis atropileus,20.552,9.195769231,70.85714286,73.6,13.2,23.8,1,0,90,10,0,Hemispingus atropileus,12847,Hemispingus_atropileus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-capped Hemispingus,bow12847,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,130287,5
554,JUM,V12,27,V1227,Myiothlypis_fulvicauda,Passeriformes,"Parulidae
",,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Myiothlypis fulvicauda,13.93333333,7.975,63,49.7,15.3,22.5,0,80,20,0,0,Phaeothlypis fulvicauda,12796,Phaeothlypis_fulvicauda,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Buff-rumped Warbler,bow12796,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,ground,lowland_iquitos,1227,1
