species_taxonomy_SACC_2021,elevation_midpoint
Chloroceryle americana,1302
Chloroceryle inda,397.5
Chlorochrysa calliparaea,1387
Chlorophanes spiza,826
Chlorophonia cyanea,1415
Chloropipo unicolor,1619
Chlorornis riefferii,2728
Chlorospingus canigularis,1129
Chlorospingus flavigularis,1362
Chlorospingus flavopectus,1821
Chlorospingus parvirostris,1387
Chlorostilbon mellisugus,1202
Chlorothraupis carmioli,600
Chrysuronia oenone,1129
Ciccaba albitarsis,2908
Cinclodes albiventris,2742
Cinclus leucocephalus,2252
Cinnycerthia fulva,2726
Cissopis leverianus,1224
Cistothorus platensis,2895
Clibanornis rubiginosus,837
Cnemarchus erythropygius,2524
Cnemoscopus rubrirostris,2615
Cnemotriccus fuscatus,387
Coccyzus americanus,412
Coccyzus melacoryphus,444
Coeligena coeligena,1449
Coeligena torquata,2578
Coeligena violifer,2681
Coereba flaveola,1217
Colaptes punctigula,1280
Colaptes rivolii,2739
Colaptes rubiginosus,1538
Colibri coruscans,1735
Colibri cyanotus,1954
Colonia colonus,1210
Columbina talpacoti,387
Conirostrum albifrons,2575
Conirostrum ferrugineiventre,3396
Conirostrum sitticolor,2798.5
Conopias cinchoneti,1207
Conopophaga ardesiaca,1348
Conopophaga castaneiceps,1378.5
Conopophaga peruviana,415.5
Contopus fumigatus,2655
Contopus sordidulus,1239
Corythopis torquatus,419
Cranioleuca curtata,1242.5
Cranioleuca gutturata,535
Cranioleuca marcapatae,2743
Creurgops dentatus,1652
Cryptopipo holochlora,508
Crypturellus atrocapillus,426
Crypturellus bartletti,422
Crypturellus cinereus,420
Crypturellus obsoletus,1862
Crypturellus soui,431
Crypturellus undulatus,409.5
Crypturellus variegatus,431
Cyanerpes caeruleus,1124
Cyanerpes cyaneus,615
Cyanocorax cyanomelas,415
Cyanocorax violaceus,829
Cyanocorax yncas,1709
Cyanoloxia cyanoides,423.5
Cyanolyca viridicyanus,2616
Cymbilaimus lineatus,426
Cymbilaimus sanctaemariae,829
Cyphorhinus arada,404
Cyphorhinus thoracicus,1348
Dacnis cayana,1080
Dacnis flaviventer,416
Dacnis lineata,568
Daptrius ater,619
Deconychura longicauda,439
Dendrexetastes rufigula,426
Dendrocincla fuliginosa,431
Dendrocincla merula,413
Dendrocincla tyrannina,2650
Dendrocolaptes certhia,417
Dendrocolaptes picumnus,770
Dendroma erythroptera,430
Dendroma rufa,1068
Dendroplex picus,430
Dichrozona cincta,417
Diglossa brunneiventris,2924
Diglossa caerulescens,2017.5
Diglossa cyanea,2744
Diglossa glauca,1758
Diglossa mystacalis,2986
Diglossa sittoides,2650
Discosura popelairii,1202
Doryfera johannae,600
Doryfera ludovicae,1376
Dromococcyx pavoninus,1183.5
Drymophila caudata,1758
Drymophila devillei,409.5
Drymotoxeres pucheranii,2658
Dryobates affinis,415
Dryobates nigriceps,2655
Dryobates passerinus,403
Dryocopus lineatus,1173
Dubusia castaneoventris,2787
Dubusia taeniata,2734
Dysithamnus mentalis,1117
Elaenia albiceps,2728.5
Elaenia gigas,1375
Elaenia obscura,2845
Elaenia pallatangae,2900
Elaenia parvirostris,1146
Elaenia spectabilis,387
Elanoides forficatus,818
Electron platyrhynchum,420.5
Elliotomyia chionogaster,797
Elliotomyia viridicauda,1501
Empidonax alnorum,397
Ensifera ensifera,2650
Entomodestes leucotis,1948
Epinecrophylla erythrura,424
Epinecrophylla haematonota,398
Epinecrophylla leucophthalma,415
Epinecrophylla ornata,1059
Epinecrophylla spodionota,1194
Eubucco richardsoni,417
Eubucco tucinkae,408
Eubucco versicolor,1425
Euchrepornis callinota,648
Euchrepornis sharpei,1422.5
Euphonia chlorotica,405
Euphonia chrysopasta,419
Euphonia laniirostris,421
Euphonia mesochrysa,1334.5
Euphonia rufiventris,515
Euphonia xanthogaster,1337
Eurypyga helias,1134
Eutoxeres condamini,1309
Florisuga mellivora,415
Formicarius analis,430
Formicarius colma,419
Formicarius rufifrons,1345.5
Formicarius rufipectus,1431
Frederickena unduliger,433
Furnarius leucopus,1013.5
Galbula cyanescens,486.5
Geothlypis aequinoctialis,387
Geotrygon montana,426
Geotrygon saphirina,2726
Geranoaetus polyosoma,2972
Glaucidium bolivianum,2881.5
Glaucidium brasilianum,412
Glaucidium hardyi,407
Glaucis hirsutus,410.5
Glyphorynchus spirurus,421
Grallaria albigula,1899
Grallaria erythroleuca,2616
Grallaria guatimalensis,1332
Grallaria rufula,2982
Grallaria squamigera,2629.5
Grallaricula ferrugineipectus,2762
Grallaricula flavirostris,1702
Gymnoderus foetidus,404
Habia rubica,413
Hafferia fortis,422.5
Haplophaedia assimilis,1954
Haplophaedia aureliae,2542
Haplospiza rustica,2391
Heliangelus amethysticollis,2743
Heliodoxa aurescens,413
