#No,Collection,Sample_group,Sample No. #,Full_Label,comment,Host Genus,Host Species,Host Order,Host Family,New Association,Lice Genus,Lice Species,Female,Male,Nimph,Eggs,Total,BoxLocation1,Lice Genus2,Lice Species2,Female2,Male2,Nimph2,Eggs2,Total2,BoxLocation2,Lice Genus3,Lice Species3,Female3,Male3,Nimph3,Eggs3,Total,BoxLocation3,total_lice
67,JUM,,M651,M651,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,0,1,0,,1,L-02,,,,,,,,,,,,,,,,,1
68,JUM,,V657,V657,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,2,0,0,,2,L-02,,,,,,,,,,,,,,,,,2
69,JUM,,V660,V660,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,Yes,Myrsidea,(milleri?),3,0,1,,4,L-02,,,,,,,,,,,,,,,,,4
70,JUM,,V669,V669,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Myrsidea,mayermae?,1,0,1,,2,L-02,,,,,,,,,,,,,,,,,2
71,JUM,,V677,V677,,Dixiphia,pipra,Passeriformes,Pipridae,Yes,Philopteridae,new sp.? -> 2 different,0,0,2,,2,L-02,,,,,,,,,,,,,,,,,2
72,JUM,,V679,V679,,Automolus,ochrolaemus,Passeriformes,Furnariidae,No,Myrsidea,ochrolaemi?,3,2,1,,6,L-02,,,,,,,,,,,,,,,,,6
73,JUM,,V682,V682,,Celeus,grammicus,Piciformes,Picidae,Yes,Picicola?,new sp?,4,9,0,,13,L-02,,,,,,,,,,,,,,,,,13
74,JUM,,V691,V691,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,2,0,1,,3,L-02,,,,,,,,,,,,,,,,,3
75,JUM,,V692,V692,,Onychorhynchus,coronatus,Passeriformes,Tityridae,Yes,Philopterus,new sp?,0,1,2,,3,L-02,,,,,,,,,,,,,,,,,3
76,JUM,,V694,V694,,Xiphorhynchus,elegans,Passeriformes,Furnariidae,Yes,Myrsidea,new sp?,0,0,1,,1,L-02,Ricinus,new sp?,1,0,0,,1,L-02,,,,,,,,,2
77,JUM,,V695,V695,,Ancistrops,strigilatus,Passeriformes,Furnariidae,Yes,Myrsidea,new sp?,0,0,2,,2,L-02,,,,,,,,,,,,,,,,,2
78,JUM,,V720,V720,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,0,1,0,,1,L-02,,,,,,,,,,,,,,,,,1
