#No,Collection,Sample_group,Sample No. #,Full_Label,comment,Host Genus,Host Species,species_binomial,Host Order,host_family,New Association,Lice Genus,lice_genus_tidy,Lice Species,Female,Male,Nimph,Eggs,Total,BoxLocation1
185,JEJ,SP12,931,SP120931,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes?,Menoponidae,Menoponidae,(Myrsidea basileuteri/ paleno)?,0,0,1,,1,L-05
185,JEJ,SP12,931,SP120931,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes?,,,,,,,,,
185,JEJ,SP12,931,SP120931,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes?,,,,,,,,,
205,JEJ,SP12,1212,SP121212,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,Myrsidea,Myrsidea,(basileuteri/ paleno),1,0,0,,1,L-05
205,JEJ,SP12,1212,SP121212,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,,,,,,,,,
205,JEJ,SP12,1212,SP121212,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,,,,,,,,,
210,JEJ,SP12,1435,SP121435,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,Myrsidea,Myrsidea,(basileuteri/ paleno),5,0,0,,5,L-05
210,JEJ,SP12,1435,SP121435,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,,,,,,,,,
210,JEJ,SP12,1435,SP121435,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,,,,,,,,,
215,JEJ,TL12,94,TL120094,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,Myrsidea,Myrsidea,(basileuteri/ paleno),0,1,0,,1,L-05
215,JEJ,TL12,94,TL120094,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,,,,,,,,,
215,JEJ,TL12,94,TL120094,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,,,,,,,,,
216,JEJ,TL12,95,TL120095,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,Myrsidea,Myrsidea,(basileuteri/ paleno),0,1,0,,1,L-05
216,JEJ,TL12,95,TL120095,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,,,,,,,,,
216,JEJ,TL12,95,TL120095,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,,,,,,,,,
445,JEJ,TU12,49,TU120049,,Buthraupis,montana,Buthraupis_montana,Passeriformes,Thraupidae,,Myrsidea,Myrsidea,new sp?,0,0,1,,1,
445,JEJ,TU12,49,TU120049,,Buthraupis,montana,Buthraupis_montana,Passeriformes,Thraupidae,,,,,,,,,,
445,JEJ,TU12,49,TU120049,,Buthraupis,montana,Buthraupis_montana,Passeriformes,Thraupidae,,,,,,,,,,
449,JEJ,W12,483,W120483,,Buthraupis,montana,Buthraupis_montana,Passeriformes,Thraupidae,,Myrsidea,Myrsidea,new sp?,0,0,1,,1,
449,JEJ,W12,483,W120483,,Buthraupis,montana,Buthraupis_montana,Passeriformes,Thraupidae,,Philopterus-like,Philopteridae,new sp?,0,1,0,,1,
449,JEJ,W12,483,W120483,,Buthraupis,montana,Buthraupis_montana,Passeriformes,Thraupidae,,,,,,,,,,
452,JEJ,W13,234,W130234,,Buthraupis,montana,Buthraupis_montana,Passeriformes,Thraupidae,,Myrsidea,Myrsidea,new sp?,0,1,0,,1,
452,JEJ,W13,234,W130234,,Buthraupis,montana,Buthraupis_montana,Passeriformes,Thraupidae,,,,,,,,,,
452,JEJ,W13,234,W130234,,Buthraupis,montana,Buthraupis_montana,Passeriformes,Thraupidae,,,,,,,,,,
293,JUM,V,1239,V1239,nymphs dark color,Cacicus,cela,Cacicus_cela,Passeriformes,Icteridae,,Myrsidea,Myrsidea,"picta, mirabilis?",3,0,2,,5,
