#,Collection,Sample_Group,Sample No. #,Sample Full #,Host genus,Host species,Host Order,Host Family,Box Location,Mite Group,Mite Genus,Mite Species,Total,Mite Group2,Mite Genus2,Mite Species2,Total2,Comment,total_mites,,,,
77,JUM,V,V476,V476,Euphonia,xanthogaster,Passeriformes,Fringillidae,,Feather,,,1,,,,,,1,,,,
78,JUM,M,M487,M487,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
79,JUM,M,M489,M489,Thamnophilus,murinus,Passeriformes,Thamnophilidae,,Mesostigmatid,,,1,,,,,,1,,,,
80,JUM,M,M491,M491,Pithys,albifrons,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
81,JUM,M,M492,M492,Pithys,albifrons,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
82,JUM,M,M494,M494,Pseudopipra,pipra,Passeriformes,Pipridae,,Feather,,,1,,,,,,1,,,,
83,JUM,M,M496,M496,Thamnophilus,murinus,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
84,JUM,M,M497,M497,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
85,JUM,M,M499,M499,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
86,JUM,M,M505,M505,Ceratopipra,erythrocephala,Passeriformes,Pipridae,,Feather,,,1,,,,,,1,,,,
87,JUM,M,M507,M507,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,6,,,,,,6,,,,
88,JUM,M,M515,M515,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,3,Mesostigmatid,,,3,,6,,,,
89,JUM,M,M516,M516,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Mesostigmatid,,,5,,,,,,5,,,,
90,JUM,M,M519,M519,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Mesostigmatid,,,1,,,,,,1,,,,
91,JUM,M,M520,M520,Ceratopipra,erythrocephala,Passeriformes,Pipridae,,Feather,,,1,,,,,,1,,,,
92,JUM,M,M527,M527,Ceratopipra,erythrocephala,Passeriformes,Pipridae,,Feather,,,1,,,,,,1,,,,
93,JUM,M,M533,M533,Xiphorhynchus,elegans,Passeriformes,Furnariidae,,Feather,,,2,,,,,,2,,,,
94,JUM,M,M537,M537,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
95,JUM,M,M539,M539,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,,Feather,,,3,,,,,,3,,,,
96,JUM,M,M540,M540,Microcerculus,marginatus,Passeriformes,Troglodytidae,,Feather,,,4,Mesostigmatid,,,1,,5,,,,
97,JUM,M,M541,M541,Malacoptila,fusca,Piciformes,Bucconidae,,Feather,,,1,,,,,,1,,,,
98,JUM,M,M542,M542,Malacoptila,fusca,Piciformes,Bucconidae,,Feather,,,5,,,,,,5,,,,
99,JUM,M,M543,M543,Microcerculus,marginatus,Passeriformes,Troglodytidae,,Feather,,,5,,,,,,5,,,,
100,JUM,M,M547,M547,Thamnophilus,murinus,Passeriformes,Thamnophilidae,,Feather,,,1,Mesostigmatid,,,1,,2,,,,
101,JUM,M,M549,M549,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
102,JUM,M,M551,M551,Frederickena,unduligera,Passeriformes,Thamnophilidae,,Feather,,,1,Mesostigmatid,,,1,,2,,,,
103,JUM,M,M560,M560,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",,Feather,,,7,,,,,,7,,,,
104,JUM,M,M561,M561,Xenops,minutus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
105,JUM,M,M564,M564,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
106,JUM,M,M565,M565,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,,Feather,,,5,,,,,,5,,,,
107,JUM,M,M571,M571,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,,Feather,,,4,,,,,,4,,,,
108,JUM,M,M578,M578,Megastictus,margaritatus,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
109,JUM,M,M579,M579,Conopophaga,peruviana,Passeriformes,Conopophagidae,,Feather,,,7,,,,,,7,,,,
110,JUM,M,M580,M580,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,,Feather,,,6,Mesostigmatid,,,2,,8,,,,
111,JUM,M,M581,M581,Turdus,albicollis,Passeriformes,Turdidae,,Feather,,,2,,,,,,2,,,,
112,JUM,M,M582,M582,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,3,Mesostigmatid,,,1,,4,,,,
113,JUM,M,M583,M583,Dendrocincla,merula,Passeriformes,"Furnariidae
",,Feather,,,10,,,,,,10,,,,
114,JUM,M,M584,M584,Dendrocincla,merula,Passeriformes,"Furnariidae
",,Feather,,,2,,,,,,2,,,,
115,JUM,M,M588,M588,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
116,JUM,M,M589,M589,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,,Mesostigmatid,,,1,,,,,,1,,,,
117,JUM,M,M590,M590,Pithys,albifrons,Passeriformes,Thamnophilidae,,Feather,,,9,,,,,,9,,,,
118,JUM,M,M593,M593,Pithys,albifrons,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
