"","species_clean","detections_flocks","NO.","Collection","Sample.label","Sample.No...","Full_Label","Powder.lvl","species_binomial","Order","Family","Lice","Mites","Ticks","Other","Host.Family","Order2","Date.of.collection","Country","Province","Locality","Altitude","mass_tidy","bill_tidy","wing_tidy","tail_tidy","wing_index_tidy","tarsus_tidy","sociality","ForStrat_ground","ForStrat_understory","ForStrat_midhigh","ForStrat_canopy","species_jetz","WJSpecID","TipLabel","PatchClade","Hackett_FineClades","Hackett_CoarseClades","English","FileName","Taxo","BLFamilyLatin","BLFamilyEnglish","FamSequID","IOCOrder","PassNonPass","OscSubOsc","foraging_cat","elevation_cat","sample"
"21","Myrmotherula axillaris",50,474,"JEJ","","P110040","P110040","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,0,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","110040"
"22","Myrmotherula axillaris",50,477,"JEJ","","P110082","P110082","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,0,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","110082"
"23","Myrmotherula axillaris",50,483,"JEJ","","P110149","P110149","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,0,1,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","110149"
"24","Myrmotherula axillaris",50,497,"JEJ","","P110337","P110337","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,0,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","110337"
"25","Myrmotherula axillaris",50,504,"JEJ","","P110387","P110387","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,0,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","110387"
"26","Myrmotherula axillaris",50,510,"JEJ","","P110391","P110391","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,0,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","110391"
"27","Myrmotherula axillaris",50,523,"JUM","","1084","1084","very low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,0,1,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","other_iquitos",NA
"28","Myrmotherula axillaris",50,531,"JEJ","","P115908","P115908","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","115908"
"29","Myrmotherula axillaris",50,532,"JEJ","","P115909","P115909","med","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","115909"
"30","Myrmotherula axillaris",50,533,"JEJ","","P115953","P115953","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","115953"
"31","Myrmotherula axillaris",50,534,"JEJ","","P115954","P115954","med","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","115954"
"32","Myrmotherula axillaris",50,632,"JEJ","P11","6078","P116078","med","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",1,1,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","116078"
"33","Myrmotherula axillaris",50,653,"JEJ","P11","6259","P116259","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",1,1,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","116259"
"34","Myrmotherula axillaris",50,709,"JEJ","P12","714","P120714","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","120714"
"35","Myrmotherula axillaris",50,723,"JEJ","P12","933","P120933","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","120933"
"36","Myrmotherula axillaris",50,738,"JEJ","P12","1262","P121262","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,1,0,"Yes",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","121262"
"37","Myrmotherula axillaris",50,744,"JEJ","P12","1773","P121773","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,0,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","121773"
"38","Myrmotherula axillaris",50,746,"JEJ","P12","1774","P121774","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,0,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","121774"
"39","Myrmotherula axillaris",50,758,"JEJ","P12","1400","P121400","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,0,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","121400"
"40","Myrmotherula axillaris",50,909,"JEJ","P13","25","P130025","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","130025"
"41","Myrmotherula axillaris",50,913,"JEJ","P13","259","P130259","low","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","130259"
