,sample,species,degree,w_degree,elevation
143,P110029,Isleria_hauxwelli,3,0.28525641,381
144,SP121046,Thripadectes_melanorhynchus,45,5.244461852,1337
145,W130253,Chlorornis_riefferii,44,6.185077763,2617
146,W120701,Pipreola_intermedia,17,2.233936974,2742
147,P110361,Ceratopipra_chloromeros,5,0.204069659,414
148,P121801,Isleria_hauxwelli,12,0.870708919,392
149,SP121337,Chlorospingus_flavigularis,83,9.494425342,1262
150,W130497,Kleinothraupis_atropileus,51,7.176187748,2788
151,SP120076,Basileuterus_tristriatus,60,7.400091448,1387
152,SP120787,Tangara_arthus,75,9.603873089,1395
153,SP121022,Trichothraupis_melanops,46,4.990517008,1337
154,W120709,Kleinothraupis_atropileus,51,7.176187748,2742
155,P120684,Tunchiornis_ochraceiceps,46,4.028430616,415
156,P121030,Leptopogon_amaurocephalus,80,7.894579349,421
157,W120781,Chlorornis_riefferii,45,6.237709342,2681
158,SP121360,Myioborus_miniatus,80,9.644690932,1449
159,P115912,Leptopogon_amaurocephalus,52,5.415284389,397
160,P110090,Pipra_fasciicauda,18,1.858844881,392
161,W130561,Arremon_torquatus,10,0.555642463,2650
162,P110172,Isleria_hauxwelli,18,1.42312775,438
163,P115958,Mionectes_oleagineus,42,3.428184251,397
164,W120877,Iridosornis_jelskii,21,2.483555611,2973
165,W120703,Anisognathus_igniventris,36,5.223060518,2742
166,SP120894,Myiothlypis_coronata,36,4.772666239,1395
167,P115956,Pipra_fasciicauda,21,2.392178214,397
168,SP110023,Tangara_arthus,75,9.61589232,1383
169,P120695,Myrmotherula_longipennis,78,7.872562556,415
170,P120921,Thamnomanes_schistogynus,94,6.734140634,438
171,P110246,Ceratopipra_chloromeros,5,0.204069659,422
172,W130826,Kleinothraupis_atropileus,51,7.176187748,2742
173,SP121081,Tangara_arthus,79,9.74769531,1302
174,SP121002,Thripadectes_melanorhynchus,44,5.119461852,1362
175,P116142,Mionectes_olivaceus,47,3.847093343,600
176,P110418,Thamnophilus_schistaceus,73,6.381980363,422
177,P115959,Mionectes_macconnelli,27,2.73166171,397
178,SP120068,Phylloscartes_ophthalmicus,55,6.245476533,1387
179,P130351,Arremon_taciturnus,18,1.583508787,415
180,P110320,Pipra_fasciicauda,24,2.589821312,410
181,P110322,Pipra_fasciicauda,24,2.589821312,410
182,P130025,Myrmotherula_axillaris,87,7.503515061,432
183,P121575,Tangara_schrankii,83,8.742056951,413
184,W130623,Sporathraupis_cyanocephala,38,4.845009457,2521
185,P115935,Xenops_minutus,30,2.400391597,397
186,P121764,Thamnomanes_schistogynus,90,6.627345917,414
187,P115964,Pipra_fasciicauda,21,2.392178214,397
188,P110243,Mionectes_olivaceus,45,3.585188581,422
189,P110222,Mionectes_oleagineus,60,4.53828808,438
190,P116058,Habia_rubica,19,2.014367205,415
191,P110076,Thamnomanes_ardesiacus,36,3.602134217,392
192,W130648,Sporathraupis_cyanocephala,38,4.845009457,2521
193,P121774,Myrmotherula_axillaris,84,7.364299375,414
194,P116014,Pipra_fasciicauda,25,2.789821312,415
195,P130332,Deconychura_longicauda,15,3.11350402,415
196,P116043,Myrmoborus_myotherinus,51,5.318256551,415
197,SP121267,Premnoplex_brunnescens,5,0.429296484,1307
198,SP120662,Leptopogon_superciliaris,77,8.96782832,1307
199,SP121098,Thripadectes_melanorhynchus,45,5.046352608,1302
200,SP120070,Diglossa_glauca,35,3.914272405,1387
201,P110338,Mionectes_oleagineus,60,4.53828808,432
202,SP110040,Chlorospingus_flavigularis,79,9.546871095,1387
203,P120916,Thamnomanes_schistogynus,94,6.734140634,438
204,P116148,Mionectes_oleagineus,58,4.552774002,600
205,SP121276,Malacoptila_fulvogularis,14,1.326906425,1307
206,P120913,Habia_rubica,19,2.014367205,438
207,P110125,Tunchiornis_ochraceiceps,27,2.378921098,397
