Full_Label,species_jetz,date,year_seasonality
P121020,Hylophilus_ochraceiceps,2012-09-03,247
P121052,Corythopis_torquatus,2012-09-04,248
P121238,Glyphorynchus_spirurus,2012-10-09,283
P121245,Glyphorynchus_spirurus,2012-10-09,283
P121250,Willisornis_poecilinotus,2012-10-10,284
P121252,Willisornis_poecilinotus,2012-10-10,284
P121255,Willisornis_poecilinotus,2012-10-10,284
P121258,Platyrinchus_platyrhynchos,2012-10-10,284
P121259,Platyrinchus_platyrhynchos,2012-10-10,284
P121262,Myrmotherula_axillaris,2012-10-10,284
P121271,Glyphorynchus_spirurus,2012-10-10,284
P121352,Thamnomanes_ardesiacus,2012-10-20,294
SP120080,Basileuterus_coronatus,2012-06-21,173
P121359,Glyphorynchus_spirurus,2012-10-20,294
P121446,Myiobius_barbatus,2012-10-27,301
P121773,Myrmotherula_axillaris,2012-12-03,338
P121448,Willisornis_poecilinotus,2012-10-27,301
P121774,Myrmotherula_axillaris,2012-12-03,338
P121457,Sclerurus_caudacutus,2012-10-31,305
SP120778,Basileuterus_coronatus,2012-08-11,224
P121797,Willisornis_poecilinotus,2012-12-06,341
P121499,Willisornis_poecilinotus,2012-11-01,306
SP120054,Basileuterus_coronatus,2012-06-25,177
SP120894,Basileuterus_coronatus,2012-09-02,246
SP121000,Basileuterus_coronatus,2012-09-24,268
P121505,Willisornis_poecilinotus,2012-11-02,307
P121511,Myiobius_barbatus,2012-11-02,307
P121367,Sclerurus_caudacutus,2012-10-20,294
P121374,Microcerculus_marginatus,2012-10-22,296
P121400,Myrmotherula_axillaris,2012-10-25,299
P121409,Myiobius_barbatus,2012-10-25,299
SP120943,Basileuterus_coronatus,2012-09-04,248
SP120911,Basileuterus_tristriatus,2012-09-02,246
P121764,Thamnomanes_schistogynus,2012-12-03,338
SP121081,Tangara_arthus,2012-10-01,275
SP130013,Chiroxiphia_boliviana,NA,NA
SP121412,Chlorochrysa_calliparaea,2012-11-22,327
SP110008,Chlorospingus_flavigularis,2011-09-05,248
SP120931,Basileuterus_tristriatus,2012-09-04,248
SP120934,Chlorospingus_flavigularis,2012-09-04,248
SP120016,Premnoplex_brunnescens,2012-06-14,166
SP120036,Chlorospingus_flavigularis,2012-06-20,172
SP120040,Chlorospingus_flavigularis,2012-06-22,174
SP110101,Chlorospingus_flavigularis,2011-09-26,269
P116211,Chlorothraupis_carmioli,2011-08-18,230
P115984,Cyphorhinus_arada,2011-08-11,223
P110318,Epinecrophylla_leucophthalma,2011-10-25,298
SP120076,Basileuterus_tristriatus,2012-06-30,182
SP120093,Leptopogon_superciliaris,2012-07-09,191
SP120101,Premnoplex_brunnescens,2012-07-10,192
SP120115,Rhynchocyclus_fulvipectus,2012-07-11,193
SP120630,Microcerculus_marginatus,2012-07-23,205
SP120636,Premnoplex_brunnescens,2012-07-23,205
SP120638,Premnoplex_brunnescens,2012-07-23,205
SP120658,Premnoplex_brunnescens,2012-07-24,206
SP120662,Leptopogon_superciliaris,2012-07-24,206
SP120666,Tangara_arthus,2012-07-24,206
SP120669,Premnoplex_brunnescens,2012-07-25,207
