species_taxonomy_SACC_2021,deg_numeric,deg_weighted,species.x,species_jetz,TipLabel.x
Dendroma_erythroptera,21,3.301011406,Philydor erythropterum,Philydor_erythropterum,Philydor_erythropterum
Dendroplex_picus,16,4.11350402,Xyphorinchus picus,Dendroplex_picus,Dendroplex_picus
Diglossa_brunneiventris,9,0.588850915,Diglossa brunneiventris,Diglossa_brunneiventris,Diglossa_brunneiventris
Diglossa_caerulescens,12,1.577431157,Diglossa caerulescens,Diglossa_caerulescens,Diglossa_caerulescens
Diglossa_cyanea,67,7.48902072,Diglossa cyanea,Diglossa_cyanea,Diglossa_cyanea
Diglossa_glauca,41,4.780878022,Diglossa glauca,Diglossa_glauca,Diglossa_glauca
Diglossa_mystacalis,8,1.586111111,Diglossa mystacalis,Diglossa_mystacalis,Diglossa_mystacalis
Diglossa_sittoides,35,5.001338306,Diglossa sittoides,Diglossa_sittoides,Diglossa_sittoides
Drymophila_devillei,30,2.633323243,Drymophila devillei,Drymophila_devillei,Drymophila_devillei
Drymotoxeres_pucheranii,17,3.633556901,Drymotoxeres pucheranii,Campylorhamphus_pucherani,Campylorhamphus_pucherani
Dryobates_nigriceps,24,3.502112138,Veniliornis nigriceps,Veniliornis_nigriceps,Veniliornis_nigriceps
Dubusia_castaneoventris,16,1.595787778,Delothraupis castaneoventris,Delothraupis_castaneoventris,Delothraupis_castaneoventris
Dysithamnus_mentalis,10,0.530558282,Dysithamnus mentalis,Dysithamnus_mentalis,Dysithamnus_mentalis
Elaenia_albiceps,28,2.750682879,Elaenia albiceps,Elaenia_albiceps,Elaenia_albiceps
Elaenia_gigas,18,1.976298807,Elaenia gigas,Elaenia_gigas,Elaenia_gigas
Elaenia_obscura,15,1.400655197,Elaenia obscura,Elaenia_obscura,Elaenia_obscura
Elaenia_pallatangae,81,7.246185819,Elaenia pallatangae,Elaenia_pallatangae,Elaenia_pallatangae
Elaenia_parvirostris,5,0.187352134,Elaenia parvirostris,Elaenia_parvirostris,Elaenia_parvirostris
Entomodestes_leucotis,52,5.082983473,Entomodestes leucotis,Entomodestes_leucotis,Entomodestes_leucotis
Epinecrophylla_erythrura,64,5.838193593,Myrmotherula erythrura,Epinecrophylla_erythrura,Epinecrophylla_erythrura
Epinecrophylla_leucophthalma,54,5.323434718,Epinecrophylla leucophthalma,Epinecrophylla_leucophthalma,Epinecrophylla_leucophthalma
Epinecrophylla_ornata,14,1.194794204,Epinecrophylla ornata,Epinecrophylla_ornata,Epinecrophylla_ornata
Eubucco_richardsoni,33,4.393010223,Eubucco richardsoni,Eubucco_richardsoni,Eubucco_richardsoni
Eubucco_tucinkae,49,6.89356714,Eubucco tucinkae,Eubucco_tucinkae,Eubucco_tucinkae
Eubucco_versicolor,62,7.557584082,Eubucco versicolor,Eubucco_versicolor,Eubucco_versicolor
Euphonia_mesochrysa,48,5.061631232,Euphonia mesochrysa,Euphonia_mesochrysa,Euphonia_mesochrysa
Euphonia_rufiventris,36,3.905353752,Euphonia rufiventris,Euphonia_rufiventris,Euphonia_rufiventris
Euphonia_xanthogaster,110,8.935766985,Euphonia xanthogaster,Euphonia_xanthogaster,Euphonia_xanthogaster
Galbula_cyanescens,18,1.936167346,Galbula cyanescens,Galbula_cyanescens,Galbula_cyanescens
Glyphorynchus_spirurus,106,8.887999604,Glyphorynchus spirurus,Glyphorynchus_spirurus,Glyphorynchus_spirurus
Gymnoderus_foetidus,19,5.485963665,Gymnoderus foetidus,Gymnoderus_foetidus,Gymnoderus_foetidus
