,species_jetz,sample,Sample_label,Sample_No,Full_Label,species_clean,species_binomial,family,sociality,elevation_cat,foraging_cat,Powder.lvl,ectoparasites_PA,general_diversity,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x,ectoparasite_code,species.x,species_taxonomy_SACC_2021,elevation_midpoint,elevation_all_years,elevation,Species_parameters,Station,day,month,year,full_date,date_status,date,year_seasonality,mass_ind_tidy,note_mass,mass_tidy_species,mass_ind_comp,species.y,degree,w_degree,degree_species,w_degree_species,elevation.y
35,Arremon_torquatus,120645,W12,645,W120645,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,low,1,1,0,1,0,0,0,0,0,0,2,0,0,Arremon_torquatus,9_10_2012_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2742,3013,3013,Arremon torquatus,wayqecha,9,10,2012,2012-10-09,NA,2012-10-09,283,39.06,NA,42.28636364,-3.22636364,Arremon_torquatus,10,0.555642463,10,0.555642463,3013
36,Arremon_torquatus,130560,W13,560,W130560,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,low,1,2,1,1,0,3,1,1,1,0,2,0,0,Arremon_torquatus,31_10_2013_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2742,2650,2650,Arremon torquatus,wayqecha,31,10,2013,2013-10-31,NA,2013-10-31,304,41.13,NA,42.28636364,-1.15636364,Arremon_torquatus,10,0.555642463,10,0.555642463,2650
37,Arremon_torquatus,130561,W13,561,W130561,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,low,1,1,0,1,0,0,0,0,0,0,38,0,1,Arremon_torquatus,31_10_2013_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2742,2650,2650,Arremon torquatus,wayqecha,31,10,2013,2013-10-31,NA,2013-10-31,304,41.43,NA,42.28636364,-0.85636364,Arremon_torquatus,10,0.555642463,10,0.555642463,2650
38,Arremon_torquatus,130377,W13,377,W130377,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,med,1,2,1,1,0,5,2,2,1,0,85,0,0,Arremon_torquatus,28_9_2013_wayqecha_Arremon torquatus,NA,Arremon_torquatus,2742,NA,2742,Arremon torquatus,wayqecha,28,9,2013,2013-09-28,NA,2013-09-28,271,41.91,NA,42.28636364,-0.37636364,Arremon_torquatus,10,0.555642463,10,0.555642463,2742
39,Arremon_torquatus,130298,W13,298,W130298,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,med,1,2,1,1,0,1,0,0,1,0,6,0,0,Arremon_torquatus,18_9_2013_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2742,2788,2788,Arremon torquatus,wayqecha,18,9,2013,2013-09-18,NA,2013-09-18,261,41.95,NA,42.28636364,-0.33636364,Arremon_torquatus,10,0.555642463,10,0.555642463,2788
40,Arremon_torquatus,130118,W13,118,W130118,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,low,1,1,1,0,0,1,0,1,0,0,0,0,0,NA,29_8_2013_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2742,2650,2650,Arremon torquatus,wayqecha,29,8,2013,2013-08-29,NA,2013-08-29,241,42.28636364,raw data have NA so I used the average for the species ,42.28636364,0,Arremon_torquatus,10,0.555642463,10,0.555642463,2650
41,Arremon_torquatus,130572,W13,572,W130572,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,low,1,2,1,1,0,1,0,1,0,0,22,0,1,Arremon_torquatus,2_11_2013_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2742,2650,2650,Arremon torquatus,wayqecha,2,11,2013,2013-11-02,NA,2013-11-02,306,42.62,NA,42.28636364,0.33363636,Arremon_torquatus,10,0.555642463,10,0.555642463,2650
42,Arremon_torquatus,121048,W12,1048,W121048,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,high,1,2,1,1,0,39,15,10,14,0,81,0,0,Arremon_torquatus,21_11_2012_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2742,2650,2650,Arremon torquatus,wayqecha,21,11,2012,2012-11-21,NA,2012-11-21,326,43.6,NA,42.28636364,1.31363636,Arremon_torquatus,10,0.555642463,10,0.555642463,2650
43,Arremon_torquatus,121047,W12,1047,W121047,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,low,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,21_11_2012_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2742,2650,2650,Arremon torquatus,wayqecha,21,11,2012,2012-11-21,NA,2012-11-21,326,44.53,NA,42.28636364,2.24363636,Arremon_torquatus,10,0.555642463,10,0.555642463,2650
44,Arremon_torquatus,130349,W13,349,W130349,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,low,1,2,1,1,0,1,0,1,0,0,14,0,0,Arremon_torquatus,25_9_2013_wayqecha_Atlapetes melanolaemus,Atlapetes melanolaemus,Atlapetes_melanolaemus,2742,2681,2681,Atlapetes melanolaemus,wayqecha,28,9,2013,2013-09-28,NA,2013-09-28,271,41.91,NA,42.28636364,-0.37636364,Atlapetes_melanolaemus,44,5.005543452,10,0.555642463,2681
