,sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,general_diversity,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x,x,ectoparasite_code,species,species_taxonomy_SACC_2021,elevation_all_years,net_elevation,elevation,elevation_midpoint.1,Species_parameters,Station,X,day,month,year,full_date,date_status,date,year_seasonality,mass_individual_day,mass_ind_count,
623,115999,P11,5999,P115999,Anabazenops_dorsalis,Anabazenops dorsalis,Anabazenops_dorsalis,Furnariidae,1,34.91,lowland_manu,midhigh,low,827.5,1,2,1,1,0,1,1,0,0,0,2,0,0,Anabazenops_dorsalis,50,11_8_2011_pantiacolla_Anabazenops dorsalis,Anabazenops dorsalis,Anabazenops_dorsalis,397,NA,397,827.5,Anabazenops dorsalis,pantiacolla,NA,11,8,2011,2011-08-11,NA,2011-08-11,223,39.88,1,
828,120616,P12,616,P120616,Ancistrops_strigilatus,Ancistrops strigilatus,Ancistrops_strigilatus,Furnariidae,1,33.46333333,lowland_manu,ground-understory,low,476.5,1,1,0,1,0,3,2,1,0,0,8,0,0,Ancistrops_strigilatus,1055,24_6_2012_pantiacolla_Ancistrops strigilatus,Ancistrops strigilatus,Ancistrops_strigilatus,438,NA,438,476.5,Ancistrops strigilatus,pantiacolla,NA,24,6,2012,2012-06-24,NA,2012-06-24,176,34.2,1,
831,121028,P12,1028,P121028,Ancistrops_strigilatus,Ancistrops strigilatus,Ancistrops_strigilatus,Furnariidae,1,33.46333333,lowland_manu,ground-understory,high,476.5,1,1,0,1,0,0,0,0,0,0,4,0,0,Ancistrops_strigilatus,1220,3_9_2012_pantiacolla_Ancistrops strigilatus,Ancistrops strigilatus,Ancistrops_strigilatus,421,NA,421,476.5,Ancistrops strigilatus,pantiacolla,NA,3,9,2012,2012-09-03,NA,2012-09-03,247,36.15,1,
326,120249,W12,249,W120249,Anisognathus_igniventris,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,34.8345,high_montane_manu,midhigh,low,2932,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2743,24_7_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,NA,NA,NA,2932,Anisognathus igniventris,wayqecha,NA,24,7,2012,2012-07-24,NA,2012-07-24,206,30.05,1,
10,120284,W12,284,W120284,Anisognathus_igniventris,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,34.8345,high_montane_manu,midhigh,low,2932,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4840,NA_8_2012_wayqecha_Anisognathus igniventris,NA,Anisognathus_igniventris,NA,NA,NA,2932,Anisognathus igniventris,wayqecha,NA,27,8,2012,2012-08-27,check date,2012-08-27,240,NA,NA,
17,120318,W12,318,W120318,Anisognathus_igniventris,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,34.8345,high_montane_manu,midhigh,low,2932,1,1,0,1,0,0,0,0,0,0,9,0,0,Anisognathus_igniventris,4864,NA_8_2012_wayqecha_Anisognathus igniventris,NA,Anisognathus_igniventris,NA,NA,NA,2932,Anisognathus igniventris,wayqecha,NA,27,8,2012,2012-08-27,check date,2012-08-27,240,NA,NA,
18,120319,W12,319,W120319,Anisognathus_igniventris,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,34.8345,high_montane_manu,midhigh,low,2932,1,1,0,1,0,0,0,0,0,0,1,0,0,Anisognathus_igniventris,4865,NA_8_2012_wayqecha_Anisognathus igniventris,NA,Anisognathus_igniventris,NA,NA,NA,2932,Anisognathus igniventris,wayqecha,NA,27,8,2012,2012-08-27,check date,2012-08-27,240,NA,NA,
26,120330,W12,330,W120330,Anisognathus_igniventris,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,34.8345,high_montane_manu,midhigh,med,2932,1,1,1,0,0,2,0,0,2,0,0,0,0,NA,4872,NA_8_2012_wayqecha_Anisognathus igniventris,NA,Anisognathus_igniventris,NA,NA,NA,2932,Anisognathus igniventris,wayqecha,NA,27,8,2012,2012-08-27,check date,2012-08-27,240,NA,NA,
336,120436,W12,436,W120436,Anisognathus_igniventris,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,34.8345,high_montane_manu,midhigh,low,2932,1,1,0,1,0,0,0,0,0,0,1,0,0,Anisognathus_igniventris,2382,1_9_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2816,NA,2816,2932,Anisognathus igniventris,wayqecha,NA,1,9,2012,2012-09-01,NA,2012-09-01,245,32.37,1,
337,120445,W12,445,W120445,Anisognathus_igniventris,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,34.8345,high_montane_manu,midhigh,med,2932,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2387,2_9_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2816,NA,2816,2932,Anisognathus igniventris,wayqecha,NA,2,9,2012,2012-09-02,NA,2012-09-02,246,34.69,1,
