,sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,general_diversity,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x,x,ectoparasite_code,species,species_taxonomy_SACC_2021,elevation_all_years,net_elevation,elevation,elevation_midpoint.1,Species_parameters,Station,X,day,month,year,full_date,date_status,date,year_seasonality,mass_individual_day,mass_ind_count,
450,130677,W13,677,W130677,Chlorornis_riefferii,Chlorornis riefferii,Chlorornis_riefferii,Thraupidae,1,48.93459016,high_montane_manu,midhigh,med,2728,1,2,1,1,0,11,2,7,2,0,191,0,0,Chlorornis_riefferii,3878,12_11_2013_wayqecha_Chlorornis riefferii,Chlorornis riefferii,Chlorornis_riefferii,2617,NA,2617,2728,Chlorornis riefferii,wayqecha,NA,12,11,2013,2013-11-12,NA,2013-11-12,316,47.78,1,
451,130700,W13,700,W130700,Chlorornis_riefferii,Chlorornis riefferii,Chlorornis_riefferii,Thraupidae,1,48.93459016,high_montane_manu,midhigh,med,2728,1,2,1,1,0,6,2,2,1,0,27,0,0,Chlorornis_riefferii,3885,13_11_2013_wayqecha_Chlorornis riefferii,Chlorornis riefferii,Chlorornis_riefferii,2617,NA,2617,2728,Chlorornis riefferii,wayqecha,NA,13,11,2013,2013-11-13,NA,2013-11-13,317,NA,NA,
243,110008,SP11,8,SP110008,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,med,1362,1,2,1,1,0,54,11,7,25,0,4,0,0,Chlorospingus_flavigularis,4244,5_9_2011_san_pedro_Chlorospingus flavigularis,NA,Chlorospingus_flavigularis,NA,NA,NA,1362,Chlorospingus flavigularis,san_pedro,NA,5,9,2011,2011-09-05,NA,2011-09-05,248,NA,NA,
151,110013,SP11,13,SP110013,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,1,1,0,0,13,0,7,3,0,0,0,0,NA,1008,6_9_2011_san_pedro_Chlorospingus flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,1383,NA,1383,1362,Chlorospingus flavigularis,san_pedro,NA,6,9,2011,2011-09-06,NA,2011-09-06,249,28,1,
154,110040,SP11,40,SP110040,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,2,1,1,0,1,0,0,1,0,1,0,0,Chlorospingus_flavigularis,932,16_9_2011_san_pedro_Chlorospingus flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,1387,NA,1387,1362,Chlorospingus flavigularis,san_pedro,NA,16,9,2011,2011-09-16,NA,2011-09-16,259,8.67,1,
157,110066,SP11,66,SP110066,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,2,1,1,0,2,0,0,2,0,1,0,0,Chlorospingus_flavigularis,739,21_9_2011_san_pedro_Chlorospingus flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,1376,NA,1376,1362,Chlorospingus flavigularis,san_pedro,NA,21,9,2011,2011-09-21,NA,2011-09-21,264,22.405,2,
158,110070,SP11,70,SP110070,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,2,1,1,0,6,1,2,3,0,5,0,0,Chlorospingus_flavigularis,740,21_9_2011_san_pedro_Chlorospingus flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,1376,NA,1376,1362,Chlorospingus flavigularis,san_pedro,NA,21,9,2011,2011-09-21,NA,2011-09-21,264,22.405,2,
249,110101,SP11,101,SP110101,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,1,0,1,0,0,0,0,0,0,11,0,0,Chlorospingus_flavigularis,4252,26_9_2011_san_pedro_Chlorospingus flavigularis,NA,Chlorospingus_flavigularis,NA,NA,1387,1362,Chlorospingus flavigularis,san_pedro,NA,26,9,2011,2011-09-26,NA,2011-09-26,269,NA,NA,
175,110120,SP11,120,SP110120,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,med,1362,1,2,1,1,0,8,2,2,4,0,9,0,0,Chlorospingus_flavigularis,943,29_9_2011_san_pedro_Chlorospingus flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,1387,NA,1387,1362,Chlorospingus flavigularis,san_pedro,NA,29,9,2011,2011-09-29,NA,2011-09-29,272,26.42,1,
247,120036,SP12,36,SP120036,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,1,1,0,0,6,2,2,2,0,0,0,0,NA,2219,20_6_2012_san_pedro_Chlorospingus flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,1387,NA,1387,1362,Chlorospingus flavigularis,san_pedro,NA,20,6,2012,2012-06-20,NA,2012-06-20,172,NA,NA,
248,120040,SP12,40,SP120040,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,2,1,1,0,4,0,4,0,0,1,0,0,Chlorospingus_flavigularis,2221,22_6_2012_san_pedro_Chlorospingus flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,1387,NA,1387,1362,Chlorospingus flavigularis,san_pedro,NA,22,6,2012,2012-06-22,NA,2012-06-22,174,26.9,1,
268,120792,SP12,792,SP120792,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,2,1,1,0,1,0,0,1,0,1,0,0,Chlorospingus_flavigularis,1909,13_8_2012_san_pedro_Chlorospingus flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,1362,NA,1362,1362,Chlorospingus flavigularis,san_pedro,NA,13,8,2012,2012-08-13,NA,2012-08-13,226,26.425,2,
272,120880,SP12,880,SP120880,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1673,30_8_2012_san_pedro_Chlorospingus flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,1376,NA,1376,1362,Chlorospingus flavigularis,san_pedro,NA,30,8,2012,2012-08-30,NA,2012-08-30,243,25.7,1,
273,120885,SP12,885,SP120885,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,1,1,0,0,25,12,9,4,0,0,0,0,NA,1696,2_9_2012_san_pedro_Chlorospingus flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,1395,NA,1395,1362,Chlorospingus flavigularis,san_pedro,NA,2,9,2012,2012-09-02,NA,2012-09-02,246,29.35,1,
245,120934,SP12,934,SP120934,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,2,1,1,0,4,1,2,1,0,5,0,0,Chlorospingus_flavigularis,1707,4_9_2012_san_pedro_Chlorospingus flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,1395,NA,1395,1362,Chlorospingus flavigularis,san_pedro,NA,4,9,2012,2012-09-04,NA,2012-09-04,248,25.96666667,3,
276,120938,SP12,938,SP120938,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,2,1,1,0,10,2,1,7,0,15,0,0,Chlorospingus_flavigularis,1708,4_9_2012_san_pedro_Chlorospingus flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,1395,NA,1395,1362,Chlorospingus flavigularis,san_pedro,NA,4,9,2012,2012-09-04,NA,2012-09-04,248,25.96666667,3,
277,120993,SP12,993,SP120993,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,2,1,1,0,7,5,0,2,0,2,0,0,Chlorospingus_flavigularis,1923,23_9_2012_san_pedro_Chlorospingus flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,1362,NA,1362,1362,Chlorospingus flavigularis,san_pedro,NA,23,9,2012,2012-09-23,NA,2012-09-23,267,27.1,2,
297,121337,SP12,1337,SP121337,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,1,0,1,0,0,0,0,0,0,1,0,0,Chlorospingus_flavigularis,2205,11_11_2012_san_pedro_Chlorospingus flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,1262,NA,1262,1362,Chlorospingus flavigularis,san_pedro,NA,11,11,2012,2012-11-11,NA,2012-11-11,316,25.05,1,
167,110108,SP11,108,SP110108,Chlorospingus_ophthalmicus,Chlorospingus flavopectus,Chlorospingus_opthalmicus,Thraupidae,1,21.97914286,montane_manu,other,low,1821,1,2,1,1,0,2,0,1,0,0,69,0,0,Chlorospingus_opthalmicus,775,27_9_2011_san_pedro_Chlorospingus ophthalmicus,Chlorospingus ophthalmicus,Chlorospingus_flavopectus,1395,NA,1395,1821,Chlorospingus ophthalmicus,san_pedro,NA,27,9,2011,2011-09-27,NA,2011-09-27,270,24.8,1,
305,120016,TL12,16,TL120016,Chlorospingus_ophthalmicus,Chlorospingus flavopectus,Chlorospingus_ophthalmicus,Thraupidae,1,21.97914286,montane_manu,other,low,1821,1,2,1,1,0,6,0,3,3,0,21,0,0,Chlorospingus_ophthalmicus,1731,28_10_2012_san_pedro_Chlorospingus ophthalmicus,Chlorospingus ophthalmicus,Chlorospingus_flavopectus,1514,NA,1514,1821,Chlorospingus ophthalmicus,san_pedro,NA,28,10,2012,2012-10-28,NA,2012-10-28,302,17.4,1,
307,120033,TL12,33,TL120033,Chlorospingus_ophthalmicus,Chlorospingus flavopectus,Chlorospingus_ophthalmicus,Thraupidae,1,21.97914286,montane_manu,other,low,1821,1,2,1,1,0,11,2,1,0,0,59,0,1,Chlorospingus_ophthalmicus,1732,28_10_2012_san_pedro_Chlorospingus ophthalmicus,Chlorospingus ophthalmicus,Chlorospingus_flavopectus,1514,NA,1514,1821,Chlorospingus ophthalmicus,san_pedro,NA,28,10,2012,2012-10-28,NA,2012-10-28,302,22.5925,4,
308,120034,TL12,34,TL120034,Chlorospingus_ophthalmicus,Chlorospingus flavopectus,Chlorospingus_ophthalmicus,Thraupidae,1,21.97914286,montane_manu,other,low,1821,1,2,1,1,0,2,1,1,0,0,2,0,1,Chlorospingus_ophthalmicus,1733,28_10_2012_san_pedro_Chlorospingus ophthalmicus,Chlorospingus ophthalmicus,Chlorospingus_flavopectus,1514,NA,1514,1821,Chlorospingus ophthalmicus,san_pedro,NA,28,10,2012,2012-10-28,NA,2012-10-28,302,22.5925,4,
312,120058,TL12,58,TL120058,Chlorospingus_ophthalmicus,Chlorospingus flavopectus,Chlorospingus_ophthalmicus,Thraupidae,1,21.97914286,montane_manu,other,low,1821,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1761,29_10_2012_san_pedro_Chlorospingus ophthalmicus,Chlorospingus ophthalmicus,Chlorospingus_flavopectus,1514,NA,1514,1821,Chlorospingus ophthalmicus,san_pedro,NA,29,10,2012,2012-10-29,NA,2012-10-29,303,19.45,1,
121,116204,P11,6204,P116204,Chlorothraupis_carmioli,Chlorothraupis carmioli,Chlorothraupis_carmioli,Cardinalidae,1,37.5053125,lowland_manu,other,low,600,1,2,1,1,0,1,0,1,0,0,21,0,0,Chlorothraupis_carmioli,196,19_8_2011_pantiacolla_Chlorothraupis carmioli,Chlorothraupis carmioli,Chlorothraupis_carmioli,600,NA,600,600,Chlorothraupis carmioli,pantiacolla,NA,19,8,2011,2011-08-19,NA,2011-08-19,231,38.64,4,
122,116210,P11,6210,P116210,Chlorothraupis_carmioli,Chlorothraupis carmioli,Chlorothraupis_carmioli,Cardinalidae,1,37.5053125,lowland_manu,other,low,600,1,2,1,1,0,8,2,3,3,0,11,0,0,Chlorothraupis_carmioli,197,19_8_2011_pantiacolla_Chlorothraupis carmioli,Chlorothraupis carmioli,Chlorothraupis_carmioli,600,NA,600,600,Chlorothraupis carmioli,pantiacolla,NA,19,8,2011,2011-08-19,NA,2011-08-19,231,38.64,4,
250,116211,P11,6211,P116211,Chlorothraupis_carmioli,Chlorothraupis carmioli,Chlorothraupis_carmioli,Cardinalidae,1,37.5053125,lowland_manu,other,high,600,1,2,1,1,0,1,1,0,0,0,64,0,0,Chlorothraupis_carmioli,4223,18_20_8_2011_pantiacolla_Chlorothraupis carmioli,NA,Chlorothraupis_carmioli,NA,NA,NA,600,Chlorothraupis carmioli,pantiacolla,NA,18,8,2011,2011-08-18,check date,2011-08-18,230,NA,NA,
124,116213,P11,6213,P116213,Chlorothraupis_carmioli,Chlorothraupis carmioli,Chlorothraupis_carmioli,Cardinalidae,1,37.5053125,lowland_manu,other,med,600,1,2,1,1,0,13,1,5,7,0,75,0,0,Chlorothraupis_carmioli,198,19_8_2011_pantiacolla_Chlorothraupis carmioli,Chlorothraupis carmioli,Chlorothraupis_carmioli,600,NA,600,600,Chlorothraupis carmioli,pantiacolla,NA,19,8,2011,2011-08-19,NA,2011-08-19,231,38.64,4,
379,130133,P13,133,P130133,Chlorothraupis_carmioli,Chlorothraupis carmioli,Chlorothraupis_carmioli,Cardinalidae,1,37.5053125,lowland_manu,other,low,600,1,1,1,0,0,1,1,0,0,0,0,0,0,NA,2943,3_9_2013_pantiacolla_Chlorothraupis carmioli,Chlorothraupis carmioli,Chlorothraupis_carmioli,385,NA,385,600,Chlorothraupis carmioli,pantiacolla,NA,3,9,2013,2013-09-03,NA,2013-09-03,246,51.3,1,
406,130628,P13,628,P130628,Chlorothraupis_carmioli,Chlorothraupis carmioli,Chlorothraupis_carmioli,Cardinalidae,1,37.5053125,lowland_manu,other,low,600,1,1,1,0,0,1,0,0,1,0,0,0,0,NA,3158,3_10_2013_pantiacolla_Chlorothraupis carmioli,Chlorothraupis carmioli,Chlorothraupis_carmioli,600,NA,600,600,Chlorothraupis carmioli,pantiacolla,NA,3,10,2013,2013-10-03,NA,2013-10-03,276,40.475,2,
647,116082,P11,6082,P116082,Conopophaga_peruviana,Conopophaga peruviana,Conopophaga_peruviana,Conopophagidae,1,24.6675,lowland_manu,ground,low,415.5,1,2,1,1,0,9,5,1,3,0,58,0,0,Conopophaga_peruviana,123,15_8_2011_pantiacolla_Conopophaga peruviana,Conopophaga peruviana,Conopophaga_peruviana,415,NA,415,415.5,Conopophaga peruviana,pantiacolla,NA,15,8,2011,2011-08-15,NA,2011-08-15,227,23.415,2,
21,110140,NA,P110140,P110140,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,1,1,0,1,0,0,0,0,0,0,3,3,3,Corythopis_torquatus,526,10_10_2011_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis_torquatus,413,NA,413,419,Corythopis torquatus,pantiacolla,NA,10,10,2011,2011-10-10,NA,2011-10-10,283,17.025,2,
23,110154,NA,P110154,P110154,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,527,10_10_2011_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis_torquatus,413,NA,413,419,Corythopis torquatus,pantiacolla,NA,10,10,2011,2011-10-10,NA,2011-10-10,283,17.025,2,
29,110216,NA,P110216,P110216,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,med,419,1,1,0,1,0,0,0,0,0,0,2,0,0,Corythopis_torquatus,571,15_10_2011_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis_torquatus,438,NA,438,419,Corythopis torquatus,pantiacolla,NA,15,10,2011,2011-10-15,NA,2011-10-15,288,16.73,1,
131,116260,P11,6260,P116260,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,1,1,0,1,0,0,0,0,0,0,148,0,0,Corythopis_torquatus,237,20_8_2011_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis_torquatus,600,NA,600,419,Corythopis torquatus,pantiacolla,NA,20,8,2011,2011-08-20,NA,2011-08-20,232,17.4,1,
145,116411,P11,6411,P116411,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,med,419,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,356,2_9_2011_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis_torquatus,385,NA,385,419,Corythopis torquatus,pantiacolla,NA,2,9,2011,2011-09-02,NA,2011-09-02,245,15.04,1,
187,120739,P12,739,P120739,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1115,2_7_2012_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis_torquatus,NA,NA,NA,419,Corythopis torquatus,pantiacolla,NA,2,7,2012,2012-07-02,NA,2012-07-02,184,17.13333333,3,
181,120742,P12,742,P120742,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1116,2_7_2012_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis_torquatus,NA,NA,NA,419,Corythopis torquatus,pantiacolla,NA,2,7,2012,2012-07-02,NA,2012-07-02,184,17.13333333,3,
190,120805,P12,805,P120805,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1144,23_7_2012_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis_torquatus,NA,NA,NA,419,Corythopis torquatus,pantiacolla,NA,23,7,2012,2012-07-23,NA,2012-07-23,205,18.45,1,
207,121052,P12,1052,P121052,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,1,1,0,1,0,0,0,0,0,0,63,0,0,Corythopis_torquatus,1236,4_9_2012_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis_torquatus,421,NA,421,419,Corythopis torquatus,pantiacolla,NA,4,9,2012,2012-09-04,NA,2012-09-04,248,16.95,2,
386,130300,P13,300,P130300,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,1,1,1,0,0,2,0,1,1,0,0,0,0,NA,3026,14_9_2013_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis_torquatus,415,NA,415,419,Corythopis torquatus,pantiacolla,NA,14,9,2013,2013-09-14,NA,2013-09-14,257,17.29333333,3,
396,130301,P13,301,P130301,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,1,1,0,1,0,0,0,0,0,0,15,0,0,Corythopis_torquatus,3027,14_9_2013_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis_torquatus,415,NA,415,419,Corythopis torquatus,pantiacolla,NA,14,9,2013,2013-09-14,NA,2013-09-14,257,17.29333333,3,
397,130303,P13,303,P130303,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,1,2,1,1,0,1,0,1,0,0,2,0,0,Corythopis_torquatus,3028,14_9_2013_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis_torquatus,415,NA,415,419,Corythopis torquatus,pantiacolla,NA,14,9,2013,2013-09-14,NA,2013-09-14,257,17.29333333,3,
398,130328,P13,328,P130328,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,1,2,1,1,0,1,1,0,0,0,67,0,0,Corythopis_torquatus,3029,14_9_2013_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis_torquatus,415,NA,415,419,Corythopis torquatus,pantiacolla,NA,14,9,2013,2013-09-14,NA,2013-09-14,257,17.29333333,3,
399,130330,P13,330,P130330,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,1,1,0,1,0,0,0,0,0,0,1,0,0,Corythopis_torquatus,3033,16_9_2013_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis_torquatus,415,NA,415,419,Corythopis torquatus,pantiacolla,NA,16,9,2013,2013-09-16,NA,2013-09-16,259,54.15,1,
852,121313,SP12,1313,SP121313,Cyanerpes_caeruleus,Cyanerpes caeruleus,Cyanerpes_caeruleus,Thraupidae,1,12.668,montane_manu,canopy,low,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2184,10_11_2012_san_pedro_Cyanerpes caeruleus,Cyanerpes caeruleus,Cyanerpes_caeruleus,1262,NA,1262,1124,Cyanerpes caeruleus,san_pedro,NA,10,11,2012,2012-11-10,NA,2012-11-10,315,13.4,1,
853,121331,SP12,1331,SP121331,Cyanerpes_caeruleus,Cyanerpes caeruleus,Cyanerpes_caeruleus,Thraupidae,1,12.668,montane_manu,canopy,low,1124,1,1,0,1,0,0,0,0,0,0,3,0,0,Cyanerpes_caeruleus,2203,11_11_2012_san_pedro_Cyanerpes caeruleus,Cyanerpes caeruleus,Cyanerpes_caeruleus,1262,NA,1262,1124,Cyanerpes caeruleus,san_pedro,NA,11,11,2012,2012-11-11,NA,2012-11-11,316,13.4,1,
588,110405,P11,405,P110405,Cyanocompsa_cyanoides,Cyanoloxia cyanoides,Cyanoloxia_cyanoides,Cardinalidae,1,26.23404255,lowland_manu,ground,med,423.5,1,1,0,1,0,0,0,0,0,0,59,0,0,Cyanocompsa_cyanoides,659,3_11_2011_pantiacolla_Cyanocompsa cyanoides,Cyanocompsa cyanoides,Cyanoloxia_cyanoides,414,NA,414,423.5,Cyanocompsa cyanoides,pantiacolla,NA,3,11,2011,2011-11-03,NA,2011-11-03,307,26.56,1,
599,115910,P11,5910,P115910,Cyanocompsa_cyanoides,Cyanoloxia cyanoides,Cyanoloxia_cyanoides,Cardinalidae,1,26.23404255,lowland_manu,ground,high,423.5,1,1,0,1,0,0,0,0,0,0,278,0,1,Cyanocompsa_cyanoides,14,9_8_2011_pantiacolla_Cyanocompsa cyanoides,Cyanocompsa cyanoides,Cyanoloxia_cyanoides,397,NA,397,423.5,Cyanocompsa cyanoides,pantiacolla,NA,9,8,2011,2011-08-09,NA,2011-08-09,221,20.52666667,3,
824,116443,P11,6443,P116443,Cyanocompsa_cyanoides,Cyanoloxia cyanoides,Cyanoloxia_cyanoides,Cardinalidae,1,26.23404255,lowland_manu,ground,low,423.5,1,1,1,0,0,1,-,-,-,0,0,0,0,NA,387,4_9_2011_pantiacolla_Cyanocompsa cyanoides,Cyanocompsa cyanoides,Cyanoloxia_cyanoides,397,NA,397,423.5,Cyanocompsa cyanoides,pantiacolla,NA,4,9,2011,2011-09-04,NA,2011-09-04,247,NA,NA,
832,121441,P12,1441,P121441,Cyanocompsa_cyanoides,Cyanoloxia cyanoides,Cyanoloxia_cyanoides,Cardinalidae,1,26.23404255,lowland_manu,ground,low,423.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1399,27_10_2012_pantiacolla_Cyanocompsa cyanoides,Cyanocompsa cyanoides,Cyanoloxia_cyanoides,385,NA,385,423.5,Cyanocompsa cyanoides,pantiacolla,NA,27,10,2012,2012-10-27,NA,2012-10-27,301,26.11,1,
833,130185,P13,185,P130185,Cyanocompsa_cyanoides,Cyanoloxia cyanoides,Cyanoloxia_cyanoides,Cardinalidae,1,26.23404255,lowland_manu,ground,low,423.5,1,2,1,1,0,2,0,1,1,0,16,0,0,Cyanoloxia_cyanoides,2973,6_9_2013_pantiacolla_Cyanocompsa cyanoides,Cyanocompsa cyanoides,Cyanoloxia_cyanoides,398,NA,398,423.5,Cyanocompsa cyanoides,pantiacolla,NA,6,9,2013,2013-09-06,NA,2013-09-06,249,27.7,1,
834,130219,P13,219,P130219,Cyanocompsa_cyanoides,Cyanoloxia cyanoides,Cyanoloxia_cyanoides,Cardinalidae,1,26.23404255,lowland_manu,ground,low,423.5,1,2,1,1,0,1,1,0,0,0,3,0,0,Cyanoloxia_cyanoides,2982,7_9_2013_pantiacolla_Cyanocompsa cyanoides,Cyanocompsa cyanoides,Cyanoloxia_cyanoides,398,NA,398,423.5,Cyanocompsa cyanoides,pantiacolla,NA,7,9,2013,2013-09-07,NA,2013-09-07,250,NA,NA,
830,120844A,P12,0844A,P120844A,Cyanocompsa_cyanoides,Cyanoloxia cyanoides,Cyanoloxia_cyanoides,Cardinalidae,1,26.23404255,lowland_manu,ground,med,423.5,1,1,0,1,0,0,0,0,0,0,24,0,0,Cyanoloxia_cyanoides,1154,13_8_2012_pantiacolla_Cyanocompsa cyanoides,Cyanocompsa cyanoides,Cyanoloxia_cyanoides,NA,NA,NA,423.5,Cyanocompsa cyanoides,pantiacolla,NA,13,8,2012,2012-08-13,NA,2012-08-13,226,25.5,1,
251,115984,P11,5984,P115984,Cyphorhinus_arada,Cyphorhinus arada,Cyphorhinus_arada,Troglodytidae,0,26.05117647,lowland_manu,ground-understory,med,404,1,1,0,1,0,0,0,0,0,0,52,5,5,Cyphorhinus_arada,4188,11_8_2011_pantiacolla_Cyphorthinus arada,NA,Cyphorhinus_arada,NA,NA,397,404,Cyphorthinus arada,pantiacolla,NA,11,8,2011,2011-08-11,NA,2011-08-11,223,NA,NA,
756,110042,SP11,42,SP110042,Cyphorhinus_thoracicus,Cyphorhinus thoracicus,Cyphorhinus_thoracicus,Troglodytidae,0,32.136625,montane_manu,ground,low,1348,1,1,0,1,0,0,0,0,0,0,34,6,6,Cyphorhinus_thoracicus,934,17_9_2011_san_pedro_Cyphorhinus thoracicus,Cyphorhinus thoracicus,Cyphorhinus_thoracicus,1387,NA,1387,1348,Cyphorhinus thoracicus,san_pedro,NA,17,9,2011,2011-09-17,NA,2011-09-17,260,122,1,
754,110094,SP11,94,SP110094,Cyphorhinus_thoracicus,Cyphorhinus thoracicus,Cyphorhinus_thoracicus,Troglodytidae,0,32.136625,montane_manu,ground,high,1348,1,2,1,1,0,3,0,1,2,0,1,0,0,Cyphorhinus_thoracicus,767,25_9_2011_san_pedro_Cyphorhinus thoracicus,Cyphorhinus thoracicus,Cyphorhinus_thoracicus,1395,NA,1395,1348,Cyphorhinus thoracicus,san_pedro,NA,25,9,2011,2011-09-25,NA,2011-09-25,268,NA,NA,
