...1.x,species_taxonomy_SACC_2021.x,n.x,species,species_jetz,notes_taxonomy.x.x,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,2010 IUCN Red List category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,...1.y,species_taxonomy_SACC_2021.y,n.y,notes_taxonomy.x.y,missmatches,status,
416,Nonnula ruficapilla,13,Nonnula ruficapilla,Nonnula ruficapilla,NA,1280,Nonnula_ruficapilla,Bucconidae,Puffbirds,"Puffbirds, Jacamars",Rufous-capped Nunlet,bow01280,LC,BL3,Bucconidae,Puffbirds,97,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
417,Nothocercus nigrocapillus,65,Nothocercus nigrocapillus,Nothocercus nigrocapillus,NA,72,Nothocercus_nigrocapillus,Paleognathae,Paleognaths,Paleognaths,Hooded Tinamou,bow00072,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
418,Nyctidromus albicollis,18,Nyctidromus albicollis,Nyctidromus albicollis,NA,3220,Nyctidromus_albicollis,Caprimulgidae,Nightjars,Nightjars,Common Pauraque,bow03220,LC,BL3,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
419,Nyctiphrynus ocellatus,21,Nyctiphrynus ocellatus,Nyctiphrynus ocellatus,NA,3226,Nyctiphrynus_ocellatus,Caprimulgidae,Nightjars,Nightjars,Ocellated Poorwill,bow03226,LC,BL3,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
420,Nystalus striolatus,24,Nystalus striolatus,Nystalus striolatus,NA,1265,Nystalus_striolatus,Bucconidae,Puffbirds,"Puffbirds, Jacamars",Striolated Puffbird,bow01265,LC,BL3,Bucconidae,Puffbirds,97,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
421,Ochthoeca cinnamomeiventris,68,Ochthoeca thoracica,Ochthoeca thoracica,REV_TAX,19522,Ochthoeca_thoracica,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Maroon-belted Chat-Tyrant,bow19522,NA,IOC27,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
422,Ochthoeca frontalis,19,Silvicultrix spodionota,Ochthoeca frontalis,NA,6059,Ochthoeca_frontalis,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Crowned Chat-tyrant,bow06059,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,assigned
423,Ochthoeca fumicolor,1,Ochthoeca fumicolor,Ochthoeca fumicolor,NA,6065,Ochthoeca_fumicolor,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Brown-backed Chat-tyrant,bow06065,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
424,Ochthoeca pulchella,389,Silvicultrix pulchella,Ochthoeca pulchella,NA,6062,Ochthoeca_pulchella,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Golden-browed Chat-tyrant,bow06062,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,assigned
425,Ochthoeca rufipectoralis,190,Ochthoeca rufipectoralis,Ochthoeca rufipectoralis,NA,6064,Ochthoeca_rufipectoralis,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Rufous-breasted Chat-tyrant,bow06064,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
426,Ochthornis littoralis,2,Ochthornis littoralis,Ochthornis littoralis,NA,6074,Ochthornis_littoralis,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Drab Water Tyrant,bow06074,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
427,Ocreatus underwoodii,236,Ocreatus underwoodii,Ocreatus underwoodii,NA,2737,Ocreatus_underwoodii,Trochilidae,Hummingbirds,Hummingbirds,Booted Racket-tail,bow02737,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
428,Odontophorus balliviani,20,Odontophorus balliviani,Odontophorus balliviani,NA,486,Odontophorus_balliviani,Odontophoridae,"Pheasants, Quail, Guineafowl","Pheasants, Quail, Guineafowl",Stripe-faced Wood-quail,bow00486,LC,BL3,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
429,Odontophorus speciosus,62,Odontophorus speciosus,Odontophorus speciosus,NA,481,Odontophorus_speciosus,Odontophoridae,"Pheasants, Quail, Guineafowl","Pheasants, Quail, Guineafowl",Rufous-breasted Wood-quail,bow00481,LC,BL3,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
430,Odontophorus stellatus,22,Odontophorus stellatus,Odontophorus stellatus,NA,487,Odontophorus_stellatus,Odontophoridae,"Pheasants, Quail, Guineafowl","Pheasants, Quail, Guineafowl",Starred Wood-quail,bow00487,LC,BL3,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
431,Odontorchilus branickii,18,Odontorchilus branickii,Odontorchilus branickii,NA,9685,Odontorchilus_branickii,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Grey-mantled Wren,bow09685,LC,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
432,Oneillornis salvini,158,Gymnopithys salvini,Gymnopithys salvini,REV_TAX,6602,Gymnopithys_salvini,Thamnophilidae,Antbirds,Antbirds,White-throated Antbird,bow06602,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
433,Onychorhynchus coronatus,25,Onychorhynchus coronatus,Onychorhynchus coronatus,NA,5980,Onychorhynchus_coronatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Amazonian Royal Flycatcher,bow05980,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
434,Ornithion inerme,5,Ornithion inerme,Ornithion inerme,NA,5844,Ornithion_inerme,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",White-lored Tyrannulet,bow05844,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
435,Orochelidon flavipes,6,Orochelidon flavipes,Notiochelidon flavipes,NA,10024,Notiochelidon_flavipes,S6,"Swallows, Martins","Swallows, Martins",Pale-footed Swallow,bow10024,LC,BL3,Hirundinidae,Swallows and martins,156,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,assigned
436,Ortalis guttata,27,Ortalis guttata,Ortalis guttata,NA,147,Ortalis_guttata,Cracidae,"Curassows, Chacalacas, Guans","Curassows, Chacalacas, Guans",Speckled Chachalaca,bow00147,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
437,Orthopsittaca manilatus,1,Orthopsittaca manilata,Orthopsittaca manilata,REV_TAX,2164,Orthopsittaca_manilata,Psittacidae2,Parrots,Parrots,Red-bellied Macaw,bow02164,LC,BL3,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
