...1.x,species_taxonomy_SACC_2021.x,n.x,species,species_jetz,notes_taxonomy.x.x,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,2010 IUCN Red List category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,...1.y,species_taxonomy_SACC_2021.y,n.y,notes_taxonomy.x.y,missmatches,status,
163,Cyanoloxia cyanoides,88,Cyanocompsa cyanoides,Cyanocompsa cyanoides,REV_TAX,13305,Cyanocompsa_cyanoides,P12,"Cardinals, Allies","Cardinals, Allies",Blue-black Grosbeak,bow13305,LC,BL3,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
164,Cyanolyca viridicyanus,272,Cyanolyca viridicyanus,Cyanolyca viridicyanus,NA,7996,Cyanolyca_viridicyanus,CC8,"Shrikes, Monarchs, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies",White-collared Jay,bow07996,LC,BL3,Corvidae,Crows and jays,147,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
165,Cymbilaimus lineatus,13,Cymbilaimus lineatus,Cymbilaimus lineatus,NA,6395,Cymbilaimus_lineatus,Thamnophilidae,Antbirds,Antbirds,Fasciated Antshrike,bow06395,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
166,Cymbilaimus sanctaemariae,45,Cymbilaimus sanctaemariae,Cymbilaimus sanctaemariae,NA,6396,Cymbilaimus_sanctaemariae,Thamnophilidae,Antbirds,Antbirds,Bamboo Antshrike,bow06396,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
167,Cyphorhinus arada,41,Cyphorhinus arada,Cyphorhinus arada,NA,9791,Cyphorhinus_arada,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Musician Wren,bow09791,LC,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
168,Cyphorhinus thoracicus,211,Cyphorhinus thoracicus,Cyphorhinus thoracicus,NA,9790,Cyphorhinus_thoracicus,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Chestnut-breasted Wren,bow09790,LC,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
169,Dacnis cayana,7,Dacnis cayana,Dacnis cayana,NA,13066,Dacnis_cayana,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Blue Dacnis,bow13066,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
170,Dacnis flaviventer,2,Dacnis flaviventer,Dacnis flaviventer,NA,13062,Dacnis_flaviventer,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Yellow-bellied Dacnis,bow13062,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
171,Dacnis lineata,1,Dacnis lineata,Dacnis lineata,NA,13060,Dacnis_lineata,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-faced Dacnis,bow13060,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
172,Daptrius ater,3,Daptrius ater,Daptrius ater,NA,4918,Daptrius_ater,Falconidae,"Falcons, Caracaras","Falcons, Caracaras",Black Caracara,bow04918,LC,BL3,Falconidae,Falcons and caracaras,35,FALCONIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
173,Deconychura longicauda,39,Deconychura longicauda,Deconychura longicauda,NA,6898,Deconychura_longicauda,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Long-tailed Woodcreeper,bow06898,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
174,Dendrexetastes rufigula,62,Dendrexetastes rufigula,Dendrexetastes rufigula,NA,6902,Dendrexetastes_rufigula,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Cinnamon-throated Woodcreeper,bow06902,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
175,Dendrocincla fuliginosa,140,Dendrocincla fuliginosa,Dendrocincla fuliginosa,NA,6893,Dendrocincla_fuliginosa,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Plain-brown Woodcreeper,bow06893,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
176,Dendrocincla merula,100,Dendrocincla merula,Dendrocincla merula,NA,6896,Dendrocincla_merula,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",White-chinned Woodcreeper,bow06896,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
177,Dendrocincla tyrannina,64,Dendrocincla tyrannina,Dendrocincla tyrannina,NA,6892,Dendrocincla_tyrannina,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Tyrannine Woodcreeper,bow06892,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
178,Dendrocolaptes certhia,30,Dendrocolaptes certhia,Dendrocolaptes certhia,NA,6915,Dendrocolaptes_certhia,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Amazonian Barred Woodcreeper,bow06915,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
179,Dendrocolaptes picumnus,43,Dendrocolaptes picumnus,Dendrocolaptes picumnus,NA,6920,Dendrocolaptes_picumnus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Black-banded Woodcreeper,bow06920,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
180,Dendroma erythroptera,16,Philydor erythropterum,Philydor erythropterum,REV_TAX,6845,Philydor_erythropterum,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Chestnut-winged Foliage-gleaner,bow06845,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
181,Dendroma rufa,4,Philydor rufum,Philydor rufum,REV_TAX,6848,Philydor_rufum,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Buff-fronted Foliage-gleaner,bow06848,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
182,Dendroplex picus,1,Xyphorinchus picus,Dendroplex picus,NA,6922,Dendroplex_picus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Straight-billed Woodcreeper,bow06922,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,assigned
183,Dichrozona cincta,8,Dichrozona cincta,Dichrozona cincta,NA,6501,Dichrozona_cincta,Thamnophilidae,Antbirds,Antbirds,Banded Antbird,bow06501,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
184,Diglossa brunneiventris,58,Diglossa brunneiventris,Diglossa brunneiventris,NA,13241,Diglossa_brunneiventris,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-throated Flowerpiercer,bow13241,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
185,Diglossa caerulescens,23,Diglossa caerulescens,Diglossa caerulescens,NA,13248,Diglossa_caerulescens,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Bluish Flowerpiercer,bow13248,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
186,Diglossa cyanea,899,Diglossa cyanea,Diglossa cyanea,NA,13249,Diglossa_cyanea,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Masked Flowerpiercer,bow13249,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
187,Diglossa glauca,238,Diglossa glauca,Diglossa glauca,NA,13247,Diglossa_glauca,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Deep-blue Flowerpiercer,bow13247,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
188,Diglossa mystacalis,47,Diglossa mystacalis,Diglossa mystacalis,NA,13238,Diglossa_mystacalis,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Moustached Flowerpiercer,bow13238,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
189,Diglossa sittoides,5,Diglossa sittoides,Diglossa sittoides,NA,13232,Diglossa_sittoides,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Rusty Flowerpiercer,bow13232,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
190,Discosura popelairii,1,Discosura popelairii,Discosura popelairii,NA,2546,Discosura_popelairii,Trochilidae,Hummingbirds,Hummingbirds,Wire-crested Thorntail,bow02546,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
191,Doryfera johannae,14,Doryfera johannae,Doryfera johannae,NA,2498,Doryfera_johannae,Trochilidae,Hummingbirds,Hummingbirds,Blue-fronted Lancebill,bow02498,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
192,Doryfera ludovicae,224,Doryfera ludovicae,Doryfera ludovicae,NA,2499,Doryfera_ludovicae,Trochilidae,Hummingbirds,Hummingbirds,Green-fronted Lancebill,bow02499,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
193,Dromococcyx pavoninus,8,Dromococcyx pavoninus,Dromococcyx pavoninus,NA,1888,Dromococcyx_pavoninus,Cuculidae,Cuckoos,Cuckoos,Pavonine Cuckoo,bow01888,LC,BL3,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
194,Drymophila caudata,71,Drymophila caudata,Drymophila caudata,NA,6533,Drymophila_caudata,Thamnophilidae,Antbirds,Antbirds,Long-tailed Antbird,bow06533,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
195,Drymophila devillei,26,Drymophila devillei,Drymophila devillei,NA,6532,Drymophila_devillei,Thamnophilidae,Antbirds,Antbirds,Striated Antbird,bow06532,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
196,Drymotoxeres pucheranii,6,Drymotoxeres pucheranii,Campylorhamphus pucherani,NA,6944,Campylorhamphus_pucherani,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Greater Scythebill,bow06944,NT,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,assigned
197,Dryobates affinis,1,Veniliornis affinis,Veniliornis affinis,REV_TAX,982,Veniliornis_affinis,Picidae,Woodpeckers,"Woodpeckers, Honeyguides, Toucans, Barbets",Red-stained Woodpecker,bow00982,LC,BL3,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
198,Dryobates nigriceps,8,Veniliornis nigriceps,Veniliornis nigriceps,REV_TAX,973,Veniliornis_nigriceps,Picidae,Woodpeckers,"Woodpeckers, Honeyguides, Toucans, Barbets",Bar-bellied Woodpecker,bow00973,LC,BL3,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
199,Dryobates passerinus,4,Veniliornis passerinus,Veniliornis passerinus,REV_TAX,975,Veniliornis_passerinus,Picidae,Woodpeckers,"Woodpeckers, Honeyguides, Toucans, Barbets",Little Woodpecker,bow00975,LC,BL3,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
200,Dryocopus lineatus,5,Dryocopus lineatus,Dryocopus lineatus,NA,1022,Dryocopus_lineatus,Picidae,Woodpeckers,"Woodpeckers, Honeyguides, Toucans, Barbets",Lineated Woodpecker,bow01022,LC,BL3,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
201,Dubusia castaneoventris,35,Delothraupis castaneoventris,Delothraupis castaneoventris,REV_TAX,12968,Delothraupis_castaneoventris,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Chestnut-bellied Mountain-tanager,bow12968,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
202,Dubusia taeniata,4,Dubusia taeniata,Dubusia taeniata,NA,12967,Dubusia_taeniata,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Buff-breasted Mountain-tanager,bow12967,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
203,Dysithamnus mentalis,170,Dysithamnus mentalis,Dysithamnus mentalis,NA,6451,Dysithamnus_mentalis,Thamnophilidae,Antbirds,Antbirds,Plain Antvireo,bow06451,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
204,Elaenia albiceps,29,Elaenia albiceps,Elaenia albiceps,NA,5874,Elaenia_albiceps,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",White-crested Elaenia,bow05874,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
205,Elaenia gigas,3,Elaenia gigas,Elaenia gigas,NA,5882,Elaenia_gigas,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Mottle-backed Elaenia,bow05882,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
206,Elaenia obscura,1,Elaenia obscura,Elaenia obscura,NA,5888,Elaenia_obscura,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Highland Elaenia,bow05888,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
207,Elaenia pallatangae,252,Elaenia pallatangae,Elaenia pallatangae,NA,5890,Elaenia_pallatangae,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Sierran Elaenia,bow05890,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
208,Elaenia parvirostris,1,Elaenia parvirostris,Elaenia parvirostris,NA,5879,Elaenia_parvirostris,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Small-billed Elaenia,bow05879,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
209,Elaenia spectabilis,12,Elaenia spectabilis,Elaenia spectabilis,NA,5872,Elaenia_spectabilis,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Large Elaenia,bow05872,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
210,Elanoides forficatus,1,Elanoides forficatus,Elanoides forficatus,NA,4603,Elanoides_forficatus,Accipitridae,"Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird",American Swallow-tailed Kite,bow04603,LC,BL3,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
211,Electron platyrhynchum,40,Electron platyrhynchum,Electron platyrhynchum,NA,1518,Electron_platyrhynchum,Motmotidae,"Kingfishers, Motmots, Todies","Bee-eaters, Kingfishers, Motmots, Todies, Rollers, Ground-Rollers",Broad-billed Motmot,bow01518,LC,BL3,Momotidae,Motmots,87,CORACIIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
212,Elliotomyia chionogaster,1,Amazilia chionogaster,Amazilia chionogaster,REV_TAX,2614,Amazilia_chionogaster,Trochilidae,Hummingbirds,Hummingbirds,White-bellied Hummingbird,bow02614,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
213,Elliotomyia viridicauda,1,Amazilia viridicauda,Amazilia viridicauda,REV_TAX,2613,Amazilia_viridicauda,Trochilidae,Hummingbirds,Hummingbirds,Green-and-white Hummingbird,bow02613,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
214,Empidonax alnorum,4,Empidonax alnorum,Empidonax alnorum,NA,6038,Empidonax_alnorum,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Alder Flycatcher,bow06038,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
215,Ensifera ensifera,1,Ensifera ensifera,Ensifera ensifera,NA,2707,Ensifera_ensifera,Trochilidae,Hummingbirds,Hummingbirds,Sword-billed Hummingbird,bow02707,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
216,Entomodestes leucotis,379,Entomodestes leucotis,Entomodestes leucotis,NA,8891,Entomodestes_leucotis,M5,Thrushes,"Thrushes, Dippers, Chats, Old World Flycatchers",White-eared Solitaire,bow08891,LC,BL3,Turdidae,Thrushes,178,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
217,Epinecrophylla erythrura,35,Myrmotherula erythrura,Epinecrophylla erythrura,NA,6485,Epinecrophylla_erythrura,Thamnophilidae,Antbirds,Antbirds,Rufous-tailed Antwren,bow06485,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,assigned
218,Epinecrophylla haematonota,1,Epinecrophylla haematonota,Epinecrophylla haematonota,NA,6481,Epinecrophylla_haematonota,Thamnophilidae,Antbirds,Antbirds,Stipple-throated Antwren,bow06481,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
219,Epinecrophylla leucophthalma,49,Epinecrophylla leucophthalma,Epinecrophylla leucophthalma,NA,6480,Epinecrophylla_leucophthalma,Thamnophilidae,Antbirds,Antbirds,White-eyed Antwren,bow06480,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
220,Epinecrophylla ornata,63,Epinecrophylla ornata,Epinecrophylla ornata,NA,6483,Epinecrophylla_ornata,Thamnophilidae,Antbirds,Antbirds,Ornate Antwren,bow06483,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
221,Epinecrophylla spodionota,36,Epinecrophylla spodionota,Epinecrophylla spodionota,NA,6482,Epinecrophylla_spodionota,Thamnophilidae,Antbirds,Antbirds,Foothill Antwren,bow06482,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
222,Eubucco richardsoni,11,Eubucco richardsoni,Eubucco richardsoni,NA,1167,Eubucco_richardsoni,Ramphastidae,"Toucans, Barbets","Woodpeckers, Honeyguides, Toucans, Barbets",Lemon-throated Barbet,bow01167,LC,BL3,Ramphastidae,Toucans and barbets,93,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
223,Eubucco tucinkae,8,Eubucco tucinkae,Eubucco tucinkae,NA,1169,Eubucco_tucinkae,Ramphastidae,"Toucans, Barbets","Woodpeckers, Honeyguides, Toucans, Barbets",Scarlet-hooded Barbet,bow01169,LC,BL3,Ramphastidae,Toucans and barbets,93,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
224,Eubucco versicolor,44,Eubucco versicolor,Eubucco versicolor,NA,1170,Eubucco_versicolor,Ramphastidae,"Toucans, Barbets","Woodpeckers, Honeyguides, Toucans, Barbets",Versicoloured Barbet,bow01170,LC,BL3,Ramphastidae,Toucans and barbets,93,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
225,Euchrepornis callinota,1,Terenura callinota,Terenura callinota,REV_TAX,6538,Terenura_callinota,Thamnophilidae,Antbirds,Antbirds,Rufous-rumped Antwren,bow06538,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
226,Euchrepornis sharpei,6,Terenura sharpei,Terenura sharpei,REV_TAX,6542,Terenura_sharpei,Thamnophilidae,Antbirds,Antbirds,Yellow-rumped Antwren,bow06542,EN,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
227,Euphonia chlorotica,2,Euphonia chlorotica,Euphonia chlorotica,NA,12974,Euphonia_chlorotica,P10,"Finches, Allies","Finches, Allies",Purple-throated Euphonia,bow12974,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
228,Euphonia chrysopasta,3,Euphonia chrysopasta,Euphonia chrysopasta,NA,12989,Euphonia_chrysopasta,P10,"Finches, Allies","Finches, Allies",White-lored Euphonia,bow12989,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
229,Euphonia laniirostris,5,Euphonia laniirostris,Euphonia laniirostris,NA,12980,Euphonia_laniirostris,P10,"Finches, Allies","Finches, Allies",Thick-billed Euphonia,bow12980,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
230,Euphonia mesochrysa,40,Euphonia mesochrysa,Euphonia mesochrysa,NA,12990,Euphonia_mesochrysa,P10,"Finches, Allies","Finches, Allies",Bronze-green Euphonia,bow12990,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
231,Euphonia rufiventris,15,Euphonia rufiventris,Euphonia rufiventris,NA,12994,Euphonia_rufiventris,P10,"Finches, Allies","Finches, Allies",Rufous-bellied Euphonia,bow12994,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
232,Euphonia xanthogaster,602,Euphonia xanthogaster,Euphonia xanthogaster,NA,12993,Euphonia_xanthogaster,P10,"Finches, Allies","Finches, Allies",Orange-bellied Euphonia,bow12993,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
233,Eurypyga helias,1,Eurypyga helias,Eurypyga helias,NA,3692,Eurypyga_helias,Skeleton,Sunbittern,Sunbittern,Sunbittern,bow03692,LC,BL3,Eurypygidae,Sunbittern,41,EURYPYGIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
234,Eutoxeres condamini,286,Eutoxeres condamini,Eutoxeres condamini,NA,2492,Eutoxeres_condamini,Trochilidae,Hummingbirds,Hummingbirds,Buff-tailed Sicklebill,bow02492,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
